PO_ID,PO_NUMBER,SUPPLIER_ID,PLANT_ID,ORDER_DATE,CURRENCY_CODE,STATUS
98,PO-0000098,163,8,2023-12-05,USD,RECEIVED
99,PO-0000099,459,11,2023-04-19,USD,RECEIVED
100,PO-0000100,210,9,2025-11-29,USD,CANCELLED
101,PO-0000101,485,4,2025-09-07,USD,RECEIVED
102,PO-0000102,343,1,2023-02-17,USD,RECEIVED
103,PO-0000103,127,5,2023-02-04,USD,RECEIVED
104,PO-0000104,307,10,2025-07-09,USD,OPEN
105,PO-0000105,302,10,2025-04-08,USD,RECEIVED
106,PO-0000106,207,4,2023-08-17,USD,RECEIVED
107,PO-0000107,148,3,2023-03-02,USD,RECEIVED
108,PO-0000108,461,12,2023-09-08,USD,CANCELLED
109,PO-0000109,490,5,2023-10-11,USD,PARTIAL
110,PO-0000110,423,12,2025-02-27,USD,RECEIVED
111,PO-0000111,197,2,2023-11-23,USD,RECEIVED
112,PO-0000112,412,5,2026-07-28,USD,RECEIVED
113,PO-0000113,381,1,2026-01-20,USD,RECEIVED
114,PO-0000114,26,1,2024-04-03,USD,OPEN
115,PO-0000115,240,7,2026-05-25,USD,RECEIVED
116,PO-0000116,400,10,2024-09-26,USD,RECEIVED
117,PO-0000117,169,2,2025-03-14,USD,RECEIVED
118,PO-0000118,14,4,2025-02-05,USD,RECEIVED
119,PO-0000119,322,11,2024-11-19,USD,OPEN
120,PO-0000120,159,2,2024-09-07,USD,OPEN
121,PO-0000121,116,9,2024-12-15,USD,RECEIVED
122,PO-0000122,56,1,2025-03-30,USD,RECEIVED
123,PO-0000123,274,9,2025-12-22,USD,RECEIVED
124,PO-0000124,299,4,2023-07-31,USD,RECEIVED
125,PO-0000125,48,4,2025-11-29,USD,RECEIVED
126,PO-0000126,283,10,2025-06-04,USD,RECEIVED
127,PO-0000127,274,3,2024-12-25,USD,PARTIAL
128,PO-0000128,294,12,2024-04-06,USD,RECEIVED
129,PO-0000129,151,6,2023-06-11,USD,CANCELLED
130,PO-0000130,180,4,2026-08-23,USD,CANCELLED
131,PO-0000131,480,7,2024-03-02,USD,OPEN
132,PO-0000132,373,10,2024-12-21,USD,RECEIVED
133,PO-0000133,238,5,2023-10-16,USD,RECEIVED
134,PO-0000134,396,11,2024-07-23,USD,OPEN
135,PO-0000135,76,6,2024-03-28,USD,CANCELLED
136,PO-0000136,385,10,2024-02-02,USD,RECEIVED
137,PO-0000137,27,8,2026-02-24,USD,OPEN
138,PO-0000138,93,8,2023-11-16,USD,OPEN
139,PO-0000139,112,1,2023-05-24,USD,RECEIVED
140,PO-0000140,259,6,2025-06-18,USD,PARTIAL
141,PO-0000141,26,1,2024-09-14,USD,RECEIVED
142,PO-0000142,362,11,2024-10-18,USD,RECEIVED
143,PO-0000143,96,6,2026-01-20,USD,PARTIAL
144,PO-0000144,438,9,2025-04-22,USD,RECEIVED
145,PO-0000145,238,6,2023-12-11,USD,RECEIVED
146,PO-0000146,423,9,2025-07-06,USD,RECEIVED
147,PO-0000147,207,12,2023-01-19,USD,OPEN
148,PO-0000148,247,7,2024-07-24,USD,RECEIVED
149,PO-0000149,167,5,2024-04-19,USD,RECEIVED
150,PO-0000150,283,5,2026-08-01,USD,RECEIVED
151,PO-0000151,54,10,2024-03-06,USD,CANCELLED
152,PO-0000152,45,10,2025-06-19,USD,RECEIVED
153,PO-0000153,268,9,2024-07-07,USD,RECEIVED
154,PO-0000154,243,3,2023-07-25,USD,PARTIAL
155,PO-0000155,496,2,2024-01-29,USD,RECEIVED
156,PO-0000156,315,9,2025-01-07,USD,RECEIVED
157,PO-0000157,136,8,2023-10-06,USD,RECEIVED
158,PO-0000158,211,2,2024-01-25,USD,RECEIVED
159,PO-0000159,439,9,2023-08-31,USD,RECEIVED
160,PO-0000160,273,1,2024-12-27,USD,RECEIVED
161,PO-0000161,325,6,2025-11-12,USD,OPEN
162,PO-0000162,121,6,2024-02-12,USD,RECEIVED
163,PO-0000163,490,4,2023-01-04,USD,RECEIVED
164,PO-0000164,183,5,2023-11-05,USD,RECEIVED
165,PO-0000165,162,7,2023-03-30,USD,RECEIVED
166,PO-0000166,305,1,2024-05-15,USD,PARTIAL
167,PO-0000167,201,3,2025-03-05,USD,RECEIVED
168,PO-0000168,180,2,2024-08-12,USD,RECEIVED
169,PO-0000169,458,12,2026-06-18,USD,RECEIVED
170,PO-0000170,232,2,2023-03-08,USD,RECEIVED
171,PO-0000171,363,4,2023-07-26,USD,CANCELLED
172,PO-0000172,99,7,2025-10-16,USD,RECEIVED
173,PO-0000173,25,3,2025-04-09,USD,RECEIVED
174,PO-0000174,354,7,2026-09-26,USD,PARTIAL
175,PO-0000175,6,1,2025-04-28,USD,RECEIVED
176,PO-0000176,465,2,2023-04-16,USD,RECEIVED
177,PO-0000177,432,9,2025-07-31,USD,RECEIVED
178,PO-0000178,45,5,2025-11-05,USD,RECEIVED
179,PO-0000179,360,12,2024-07-22,USD,RECEIVED
180,PO-0000180,392,8,2024-11-17,USD,RECEIVED
181,PO-0000181,446,10,2026-08-02,USD,RECEIVED
182,PO-0000182,475,2,2025-12-16,USD,RECEIVED
183,PO-0000183,160,5,2026-04-24,USD,OPEN
184,PO-0000184,92,4,2024-04-29,USD,RECEIVED
185,PO-0000185,390,1,2025-06-18,USD,OPEN
186,PO-0000186,450,10,2023-01-21,USD,RECEIVED
187,PO-0000187,46,7,2024-06-04,USD,PARTIAL
188,PO-0000188,392,5,2026-07-06,USD,RECEIVED
189,PO-0000189,24,4,2026-07-25,USD,RECEIVED
190,PO-0000190,445,4,2023-01-14,USD,CANCELLED
191,PO-0000191,439,1,2025-01-02,USD,PARTIAL
192,PO-0000192,359,12,2024-10-16,USD,OPEN
193,PO-0000193,311,4,2025-07-22,USD,RECEIVED
194,PO-0000194,201,4,2026-02-16,USD,RECEIVED
195,PO-0000195,433,9,2023-08-07,USD,RECEIVED
196,PO-0000196,279,2,2026-03-18,USD,OPEN
197,PO-0000197,299,3,2023-10-03,USD,RECEIVED
198,PO-0000198,38,9,2026-09-03,USD,RECEIVED
199,PO-0000199,290,10,2023-08-26,USD,RECEIVED
200,PO-0000200,102,6,2025-09-30,USD,RECEIVED
201,PO-0000201,70,1,2023-05-17,USD,OPEN
202,PO-0000202,222,9,2024-09-21,USD,RECEIVED
203,PO-0000203,441,5,2023-06-11,USD,CANCELLED
204,PO-0000204,37,9,2025-07-27,USD,RECEIVED
205,PO-0000205,160,7,2024-02-09,USD,PARTIAL
206,PO-0000206,372,10,2023-05-16,USD,RECEIVED
207,PO-0000207,318,12,2023-08-19,USD,RECEIVED
208,PO-0000208,319,10,2026-03-02,USD,RECEIVED
209,PO-0000209,359,11,2025-07-09,USD,RECEIVED
210,PO-0000210,336,12,2024-03-17,USD,RECEIVED
211,PO-0000211,171,11,2025-02-19,USD,RECEIVED
212,PO-0000212,378,4,2024-08-18,USD,RECEIVED
213,PO-0000213,408,5,2023-09-07,USD,RECEIVED
214,PO-0000214,447,7,2024-03-29,USD,CANCELLED
215,PO-0000215,94,11,2023-07-23,USD,CANCELLED
216,PO-0000216,13,9,2026-07-23,USD,CANCELLED
217,PO-0000217,399,8,2025-04-27,USD,PARTIAL
218,PO-0000218,435,1,2024-11-11,USD,RECEIVED
219,PO-0000219,339,10,2025-02-07,USD,CANCELLED
220,PO-0000220,228,10,2023-05-12,USD,CANCELLED
221,PO-0000221,136,11,2024-03-04,USD,RECEIVED
222,PO-0000222,281,6,2024-06-01,USD,OPEN
223,PO-0000223,436,2,2026-04-07,USD,RECEIVED
224,PO-0000224,352,5,2025-09-24,USD,RECEIVED
225,PO-0000225,154,7,2023-12-02,USD,RECEIVED
226,PO-0000226,477,4,2024-10-14,USD,OPEN
227,PO-0000227,120,5,2026-08-06,USD,RECEIVED
228,PO-0000228,129,5,2025-12-27,USD,OPEN
229,PO-0000229,52,5,2023-06-24,USD,RECEIVED
230,PO-0000230,198,2,2025-08-18,USD,RECEIVED
231,PO-0000231,429,6,2023-10-11,USD,RECEIVED
232,PO-0000232,120,5,2026-03-20,USD,OPEN
233,PO-0000233,248,10,2026-07-21,USD,CANCELLED
234,PO-0000234,130,8,2025-05-05,USD,CANCELLED
235,PO-0000235,467,9,2025-05-24,USD,RECEIVED
236,PO-0000236,410,8,2025-02-26,USD,CANCELLED
237,PO-0000237,67,3,2024-11-08,USD,RECEIVED
238,PO-0000238,166,11,2025-08-01,USD,RECEIVED
239,PO-0000239,478,8,2025-08-19,USD,RECEIVED
240,PO-0000240,409,6,2023-05-01,USD,RECEIVED
241,PO-0000241,216,12,2025-01-31,USD,PARTIAL
242,PO-0000242,201,8,2025-09-30,USD,RECEIVED
243,PO-0000243,385,7,2023-06-25,USD,RECEIVED
244,PO-0000244,266,2,2025-11-17,USD,RECEIVED
245,PO-0000245,359,2,2024-09-01,USD,RECEIVED
246,PO-0000246,476,2,2023-08-07,USD,RECEIVED
247,PO-0000247,310,1,2025-10-10,USD,RECEIVED
248,PO-0000248,214,7,2026-05-27,USD,RECEIVED
249,PO-0000249,279,5,2023-09-03,USD,RECEIVED
250,PO-0000250,260,2,2025-04-09,USD,RECEIVED
251,PO-0000251,28,1,2024-09-17,USD,RECEIVED
252,PO-0000252,400,12,2023-10-13,USD,RECEIVED
253,PO-0000253,267,5,2024-09-07,USD,RECEIVED
254,PO-0000254,95,7,2024-01-04,USD,CANCELLED
255,PO-0000255,101,3,2025-09-27,USD,RECEIVED
256,PO-0000256,67,10,2026-03-08,USD,OPEN
257,PO-0000257,444,8,2023-05-13,USD,RECEIVED
258,PO-0000258,267,10,2024-10-09,USD,RECEIVED
259,PO-0000259,396,4,2024-12-15,USD,RECEIVED
260,PO-0000260,215,5,2026-03-30,USD,RECEIVED
261,PO-0000261,132,11,2026-07-14,USD,CANCELLED
262,PO-0000262,171,12,2023-01-28,USD,PARTIAL
263,PO-0000263,426,6,2026-01-02,USD,CANCELLED
264,PO-0000264,254,5,2023-03-08,USD,RECEIVED
265,PO-0000265,274,11,2024-10-29,USD,RECEIVED
266,PO-0000266,174,4,2023-04-22,USD,RECEIVED
267,PO-0000267,179,8,2023-10-07,USD,OPEN
268,PO-0000268,227,4,2025-02-05,USD,RECEIVED
269,PO-0000269,448,5,2024-01-30,USD,RECEIVED
270,PO-0000270,323,12,2023-11-10,USD,RECEIVED
271,PO-0000271,379,9,2026-06-02,USD,RECEIVED
272,PO-0000272,53,7,2025-04-22,USD,CANCELLED
273,PO-0000273,309,11,2025-09-18,USD,RECEIVED
274,PO-0000274,316,12,2024-07-31,USD,RECEIVED
275,PO-0000275,361,6,2023-04-13,USD,RECEIVED
276,PO-0000276,51,5,2025-09-24,USD,RECEIVED
277,PO-0000277,59,5,2025-01-29,USD,RECEIVED
278,PO-0000278,440,8,2023-08-14,USD,PARTIAL
279,PO-0000279,56,12,2024-03-27,USD,RECEIVED
280,PO-0000280,60,5,2025-02-13,USD,RECEIVED
281,PO-0000281,418,7,2025-10-04,USD,CANCELLED
282,PO-0000282,296,3,2023-04-24,USD,RECEIVED
283,PO-0000283,39,11,2023-02-06,USD,RECEIVED
284,PO-0000284,356,10,2023-02-13,USD,PARTIAL
285,PO-0000285,466,9,2023-07-09,USD,RECEIVED
286,PO-0000286,62,8,2025-06-23,USD,RECEIVED
287,PO-0000287,255,3,2026-09-07,USD,RECEIVED
288,PO-0000288,80,11,2025-04-10,USD,RECEIVED
289,PO-0000289,407,9,2026-09-25,USD,RECEIVED
290,PO-0000290,472,3,2025-06-19,USD,RECEIVED
291,PO-0000291,362,8,2025-11-09,USD,CANCELLED
292,PO-0000292,81,10,2023-09-04,USD,RECEIVED
293,PO-0000293,412,1,2026-09-04,USD,RECEIVED
294,PO-0000294,306,7,2023-12-29,USD,RECEIVED
295,PO-0000295,60,10,2023-01-06,USD,RECEIVED
296,PO-0000296,266,4,2026-09-16,USD,RECEIVED
297,PO-0000297,133,12,2023-06-05,USD,CANCELLED
298,PO-0000298,243,8,2023-07-16,USD,CANCELLED
299,PO-0000299,335,7,2024-04-01,USD,RECEIVED
300,PO-0000300,118,1,2023-11-12,USD,RECEIVED
301,PO-0000301,483,1,2023-05-07,USD,OPEN
302,PO-0000302,247,2,2026-03-20,USD,RECEIVED
303,PO-0000303,56,12,2023-05-16,USD,RECEIVED
304,PO-0000304,484,6,2026-08-18,USD,CANCELLED
305,PO-0000305,303,12,2023-04-04,USD,RECEIVED
306,PO-0000306,338,1,2023-10-10,USD,RECEIVED
307,PO-0000307,448,1,2023-02-06,USD,RECEIVED
308,PO-0000308,154,8,2025-01-14,USD,RECEIVED
309,PO-0000309,179,3,2023-10-22,USD,OPEN
310,PO-0000310,494,6,2024-02-16,USD,CANCELLED
311,PO-0000311,480,10,2026-06-29,USD,RECEIVED
312,PO-0000312,357,2,2023-09-09,USD,RECEIVED
313,PO-0000313,366,2,2023-12-29,USD,RECEIVED
314,PO-0000314,198,5,2025-01-01,USD,RECEIVED
315,PO-0000315,495,7,2025-05-25,USD,RECEIVED
316,PO-0000316,483,5,2026-09-27,USD,RECEIVED
317,PO-0000317,292,7,2026-09-25,USD,RECEIVED
318,PO-0000318,291,8,2026-01-20,USD,RECEIVED
319,PO-0000319,134,5,2023-02-15,USD,PARTIAL
320,PO-0000320,282,6,2025-09-22,USD,RECEIVED
321,PO-0000321,8,10,2024-05-12,USD,OPEN
322,PO-0000322,159,4,2025-10-26,USD,RECEIVED
323,PO-0000323,171,3,2025-12-21,USD,RECEIVED
324,PO-0000324,108,11,2024-04-27,USD,CANCELLED
325,PO-0000325,127,9,2023-06-18,USD,CANCELLED
326,PO-0000326,225,8,2025-11-16,USD,PARTIAL
327,PO-0000327,393,8,2024-06-28,USD,RECEIVED
328,PO-0000328,309,9,2025-10-24,USD,RECEIVED
329,PO-0000329,338,11,2024-08-24,USD,RECEIVED
330,PO-0000330,302,6,2024-09-25,USD,RECEIVED
331,PO-0000331,388,1,2025-12-22,USD,PARTIAL
332,PO-0000332,86,4,2024-02-25,USD,RECEIVED
333,PO-0000333,404,8,2026-06-19,USD,OPEN
334,PO-0000334,452,9,2025-06-25,USD,RECEIVED
335,PO-0000335,26,1,2023-01-31,USD,RECEIVED
336,PO-0000336,59,11,2025-07-12,USD,OPEN
337,PO-0000337,472,9,2025-04-12,USD,RECEIVED
338,PO-0000338,487,1,2024-10-31,USD,PARTIAL
339,PO-0000339,100,10,2025-04-29,USD,RECEIVED
340,PO-0000340,470,5,2023-03-04,USD,RECEIVED
341,PO-0000341,126,8,2025-08-05,USD,RECEIVED
342,PO-0000342,165,9,2024-09-28,USD,RECEIVED
343,PO-0000343,125,5,2023-05-05,USD,RECEIVED
344,PO-0000344,180,4,2024-03-20,USD,RECEIVED
345,PO-0000345,4,5,2026-05-05,USD,RECEIVED
346,PO-0000346,28,11,2023-09-23,USD,OPEN
347,PO-0000347,117,11,2026-05-05,USD,RECEIVED
348,PO-0000348,131,5,2026-05-27,USD,PARTIAL
349,PO-0000349,338,3,2024-08-25,USD,RECEIVED
350,PO-0000350,126,9,2023-08-03,USD,RECEIVED
351,PO-0000351,424,5,2023-07-01,USD,RECEIVED
352,PO-0000352,73,5,2025-03-15,USD,RECEIVED
353,PO-0000353,186,2,2023-03-20,USD,RECEIVED
354,PO-0000354,412,2,2026-09-17,USD,CANCELLED
355,PO-0000355,78,5,2024-01-08,USD,RECEIVED
356,PO-0000356,118,7,2024-01-19,USD,RECEIVED
357,PO-0000357,232,2,2025-02-10,USD,OPEN
358,PO-0000358,17,6,2024-05-30,USD,OPEN
359,PO-0000359,443,6,2025-01-10,USD,RECEIVED
360,PO-0000360,395,12,2023-11-11,USD,RECEIVED
361,PO-0000361,228,8,2024-07-20,USD,RECEIVED
362,PO-0000362,136,5,2024-09-26,USD,RECEIVED
363,PO-0000363,24,11,2026-01-27,USD,OPEN
364,PO-0000364,242,6,2025-05-22,USD,CANCELLED
365,PO-0000365,211,3,2025-05-29,USD,RECEIVED
366,PO-0000366,255,9,2023-08-05,USD,RECEIVED
367,PO-0000367,372,12,2023-09-05,USD,PARTIAL
368,PO-0000368,27,11,2025-12-29,USD,PARTIAL
369,PO-0000369,208,2,2025-02-01,USD,RECEIVED
370,PO-0000370,454,2,2023-09-23,USD,OPEN
371,PO-0000371,283,8,2025-08-21,USD,RECEIVED
372,PO-0000372,332,3,2025-07-30,USD,RECEIVED
373,PO-0000373,188,2,2023-05-27,USD,RECEIVED
374,PO-0000374,364,12,2023-06-23,USD,RECEIVED
375,PO-0000375,394,3,2025-03-31,USD,RECEIVED
376,PO-0000376,175,5,2026-01-10,USD,RECEIVED
377,PO-0000377,406,1,2023-01-27,USD,CANCELLED
378,PO-0000378,208,2,2025-02-03,USD,PARTIAL
379,PO-0000379,177,3,2023-01-26,USD,RECEIVED
380,PO-0000380,89,10,2023-04-10,USD,CANCELLED
381,PO-0000381,145,12,2024-11-16,USD,RECEIVED
382,PO-0000382,21,9,2024-01-01,USD,CANCELLED
383,PO-0000383,463,2,2025-03-07,USD,PARTIAL
384,PO-0000384,95,7,2024-10-01,USD,RECEIVED
385,PO-0000385,36,1,2023-12-27,USD,RECEIVED
386,PO-0000386,24,8,2025-06-21,USD,CANCELLED
387,PO-0000387,121,8,2023-07-11,USD,RECEIVED
388,PO-0000388,178,11,2023-12-02,USD,OPEN
389,PO-0000389,379,6,2024-01-26,USD,RECEIVED
390,PO-0000390,460,7,2026-07-06,USD,PARTIAL
391,PO-0000391,495,9,2025-02-05,USD,CANCELLED
392,PO-0000392,404,2,2025-07-21,USD,PARTIAL
393,PO-0000393,206,6,2025-02-06,USD,RECEIVED
394,PO-0000394,284,1,2025-09-08,USD,PARTIAL
395,PO-0000395,10,11,2025-10-12,USD,RECEIVED
396,PO-0000396,471,10,2023-01-28,USD,RECEIVED
397,PO-0000397,18,1,2023-03-28,USD,RECEIVED
398,PO-0000398,156,5,2023-05-14,USD,RECEIVED
399,PO-0000399,233,6,2023-05-31,USD,CANCELLED
400,PO-0000400,144,9,2023-02-10,USD,RECEIVED
401,PO-0000401,247,4,2023-10-30,USD,OPEN
402,PO-0000402,257,9,2024-04-13,USD,PARTIAL
403,PO-0000403,42,9,2023-12-01,USD,RECEIVED
404,PO-0000404,450,6,2023-11-20,USD,RECEIVED
405,PO-0000405,435,11,2023-01-26,USD,RECEIVED
406,PO-0000406,51,2,2023-07-19,USD,RECEIVED
407,PO-0000407,270,7,2025-07-16,USD,RECEIVED
408,PO-0000408,477,6,2024-01-02,USD,RECEIVED
409,PO-0000409,37,11,2025-04-20,USD,PARTIAL
410,PO-0000410,487,9,2024-01-12,USD,RECEIVED
411,PO-0000411,170,1,2024-02-20,USD,CANCELLED
412,PO-0000412,253,4,2024-01-22,USD,PARTIAL
413,PO-0000413,486,1,2026-02-08,USD,OPEN
414,PO-0000414,125,11,2026-05-06,USD,RECEIVED
415,PO-0000415,262,11,2025-02-12,USD,RECEIVED
416,PO-0000416,64,5,2023-10-30,USD,RECEIVED
417,PO-0000417,308,4,2025-12-11,USD,RECEIVED
418,PO-0000418,446,10,2023-08-06,USD,RECEIVED
419,PO-0000419,408,11,2023-11-23,USD,RECEIVED
420,PO-0000420,282,2,2026-06-03,USD,OPEN
421,PO-0000421,46,4,2024-12-19,USD,OPEN
422,PO-0000422,100,6,2026-07-02,USD,RECEIVED
423,PO-0000423,153,5,2024-12-29,USD,CANCELLED
424,PO-0000424,76,2,2026-05-22,USD,RECEIVED
425,PO-0000425,234,1,2025-04-11,USD,RECEIVED
426,PO-0000426,187,3,2025-11-25,USD,OPEN
427,PO-0000427,376,10,2026-01-19,USD,RECEIVED
428,PO-0000428,474,8,2025-10-28,USD,RECEIVED
429,PO-0000429,6,12,2025-09-06,USD,RECEIVED
430,PO-0000430,310,8,2024-11-08,USD,RECEIVED
431,PO-0000431,109,4,2023-01-29,USD,RECEIVED
432,PO-0000432,105,2,2023-08-10,USD,RECEIVED
433,PO-0000433,448,2,2025-08-07,USD,RECEIVED
434,PO-0000434,359,4,2025-08-13,USD,RECEIVED
435,PO-0000435,42,6,2025-10-27,USD,RECEIVED
436,PO-0000436,143,4,2024-07-18,USD,RECEIVED
437,PO-0000437,404,8,2026-07-18,USD,RECEIVED
438,PO-0000438,459,3,2023-01-03,USD,RECEIVED
439,PO-0000439,244,6,2026-03-04,USD,RECEIVED
440,PO-0000440,90,4,2024-02-18,USD,RECEIVED
441,PO-0000441,52,10,2023-07-01,USD,RECEIVED
442,PO-0000442,329,4,2024-04-04,USD,RECEIVED
443,PO-0000443,149,11,2025-12-25,USD,PARTIAL
444,PO-0000444,185,7,2025-11-16,USD,RECEIVED
445,PO-0000445,202,5,2026-08-30,USD,PARTIAL
446,PO-0000446,496,4,2024-03-05,USD,RECEIVED
447,PO-0000447,283,2,2025-01-18,USD,RECEIVED
448,PO-0000448,226,11,2024-12-31,USD,OPEN
449,PO-0000449,74,10,2025-11-09,USD,RECEIVED
450,PO-0000450,253,10,2025-03-30,USD,RECEIVED
451,PO-0000451,435,10,2025-05-27,USD,CANCELLED
452,PO-0000452,265,3,2026-05-15,USD,RECEIVED
453,PO-0000453,203,2,2025-12-28,USD,RECEIVED
454,PO-0000454,267,3,2024-04-01,USD,RECEIVED
455,PO-0000455,98,5,2023-10-14,USD,RECEIVED
456,PO-0000456,461,6,2025-04-05,USD,RECEIVED
457,PO-0000457,361,2,2025-03-20,USD,RECEIVED
458,PO-0000458,59,2,2023-10-01,USD,RECEIVED
459,PO-0000459,159,1,2024-12-04,USD,RECEIVED
460,PO-0000460,115,9,2025-04-15,USD,CANCELLED
461,PO-0000461,272,7,2024-06-11,USD,RECEIVED
462,PO-0000462,237,7,2025-06-09,USD,RECEIVED
463,PO-0000463,241,7,2023-05-29,USD,RECEIVED
464,PO-0000464,408,2,2025-11-07,USD,CANCELLED
465,PO-0000465,54,1,2024-08-30,USD,PARTIAL
