LANE_ID,ORIGIN_PORT_ID,DEST_PORT_ID,TRANSPORT_MODE,TRANSIT_DAYS_AVG,IS_PROBLEM_LANE
497,37,32,OCEAN,32,False
498,37,39,OCEAN,20,False
499,38,3,AIR,5,False
500,38,5,AIR,6,False
272,21,14,OCEAN,29,False
273,21,15,OCEAN,38,False
274,21,17,OCEAN,43,False
275,21,24,OCEAN,19,False
276,21,25,OCEAN,23,False
277,21,26,OCEAN,36,False
278,21,28,OCEAN,17,False
279,21,31,OCEAN,40,False
280,21,32,OCEAN,14,False
281,21,35,OCEAN,21,False
282,21,37,OCEAN,18,False
283,21,38,OCEAN,39,False
284,22,2,AIR,4,False
285,22,8,AIR,4,False
286,22,15,OCEAN,33,False
287,22,17,OCEAN,21,False
288,22,19,OCEAN,40,False
289,22,26,OCEAN,43,False
290,22,27,OCEAN,17,False
291,22,28,OCEAN,30,False
292,22,31,OCEAN,41,False
293,22,32,OCEAN,22,False
294,22,33,OCEAN,26,False
295,22,35,OCEAN,33,False
296,22,36,OCEAN,37,False
297,22,40,OCEAN,40,False
298,23,1,AIR,6,False
299,23,6,AIR,2,False
300,23,9,AIR,6,False
301,23,12,OCEAN,22,False
302,23,15,OCEAN,34,False
303,23,21,OCEAN,14,False
304,23,22,OCEAN,30,False
305,23,25,OCEAN,33,False
306,23,29,OCEAN,18,False
307,23,36,OCEAN,33,False
308,23,37,OCEAN,35,False
309,23,38,OCEAN,32,False
310,23,40,OCEAN,37,False
311,24,4,AIR,4,False
312,24,5,AIR,5,False
313,24,6,AIR,4,False
314,24,9,AIR,4,False
315,24,10,OCEAN,36,False
316,24,18,OCEAN,38,False
317,24,21,OCEAN,36,False
318,24,22,OCEAN,17,False
319,24,30,OCEAN,36,False
320,24,33,OCEAN,14,False
321,24,36,OCEAN,17,False
322,24,37,OCEAN,22,False
323,24,40,OCEAN,29,False
324,25,1,AIR,3,False
325,25,7,AIR,2,False
326,25,9,AIR,2,False
327,25,14,OCEAN,15,False
328,25,19,OCEAN,33,False
329,25,20,OCEAN,32,False
330,25,24,OCEAN,18,False
331,25,27,OCEAN,26,False
332,25,28,OCEAN,21,False
333,25,29,OCEAN,37,False
334,25,30,OCEAN,20,False
335,25,34,OCEAN,25,False
336,25,36,OCEAN,27,False
337,25,37,OCEAN,30,False
338,25,39,OCEAN,16,False
339,26,1,AIR,6,False
408,30,15,OCEAN,41,False
409,30,16,OCEAN,29,False
410,30,22,OCEAN,16,False
411,30,24,OCEAN,36,False
412,31,2,AIR,3,False
413,31,3,AIR,4,False
414,31,8,AIR,2,False
415,31,9,AIR,5,False
416,31,11,OCEAN,35,False
417,31,13,OCEAN,21,False
418,31,14,OCEAN,32,False
419,31,15,OCEAN,14,False
420,31,19,OCEAN,37,False
421,31,20,OCEAN,34,False
422,31,23,OCEAN,25,False
423,31,32,OCEAN,28,False
424,31,33,OCEAN,42,False
425,31,36,OCEAN,25,False
426,31,39,OCEAN,17,False
427,32,7,AIR,6,False
428,32,9,AIR,6,False
429,32,10,OCEAN,22,False
430,32,12,OCEAN,26,False
431,32,27,OCEAN,40,False
432,32,28,OCEAN,22,False
433,32,34,OCEAN,39,False
434,32,35,OCEAN,38,False
435,32,36,OCEAN,24,False
436,32,37,OCEAN,25,False
437,33,2,AIR,4,False
438,33,8,AIR,4,False
439,33,9,AIR,4,False
440,33,11,OCEAN,19,False
441,33,16,OCEAN,30,False
442,33,19,OCEAN,31,False
443,33,23,OCEAN,40,False
444,33,24,OCEAN,39,False
445,33,25,OCEAN,31,False
446,33,27,OCEAN,41,False
447,33,35,OCEAN,17,False
448,33,37,OCEAN,23,False
449,33,39,OCEAN,35,False
450,34,4,AIR,3,False
451,34,6,AIR,5,False
452,34,8,AIR,5,False
453,34,10,OCEAN,43,False
454,34,16,OCEAN,22,False
455,34,18,OCEAN,28,False
456,34,24,OCEAN,25,False
457,34,25,OCEAN,20,False
458,34,26,OCEAN,34,False
459,34,31,OCEAN,20,False
460,34,33,OCEAN,25,False
461,34,35,OCEAN,40,False
462,34,36,OCEAN,41,False
463,34,37,OCEAN,24,False
464,34,38,OCEAN,35,False
465,35,2,AIR,5,False
466,35,3,AIR,3,False
467,35,6,AIR,5,False
468,35,10,OCEAN,27,False
469,35,15,OCEAN,37,False
470,35,29,OCEAN,19,False
471,35,30,OCEAN,16,False
472,35,32,OCEAN,37,False
473,35,36,OCEAN,24,False
474,36,2,AIR,4,False
475,36,4,AIR,6,False
204,16,26,OCEAN,19,False
205,16,30,OCEAN,37,False
206,16,33,OCEAN,28,False
207,16,34,OCEAN,26,False
208,16,37,OCEAN,24,False
209,17,4,AIR,5,False
210,17,9,AIR,5,False
211,17,11,OCEAN,32,False
212,17,18,OCEAN,40,False
213,17,20,OCEAN,29,False
214,17,22,OCEAN,33,False
215,17,24,OCEAN,17,False
216,17,25,OCEAN,21,False
217,17,26,OCEAN,41,False
218,17,27,OCEAN,19,False
219,17,28,OCEAN,40,False
220,17,31,OCEAN,16,False
221,17,33,OCEAN,18,False
222,17,34,OCEAN,23,False
223,17,36,OCEAN,36,False
224,18,2,AIR,6,False
225,18,5,AIR,3,False
226,18,8,AIR,4,False
227,18,9,AIR,6,False
228,18,10,OCEAN,22,False
229,18,11,OCEAN,16,False
230,18,14,OCEAN,39,False
231,18,15,OCEAN,24,False
232,18,19,OCEAN,39,False
233,18,20,OCEAN,37,False
234,18,24,OCEAN,24,False
235,18,32,OCEAN,37,False
236,18,33,OCEAN,14,False
237,18,37,OCEAN,16,False
238,18,39,OCEAN,32,False
239,19,1,AIR,2,False
240,19,7,AIR,5,False
241,19,13,OCEAN,36,False
242,19,20,OCEAN,30,False
243,19,21,OCEAN,35,False
244,19,23,OCEAN,22,False
245,19,25,OCEAN,14,False
246,19,26,OCEAN,28,False
247,19,27,OCEAN,26,False
248,19,30,OCEAN,43,False
249,19,31,OCEAN,37,False
250,19,35,OCEAN,15,False
251,19,36,OCEAN,30,False
252,19,37,OCEAN,37,False
253,20,3,AIR,5,False
254,20,10,OCEAN,43,False
255,20,11,OCEAN,25,False
256,20,12,OCEAN,26,False
257,20,14,OCEAN,36,False
258,20,15,OCEAN,23,False
259,20,16,OCEAN,28,False
260,20,18,OCEAN,25,False
261,20,19,OCEAN,37,False
262,20,21,OCEAN,25,False
263,20,22,OCEAN,28,False
264,20,23,OCEAN,38,False
265,20,25,OCEAN,21,False
266,20,28,OCEAN,21,False
267,21,2,AIR,3,False
268,21,3,AIR,3,False
269,21,4,AIR,3,False
270,21,6,AIR,6,False
271,21,7,AIR,5,False
136,11,14,OCEAN,24,False
137,11,19,OCEAN,43,False
138,11,31,OCEAN,19,False
139,11,38,OCEAN,30,False
140,11,40,OCEAN,33,False
141,12,1,AIR,2,False
142,12,9,AIR,4,False
143,12,11,OCEAN,28,False
144,12,13,OCEAN,18,False
145,12,19,OCEAN,30,False
146,12,21,OCEAN,39,False
147,12,22,OCEAN,25,False
148,12,25,OCEAN,27,False
149,12,26,OCEAN,17,False
150,12,28,OCEAN,31,False
151,12,31,OCEAN,27,False
152,12,32,OCEAN,18,False
153,12,33,OCEAN,14,False
154,12,34,OCEAN,37,False
155,12,37,OCEAN,15,False
156,12,38,OCEAN,38,False
157,12,39,OCEAN,18,False
158,13,1,AIR,4,False
159,13,3,AIR,2,False
160,13,7,AIR,2,False
161,13,10,OCEAN,43,False
162,13,15,OCEAN,41,False
163,13,17,OCEAN,17,False
164,13,18,OCEAN,31,False
165,13,24,OCEAN,31,False
166,13,25,OCEAN,42,False
167,13,27,OCEAN,21,False
168,13,29,OCEAN,16,False
169,13,32,OCEAN,18,False
170,13,39,OCEAN,31,False
171,13,40,OCEAN,22,False
172,14,4,AIR,3,False
173,14,12,OCEAN,40,False
174,14,13,OCEAN,42,False
175,14,18,OCEAN,31,False
176,14,20,OCEAN,41,False
177,14,28,OCEAN,30,False
178,14,29,OCEAN,29,False
179,14,30,OCEAN,16,False
180,14,31,OCEAN,23,False
181,14,33,OCEAN,38,False
182,15,1,AIR,3,False
183,15,2,AIR,3,False
184,15,3,AIR,4,False
185,15,5,AIR,6,False
186,15,6,AIR,3,False
187,15,11,OCEAN,30,False
188,15,13,OCEAN,40,False
189,15,16,OCEAN,17,False
190,15,19,OCEAN,20,False
191,15,25,OCEAN,29,False
192,15,32,OCEAN,19,False
193,15,37,OCEAN,20,False
194,16,3,AIR,5,False
195,16,8,AIR,5,False
196,16,9,AIR,3,False
197,16,11,OCEAN,16,False
198,16,12,OCEAN,18,False
199,16,15,OCEAN,28,False
200,16,18,OCEAN,16,False
201,16,20,OCEAN,18,False
202,16,22,OCEAN,42,False
203,16,23,OCEAN,42,False
68,6,3,AIR,3,False
69,6,4,AIR,5,False
70,6,7,AIR,5,False
71,6,8,AIR,4,False
72,6,10,AIR,6,False
73,6,19,AIR,2,False
74,6,20,AIR,6,False
75,6,28,AIR,4,False
76,6,32,AIR,4,False
77,6,37,AIR,2,False
78,7,4,AIR,6,False
79,7,10,AIR,4,False
80,7,11,AIR,5,False
81,7,15,AIR,3,False
82,7,24,AIR,2,False
83,7,25,AIR,2,False
84,7,28,AIR,3,False
85,7,30,AIR,6,False
86,7,37,AIR,3,False
87,8,1,AIR,6,False
88,8,2,AIR,5,False
89,8,4,AIR,2,False
90,8,11,AIR,3,False
91,8,13,AIR,3,False
92,8,21,AIR,4,False
93,8,23,AIR,2,False
94,8,29,AIR,3,False
95,8,31,AIR,3,False
96,8,33,AIR,6,False
97,8,34,AIR,2,False
98,8,35,AIR,3,False
99,8,38,AIR,6,False
100,9,5,AIR,2,False
101,9,6,AIR,5,False
102,9,10,AIR,5,False
103,9,12,AIR,6,False
104,9,16,AIR,5,False
105,9,17,AIR,5,False
106,9,18,AIR,4,False
107,9,22,AIR,4,False
108,9,24,AIR,4,False
109,9,25,AIR,3,False
110,9,26,AIR,5,False
111,9,30,AIR,3,False
112,9,31,AIR,5,False
113,9,32,AIR,6,False
114,9,33,AIR,5,False
115,9,35,AIR,5,False
116,9,36,AIR,6,False
117,10,1,AIR,3,False
118,10,8,AIR,4,False
119,10,9,AIR,3,False
120,10,11,OCEAN,18,False
121,10,13,OCEAN,27,False
122,10,15,OCEAN,34,False
123,10,16,OCEAN,33,False
124,10,21,OCEAN,24,False
125,10,24,OCEAN,14,False
126,10,28,OCEAN,33,False
127,10,31,OCEAN,20,False
128,10,32,OCEAN,19,False
129,10,33,OCEAN,27,False
130,10,36,OCEAN,18,False
131,10,37,OCEAN,32,False
132,11,3,AIR,6,False
133,11,4,AIR,5,False
134,11,5,AIR,3,False
135,11,7,AIR,3,False
