PO_LINE_ID,PO_ID,PART_ID,QUANTITY,UNIT_PRICE,PROMISE_DATE
79,27,6884,507.00,182.45,2023-04-30
80,27,25724,441.00,61.79,2025-10-14
81,27,20617,528.00,48.94,2023-10-06
82,28,22817,756.00,182.50,2024-01-08
83,28,23823,475.00,317.45,2026-02-20
84,28,12849,336.00,291.50,2024-06-01
85,29,29111,968.00,273.00,2024-11-19
86,29,22233,195.00,133.19,2025-05-10
87,29,8115,413.00,150.42,2026-10-26
88,30,6470,548.00,348.34,2023-11-28
89,30,10588,933.00,486.63,2026-03-24
90,30,26917,231.00,256.06,2023-06-23
91,31,28463,588.00,244.71,2026-07-15
92,31,28498,15.00,485.14,2025-05-09
93,31,12986,483.00,291.70,2024-10-16
94,32,3317,61.00,374.30,2025-09-27
95,32,5431,110.00,424.86,2025-04-01
96,32,22136,116.00,458.84,2023-10-17
97,33,27024,649.00,266.17,2023-08-05
98,33,14163,143.00,34.78,2023-08-17
99,33,6959,710.00,450.38,2025-09-16
100,34,26210,24.00,333.33,2026-10-17
101,34,29985,967.00,338.30,2024-09-26
102,34,16343,358.00,122.47,2024-04-25
103,35,7627,704.00,246.34,2023-07-17
104,35,18807,343.00,160.50,2025-04-28
105,35,12302,73.00,40.28,2024-07-29
106,36,9707,199.00,7.08,2024-05-15
107,36,20148,450.00,283.70,2024-10-08
108,36,6461,693.00,425.70,2024-08-25
109,37,20490,326.00,120.63,2024-04-12
110,37,22423,21.00,394.98,2023-10-23
111,37,1197,605.00,209.56,2025-09-26
112,38,412,386.00,434.44,2025-11-10
113,38,15881,34.00,230.95,2026-08-19
114,38,2026,928.00,238.98,2025-05-03
115,39,25240,754.00,314.50,2025-08-01
116,39,20400,337.00,9.04,2026-06-10
117,39,28169,419.00,498.43,2025-02-03
118,40,12014,163.00,1.26,2024-09-18
119,40,18822,788.00,260.38,2023-03-18
120,40,25659,401.00,209.25,2023-06-10
121,41,10116,48.00,56.64,2026-09-23
122,41,7056,724.00,87.89,2023-08-21
123,41,11774,738.00,272.66,2024-06-16
124,42,21799,661.00,382.31,2025-04-15
125,42,11048,829.00,445.33,2023-07-10
126,42,19783,907.00,464.35,2026-11-06
127,43,11774,168.00,146.74,2025-10-28
128,43,17294,513.00,322.91,2024-05-19
129,43,8151,987.00,417.61,2025-01-27
130,44,18180,901.00,457.80,2026-02-09
131,44,10480,10.00,434.26,2024-01-09
132,44,6373,271.00,321.30,2026-01-23
133,45,2238,410.00,270.28,2026-01-30
134,45,21896,350.00,231.89,2024-11-21
135,45,17076,459.00,265.32,2025-08-01
136,46,29385,271.00,40.47,2024-04-12
137,46,11027,689.00,415.30,2026-09-10
138,46,29593,47.00,391.39,2023-02-03
139,47,7612,820.00,225.33,2026-04-28
140,47,28259,261.00,323.09,2025-03-18
141,47,22526,100.00,403.62,2023-10-23
142,48,9862,32.00,220.46,2025-05-25
143,48,23096,429.00,305.45,2025-11-05
144,48,29438,732.00,351.92,2025-03-15
145,49,4238,249.00,337.24,2023-05-30
146,49,27923,414.00,475.07,2023-12-11
147,49,707,87.00,409.18,2025-02-13
148,50,14747,748.00,343.30,2026-04-26
149,50,19167,890.00,131.24,2025-09-02
150,50,12283,44.00,34.48,2025-01-10
151,51,12554,685.00,165.80,2026-03-25
152,51,28545,313.00,381.80,2025-12-11
153,51,1268,882.00,350.83,2024-02-21
154,52,13743,726.00,46.75,2023-08-22
155,52,26496,395.00,197.83,2024-11-08
156,52,22315,624.00,36.67,2024-11-01
157,53,4636,281.00,167.68,2024-02-19
158,53,15211,605.00,371.69,2026-08-30
159,53,18939,690.00,500.12,2026-06-14
160,54,17773,220.00,38.46,2023-05-15
161,54,3325,939.00,1.46,2023-04-26
162,54,7621,513.00,485.57,2024-03-05
163,55,16990,457.00,431.23,2025-05-22
164,55,3183,644.00,477.18,2025-12-02
165,55,10662,442.00,401.58,2025-08-11
166,56,23805,388.00,38.20,2025-03-31
167,56,21201,510.00,67.74,2024-07-12
168,56,8180,575.00,472.99,2025-08-16
169,57,25458,591.00,11.14,2026-03-12
170,57,17732,737.00,113.06,2025-05-14
171,57,11363,247.00,288.96,2024-12-16
172,58,8599,718.00,361.29,2024-05-23
173,58,29525,576.00,79.79,2024-09-06
174,58,16354,352.00,330.04,2023-03-16
175,59,16506,70.00,297.08,2024-03-11
176,59,1965,143.00,239.05,2025-06-01
177,59,19932,162.00,303.12,2023-12-15
178,60,2545,464.00,227.59,2024-03-10
179,60,8360,423.00,53.88,2024-05-18
180,60,22892,401.00,66.86,2024-04-20
181,61,10446,445.00,89.29,2026-07-29
182,61,19975,467.00,63.20,2026-04-06
183,61,27660,482.00,275.69,2026-01-24
184,62,3592,661.00,89.14,2026-10-09
185,62,21890,490.00,383.89,2023-09-07
186,62,8950,331.00,184.50,2023-08-25
187,63,7546,268.00,69.00,2023-08-08
188,63,12892,614.00,57.52,2023-10-15
189,63,24524,145.00,323.91,2026-07-11
190,64,3945,79.00,437.03,2025-01-23
191,64,26439,316.00,434.72,2024-01-07
192,64,29359,873.00,476.64,2024-04-24
193,65,5811,319.00,150.33,2026-06-03
194,65,23701,703.00,351.82,2025-01-29
195,65,23433,636.00,436.78,2023-03-30
196,66,5779,281.00,227.32,2025-09-14
197,66,3799,714.00,293.95,2025-11-08
198,66,15038,840.00,458.41,2026-07-27
199,67,23290,997.00,450.17,2026-09-26
200,67,19602,555.00,300.43,2024-01-06
201,67,23570,922.00,282.26,2025-03-07
202,68,9722,822.00,117.19,2026-04-22
203,68,10441,710.00,27.11,2023-07-21
204,68,17537,120.00,253.18,2026-02-10
205,69,15660,634.00,428.94,2023-08-21
206,69,4372,961.00,236.95,2024-07-24
207,69,25818,855.00,112.60,2024-06-21
208,70,14819,655.00,469.26,2025-08-07
209,70,859,536.00,384.00,2025-01-25
210,70,20336,111.00,76.11,2026-05-16
211,71,27671,260.00,90.60,2023-11-13
212,71,4378,247.00,425.95,2026-02-07
213,71,28408,944.00,285.19,2026-04-11
214,72,18447,478.00,70.03,2024-10-31
215,72,6594,266.00,138.03,2026-07-21
216,72,6013,978.00,498.39,2026-01-15
217,73,399,383.00,473.27,2025-07-28
218,73,15435,166.00,83.40,2024-01-06
219,73,20339,505.00,127.58,2026-06-23
220,74,15228,817.00,157.21,2025-02-28
221,74,15636,140.00,453.58,2023-08-22
222,74,1281,39.00,378.17,2025-07-17
223,75,1936,455.00,43.02,2026-05-28
224,75,15352,650.00,310.27,2023-04-10
225,75,3154,46.00,237.35,2026-05-14
226,76,6977,907.00,13.72,2023-07-29
227,76,5620,542.00,404.73,2024-01-29
228,76,18629,14.00,29.31,2024-08-22
229,77,1552,914.00,63.84,2026-10-09
230,77,27198,29.00,250.70,2024-06-21
231,77,26929,39.00,1.93,2024-02-12
232,78,4120,842.00,451.54,2023-12-21
233,78,17248,349.00,317.27,2025-09-27
234,78,2630,425.00,390.65,2024-01-19
235,79,28467,234.00,233.34,2024-03-29
236,79,24910,335.00,58.27,2024-01-25
237,79,3067,324.00,179.97,2025-12-06
238,80,9166,782.00,74.33,2024-06-19
239,80,24478,455.00,113.71,2023-05-10
240,80,16409,909.00,14.40,2023-06-14
241,81,15716,519.00,400.51,2023-10-16
242,81,26701,761.00,143.03,2024-08-30
243,81,13885,592.00,406.25,2026-05-16
244,82,10266,197.00,67.31,2024-09-01
245,82,13859,827.00,50.09,2023-06-18
246,82,3976,599.00,423.58,2023-03-15
247,83,16810,976.00,95.03,2023-08-21
248,83,26714,568.00,293.92,2025-10-26
249,83,29279,824.00,217.75,2024-03-05
250,84,4760,461.00,488.09,2025-07-05
251,84,4528,478.00,465.95,2026-04-26
252,84,14900,879.00,401.55,2026-03-29
253,85,16767,422.00,10.35,2025-12-17
254,85,14095,982.00,297.88,2024-09-10
255,85,29101,750.00,103.50,2026-05-28
256,86,7567,109.00,11.92,2023-04-26
257,86,17944,827.00,84.72,2026-10-05
258,86,3267,685.00,419.07,2024-07-18
259,87,27896,811.00,54.64,2026-09-16
260,87,23715,140.00,182.54,2023-05-22
261,87,14132,464.00,325.70,2025-06-07
262,88,7171,717.00,401.97,2025-03-20
263,88,26926,321.00,78.57,2023-04-11
264,88,12754,758.00,402.96,2023-05-03
265,89,25274,260.00,262.27,2024-11-16
266,89,12174,973.00,384.41,2025-06-01
267,89,17179,797.00,123.79,2026-01-06
268,90,28227,421.00,224.46,2026-06-08
269,90,948,416.00,109.84,2024-06-09
270,90,8823,741.00,310.23,2026-11-06
271,91,7379,414.00,475.18,2026-01-28
272,91,8553,712.00,34.92,2023-04-21
273,91,12809,998.00,298.71,2023-04-17
274,92,3316,345.00,31.17,2024-09-21
275,92,14861,723.00,476.22,2026-08-18
276,92,25551,680.00,337.07,2023-04-18
277,93,2559,44.00,392.89,2024-08-16
278,93,15440,959.00,205.25,2023-04-17
279,93,18056,993.00,59.61,2024-07-26
280,94,19560,110.00,23.14,2026-07-24
281,94,4918,190.00,158.47,2025-12-12
282,94,3796,534.00,225.43,2024-04-11
283,95,3039,230.00,154.36,2025-10-04
284,95,8356,319.00,67.83,2025-05-09
285,95,8966,672.00,327.39,2023-08-30
286,96,16062,443.00,233.54,2024-08-31
287,96,9255,906.00,410.15,2023-03-20
288,96,7080,230.00,165.30,2023-06-11
289,97,7907,276.00,122.53,2026-09-11
290,97,13972,426.00,181.30,2023-10-01
291,97,14362,701.00,432.53,2025-01-29
292,98,14581,943.00,60.76,2023-06-22
293,98,15412,712.00,404.02,2025-12-05
294,98,16806,292.00,18.22,2024-03-03
295,99,6060,187.00,89.85,2025-12-28
296,99,22766,169.00,323.14,2023-06-28
297,99,2633,663.00,339.95,2025-11-29
298,100,29243,581.00,118.46,2023-06-23
299,100,3835,310.00,341.76,2025-03-25
300,100,19618,934.00,277.05,2023-07-28
301,101,2483,28.00,205.36,2024-12-18
302,101,9247,857.00,66.04,2026-05-28
303,101,4056,327.00,447.15,2026-03-16
304,102,984,849.00,91.25,2025-08-09
305,102,8303,459.00,168.53,2023-04-30
306,102,9838,106.00,116.82,2026-06-04
307,103,19448,82.00,336.96,2026-05-12
308,103,7154,89.00,169.54,2023-03-17
309,103,1679,876.00,390.14,2023-11-01
310,104,2494,525.00,254.81,2024-09-11
311,104,2480,721.00,330.05,2025-03-09
312,104,29857,677.00,303.71,2023-07-14
313,105,27866,113.00,71.02,2025-09-26
314,105,17698,344.00,294.91,2024-03-21
315,105,5495,244.00,69.45,2026-10-17
316,106,25483,404.00,352.45,2025-11-26
317,106,7292,88.00,319.03,2026-11-08
318,106,4791,647.00,399.75,2023-08-24
319,107,4134,542.00,121.05,2023-11-16
320,107,5782,627.00,174.05,2025-10-26
321,107,26508,409.00,293.27,2026-11-01
322,108,6159,925.00,185.29,2026-10-11
323,108,17171,450.00,239.25,2025-03-23
324,108,27108,170.00,181.82,2026-10-12
325,109,29127,744.00,137.08,2023-09-02
326,109,16225,365.00,119.70,2023-08-05
327,109,25893,419.00,276.64,2023-12-12
328,110,14309,948.00,87.47,2026-08-08
329,110,2838,554.00,151.41,2023-03-09
330,110,11302,105.00,340.33,2025-08-21
331,111,27888,280.00,82.66,2026-07-29
332,111,23586,523.00,392.00,2026-03-27
333,111,21404,245.00,287.65,2023-11-04
334,112,8952,906.00,86.86,2024-12-17
335,112,26,670.00,457.20,2025-03-19
336,112,1059,32.00,53.03,2023-05-01
337,113,20972,378.00,454.82,2025-10-22
338,113,10487,550.00,270.09,2023-04-19
339,113,24600,607.00,322.99,2023-10-24
340,114,18970,926.00,463.12,2024-10-19
341,114,11126,953.00,211.57,2025-03-14
342,114,22165,366.00,429.76,2024-06-21
343,115,24625,524.00,496.24,2025-05-06
344,115,28680,499.00,93.64,2025-05-09
345,115,20004,116.00,17.90,2026-02-04
346,116,23028,896.00,330.05,2024-09-04
347,116,117,620.00,361.50,2025-05-29
348,116,26631,518.00,455.32,2024-02-01
349,117,10338,408.00,370.42,2025-03-10
350,117,29126,606.00,8.34,2026-11-14
351,117,424,164.00,141.41,2025-03-25
352,118,16073,476.00,384.84,2023-12-28
353,118,8686,785.00,264.08,2024-11-04
354,118,2412,47.00,215.85,2023-09-26
355,119,27578,482.00,29.62,2026-07-09
356,119,11618,58.00,147.93,2024-07-20
357,119,18232,317.00,87.91,2026-01-05
358,120,1517,411.00,186.25,2026-02-15
359,120,22943,603.00,254.40,2025-04-11
360,120,16895,237.00,72.14,2025-11-02
361,121,12228,23.00,355.46,2025-02-26
362,121,3636,80.00,328.54,2024-10-09
363,121,1024,704.00,352.62,2024-01-13
364,122,25242,333.00,394.02,2026-08-17
365,122,8711,534.00,93.19,2025-01-22
366,122,26255,996.00,407.66,2023-10-24
367,123,24372,261.00,311.17,2023-11-25
368,123,14527,140.00,377.03,2026-07-10
369,123,21208,641.00,20.62,2025-02-19
370,124,4954,821.00,239.95,2023-07-16
371,124,1283,905.00,39.23,2024-02-10
372,124,16332,738.00,366.01,2024-01-24
373,125,13188,833.00,432.36,2023-08-28
374,125,10864,279.00,121.13,2023-07-07
375,125,22894,858.00,358.80,2024-04-24
376,126,15675,266.00,274.75,2026-08-11
377,126,16906,736.00,309.16,2025-03-02
378,126,27208,179.00,227.84,2023-12-07
379,127,10677,12.00,100.55,2024-04-12
380,127,15589,439.00,224.19,2026-08-07
381,127,20645,357.00,146.55,2025-09-20
382,128,10521,870.00,404.45,2025-11-20
383,128,26463,881.00,122.56,2026-09-02
384,128,8095,946.00,314.79,2023-02-13
385,129,16036,328.00,360.80,2026-07-16
386,129,29524,809.00,295.62,2025-08-17
387,129,29621,851.00,72.61,2025-11-14
388,130,17178,890.00,22.15,2025-09-12
389,130,23379,267.00,338.90,2025-04-05
390,130,16460,496.00,268.02,2025-01-06
391,131,13995,978.00,457.26,2026-10-19
392,131,28404,965.00,280.72,2025-01-19
393,131,8206,141.00,80.27,2024-09-02
394,132,8784,160.00,38.61,2024-03-01
395,132,12010,182.00,120.15,2026-08-27
396,132,16971,625.00,96.27,2025-08-19
397,133,26018,910.00,58.66,2026-08-22
398,133,156,560.00,464.93,2023-03-21
399,133,8733,315.00,143.10,2024-11-18
400,134,24144,324.00,248.30,2023-03-02
401,134,16747,763.00,371.62,2024-03-22
402,134,7757,978.00,246.48,2023-09-26
403,135,15542,528.00,347.54,2025-07-17
404,135,11450,75.00,146.53,2026-04-13
405,135,7435,188.00,323.25,2023-07-12
406,136,9551,581.00,286.59,2023-12-30
407,136,15270,976.00,359.27,2026-08-21
408,136,4477,711.00,388.86,2023-05-17
409,137,23037,956.00,465.70,2023-11-20
410,137,15487,744.00,275.96,2026-06-17
411,137,670,568.00,3.45,2024-05-05
412,138,7253,307.00,480.96,2024-11-17
413,138,6486,574.00,326.74,2024-02-06
414,138,8625,758.00,294.41,2024-09-21
415,139,762,956.00,344.13,2024-01-11
416,139,28564,908.00,424.22,2023-09-26
417,139,18308,217.00,302.65,2023-09-16
418,140,8446,877.00,203.87,2026-08-27
419,140,1408,986.00,261.96,2026-07-30
420,140,10282,791.00,48.69,2024-07-14
421,141,21046,841.00,223.98,2023-04-29
422,141,20100,741.00,257.58,2024-04-27
423,141,9653,386.00,285.48,2024-12-04
424,142,12576,815.00,19.27,2024-05-23
425,142,26734,814.00,395.51,2024-01-09
426,142,29687,474.00,463.39,2025-06-09
427,143,9376,457.00,322.54,2024-07-14
428,143,25474,617.00,108.01,2025-12-07
429,143,22506,519.00,108.09,2026-01-16
430,144,1310,701.00,185.27,2025-12-28
431,144,5109,49.00,143.08,2023-08-23
432,144,14105,221.00,301.71,2023-08-01
433,145,20948,773.00,237.19,2025-01-14
434,145,19859,619.00,24.65,2023-12-19
435,145,6542,549.00,485.00,2023-12-01
436,146,23643,949.00,225.04,2023-02-26
437,146,7404,893.00,340.34,2026-02-16
438,146,24959,702.00,492.12,2026-09-05
439,147,23244,723.00,327.98,2026-10-24
440,147,18590,655.00,66.23,2023-05-09
441,147,11052,757.00,193.81,2023-02-19
442,148,14829,259.00,72.39,2025-08-08
443,148,17649,788.00,304.69,2024-10-08
444,148,11185,64.00,35.00,2026-01-14
445,149,26202,848.00,4.27,2026-03-04
446,149,15496,913.00,75.09,2025-12-16
447,149,17283,281.00,209.78,2026-09-04
448,150,25726,590.00,447.90,2024-02-12
449,150,2074,733.00,39.43,2025-08-08
450,150,8253,109.00,472.79,2025-05-18
451,151,21435,931.00,416.77,2025-10-26
452,151,27265,996.00,494.30,2024-04-14
453,151,10203,497.00,0.52,2025-07-09
454,152,3767,906.00,343.36,2025-06-02
455,152,27598,296.00,358.06,2026-04-15
456,152,22961,447.00,228.55,2024-09-15
457,153,27861,491.00,368.69,2023-11-16
458,153,7059,233.00,171.43,2024-02-08
459,153,23159,34.00,90.23,2025-07-06
460,154,26115,774.00,477.15,2025-05-24
461,154,22272,172.00,47.57,2023-06-20
462,154,2237,364.00,495.60,2023-12-28
463,155,19741,232.00,112.18,2024-12-28
464,155,18408,863.00,453.61,2025-03-31
465,155,1554,712.00,261.07,2024-07-15
466,156,17212,814.00,375.81,2025-09-07
467,156,18791,606.00,169.85,2024-01-03
468,156,14798,427.00,77.38,2024-10-01
469,157,17493,597.00,495.66,2025-08-12
470,157,19634,127.00,393.77,2024-10-27
471,157,28511,738.00,325.73,2024-08-28
472,158,3469,412.00,128.36,2025-03-09
473,158,11375,322.00,75.50,2026-04-24
474,158,15335,369.00,368.75,2026-01-29
475,159,24878,853.00,426.09,2024-02-15
476,159,11791,592.00,55.78,2025-06-10
477,159,14200,922.00,443.14,2026-10-25
478,160,2994,994.00,317.80,2023-11-26
479,160,15534,80.00,138.74,2025-02-13
480,160,28507,692.00,226.64,2025-07-02
481,161,28589,497.00,7.46,2024-02-15
482,161,6037,383.00,83.06,2023-05-14
483,161,13931,623.00,418.82,2025-12-19
484,162,15644,513.00,234.62,2026-05-29
485,162,5061,692.00,387.82,2023-11-05
486,162,14986,582.00,371.55,2024-07-23
487,163,15669,155.00,127.92,2023-12-28
488,163,18475,822.00,140.08,2024-07-07
489,163,17098,998.00,451.45,2025-07-29
490,164,16933,245.00,116.27,2025-06-21
491,164,14241,347.00,107.84,2025-12-20
492,164,11882,874.00,94.09,2024-11-27
493,165,4506,434.00,235.22,2025-11-27
494,165,16790,465.00,385.60,2026-01-09
495,165,3027,916.00,292.23,2023-08-12
496,166,24709,664.00,230.10,2026-04-24
497,166,13207,838.00,497.96,2023-06-26
498,166,14304,18.00,251.46,2023-05-04
499,167,11718,177.00,242.82,2025-06-04
500,167,12679,900.00,263.06,2026-03-01
501,167,11955,544.00,207.78,2024-03-12
502,168,19181,755.00,146.51,2025-06-16
503,168,20351,389.00,210.98,2024-06-28
504,168,15651,158.00,211.68,2024-08-28
505,169,6548,993.00,70.82,2024-06-09
506,169,6015,379.00,335.54,2026-05-12
507,169,22473,979.00,23.83,2024-12-03
508,170,17797,146.00,17.57,2026-04-27
509,170,11053,128.00,455.54,2025-11-21
510,170,29595,783.00,398.56,2024-03-27
511,171,460,306.00,298.36,2023-03-17
512,171,24035,385.00,364.23,2025-04-21
513,171,1190,37.00,230.86,2023-09-03
514,172,4372,837.00,329.37,2023-12-19
515,172,12401,769.00,140.89,2025-04-06
516,172,11450,237.00,229.81,2023-05-31
517,173,23094,466.00,321.62,2025-01-28
518,173,17459,13.00,352.85,2024-10-26
519,173,4839,612.00,395.75,2024-06-19
520,174,1727,916.00,276.66,2023-07-29
521,174,300,673.00,341.45,2024-09-01
522,174,8427,242.00,354.57,2023-05-19
523,175,17627,618.00,309.30,2024-05-26
524,175,29572,304.00,160.59,2025-04-24
525,175,21461,685.00,399.08,2026-06-05
526,176,29860,32.00,183.12,2024-03-15
527,176,10502,54.00,122.66,2026-07-30
528,176,29267,837.00,296.58,2025-12-09
529,177,13187,418.00,169.40,2025-05-09
530,177,25327,540.00,309.16,2026-05-11
531,177,3462,360.00,244.59,2026-04-07
532,178,17782,656.00,368.21,2025-02-28
533,178,19222,800.00,496.84,2026-05-06
534,178,21525,283.00,304.79,2024-06-11
535,179,16018,993.00,220.27,2024-11-24
536,179,19679,76.00,78.39,2026-04-09
537,179,2836,597.00,245.71,2026-02-13
538,180,22076,149.00,98.86,2025-08-22
539,180,23471,599.00,191.87,2024-07-21
540,180,3516,406.00,427.28,2026-06-10
541,181,17553,815.00,404.19,2024-06-08
542,181,22458,797.00,111.31,2024-09-04
543,181,17574,895.00,81.63,2026-08-18
544,182,15160,235.00,227.98,2023-03-18
545,182,2904,473.00,377.38,2023-01-24
546,182,16503,884.00,331.04,2026-09-07
547,183,29547,153.00,308.87,2024-12-23
548,183,12159,819.00,461.54,2025-11-11
549,183,395,408.00,73.03,2025-02-12
550,184,27413,35.00,491.63,2025-10-20
551,184,26064,951.00,318.79,2026-11-03
552,184,12180,278.00,203.58,2025-03-13
553,185,12182,67.00,70.18,2023-09-20
554,185,12050,935.00,180.42,2026-04-21
555,185,8064,778.00,197.97,2025-08-24
556,186,4933,622.00,465.23,2025-10-01
557,186,4280,758.00,195.28,2026-06-28
558,186,2712,63.00,50.21,2024-03-06
559,187,11996,549.00,372.36,2026-08-17
560,187,26387,149.00,156.68,2024-02-22
561,187,13941,228.00,194.63,2023-10-15
562,188,26298,430.00,97.53,2026-04-05
563,188,26515,501.00,425.39,2025-12-08
564,188,16833,563.00,304.08,2025-06-04
565,189,5278,189.00,343.83,2024-04-30
566,189,6169,59.00,443.42,2023-07-16
567,189,4432,823.00,190.76,2026-10-19
568,190,21367,113.00,169.70,2023-12-18
569,190,1976,837.00,194.75,2025-05-22
570,190,27575,521.00,420.56,2026-03-07
571,191,11935,648.00,320.55,2026-10-17
572,191,6273,574.00,143.83,2024-11-19
573,191,15765,45.00,364.35,2023-07-14
574,192,18799,363.00,495.65,2024-07-17
575,192,10401,198.00,482.89,2026-09-22
576,192,7755,602.00,373.06,2023-11-16
577,193,2845,14.00,308.71,2024-02-07
578,193,12574,82.00,482.35,2026-09-29
579,193,6697,975.00,346.30,2024-11-25
580,194,10742,935.00,315.23,2024-12-03
581,194,24309,938.00,267.75,2025-05-18
582,194,10179,580.00,330.00,2024-11-15
583,195,9180,588.00,231.03,2025-10-20
584,195,19154,290.00,155.03,2026-06-17
585,195,25673,33.00,234.90,2024-11-08
586,196,14713,248.00,116.97,2023-07-26
587,196,26165,263.00,146.22,2025-12-28
588,196,26742,421.00,436.41,2024-07-25
589,197,19764,340.00,33.29,2024-08-26
590,197,1277,665.00,199.57,2023-07-11
591,197,28532,129.00,322.05,2025-02-11
592,198,27921,838.00,190.38,2023-04-19
593,198,10801,351.00,340.47,2024-03-26
594,198,4623,769.00,455.88,2024-02-19
595,199,23700,470.00,40.68,2026-04-05
596,199,18941,98.00,96.95,2025-06-18
597,199,26629,128.00,201.18,2026-01-09
598,200,13740,789.00,260.18,2024-08-08
599,200,6065,717.00,289.60,2023-05-22
600,200,19079,699.00,345.11,2026-10-14
601,201,3099,941.00,251.61,2024-08-31
602,201,16045,64.00,140.44,2024-09-11
603,201,4523,650.00,14.82,2024-01-12
604,202,2890,83.00,294.55,2024-02-03
605,202,1931,825.00,474.81,2025-09-23
606,202,23464,793.00,370.28,2026-02-21
607,203,4549,903.00,37.96,2025-06-27
608,203,775,22.00,238.76,2024-10-10
609,203,10446,131.00,85.25,2025-11-30
610,204,7990,77.00,215.58,2023-03-23
611,204,28192,748.00,475.51,2026-08-18
612,204,7998,280.00,147.64,2026-01-09
613,205,487,617.00,449.24,2026-03-13
614,205,4542,468.00,129.14,2026-02-05
615,205,12328,956.00,167.84,2026-09-05
616,206,11836,262.00,117.25,2025-10-16
617,206,29120,872.00,115.85,2023-06-28
618,206,24730,177.00,461.51,2023-03-29
619,207,10121,526.00,194.92,2024-02-21
620,207,2030,343.00,265.24,2025-10-07
621,207,20955,438.00,190.22,2024-07-20
622,208,6151,638.00,101.47,2026-03-02
623,208,29,896.00,134.88,2026-05-28
624,208,16028,714.00,494.53,2026-09-04
625,209,19122,570.00,478.63,2024-12-06
626,209,25040,723.00,149.13,2025-11-05
627,209,27696,781.00,152.06,2024-09-28
628,210,16069,15.00,497.51,2025-07-12
629,210,5236,400.00,23.83,2025-10-28
630,210,10899,679.00,239.10,2025-03-30
631,211,28099,874.00,242.94,2024-10-14
632,211,23313,164.00,432.12,2024-04-10
