NCR_ID,INSPECTION_ID,SUPPLIER_ID,PART_ID,PLANT_ID,NCR_DATE,SEVERITY,ROOT_CAUSE,DISPOSITION,STATUS
25,1363,83,28571,6,2023-05-17,CRITICAL,Solder joint defect,USE_AS_IS,CLOSED
26,2392,401,5043,4,2024-04-25,MINOR,Wrong revision shipped,REWORK,CLOSED
27,2440,2,12611,10,2024-08-19,MINOR,Documentation mismatch,SCRAP,CLOSED
28,1344,361,15690,2,2026-04-09,CRITICAL,Material contamination,SCRAP,CLOSED
29,2010,3,14725,1,2023-09-06,CRITICAL,Dimensional out-of-spec,SCRAP,CLOSED
30,1403,124,27583,8,2025-08-14,MINOR,Dimensional out-of-spec,REWORK,CLOSED
31,8017,292,2274,10,2023-04-11,MAJOR,Electrical test failure,REWORK,CLOSED
32,2760,3,22263,7,2024-11-26,MAJOR,Wrong revision shipped,USE_AS_IS,CLOSED
33,16,3,21919,4,2024-06-24,MAJOR,ESD damage in shipping,USE_AS_IS,CLOSED
34,4758,244,27455,12,2024-11-21,MINOR,Wrong revision shipped,USE_AS_IS,CLOSED
35,3603,86,23940,10,2025-01-23,CRITICAL,Cracked substrate from shock,SCRAP,CLOSED
36,472,107,6830,3,2026-06-12,CRITICAL,ESD damage in shipping,USE_AS_IS,CLOSED
37,1265,52,280,10,2025-04-04,CRITICAL,Solder joint defect,SCRAP,CLOSED
38,5960,3,1836,4,2025-07-16,MINOR,Wrong revision shipped,RETURN,CLOSED
39,3420,1,11349,6,2023-12-31,CRITICAL,Cracked substrate from shock,RETURN,OPEN
40,35,55,29601,3,2024-09-05,CRITICAL,Surface finish degradation,USE_AS_IS,OPEN
41,8506,75,27990,9,2024-02-10,MINOR,Material contamination,SCRAP,CLOSED
42,8217,434,24261,2,2023-10-03,MINOR,Dimensional out-of-spec,REWORK,OPEN
43,2827,331,11784,6,2025-12-26,MINOR,Wrong revision shipped,REWORK,CLOSED
44,178,1,16987,5,2026-04-10,MINOR,Unapproved substitution,REWORK,CLOSED
45,4297,1,4857,3,2024-12-07,MINOR,Documentation mismatch,USE_AS_IS,CLOSED
46,7971,319,14788,7,2024-03-29,MINOR,Electrical test failure,SCRAP,CLOSED
47,6618,56,29248,7,2024-11-17,CRITICAL,Surface finish degradation,USE_AS_IS,CLOSED
48,2335,218,1619,10,2024-06-01,MAJOR,Wrong revision shipped,USE_AS_IS,CLOSED
49,1845,303,7329,9,2024-01-15,MINOR,Solder joint defect,USE_AS_IS,CLOSED
50,4558,2,14954,9,2024-11-23,CRITICAL,ESD damage in shipping,REWORK,CLOSED
51,9427,355,18396,7,2026-04-28,MINOR,Surface finish degradation,SCRAP,OPEN
52,9710,79,8069,2,2024-03-17,MINOR,Solder joint defect,RETURN,CLOSED
53,2401,33,24700,10,2023-11-16,MAJOR,Material contamination,USE_AS_IS,CLOSED
54,4519,10,8343,6,2026-05-13,MAJOR,Material contamination,REWORK,CLOSED
55,4207,425,5786,7,2025-01-03,CRITICAL,Wrong revision shipped,RETURN,CLOSED
56,6807,348,13473,4,2023-05-21,MINOR,Cracked substrate from shock,RETURN,CLOSED
57,4481,55,24247,8,2024-09-01,MAJOR,Material contamination,USE_AS_IS,CLOSED
58,5608,3,18761,2,2024-04-07,MINOR,Cracked substrate from shock,RETURN,CLOSED
59,9540,3,12445,10,2025-07-09,CRITICAL,Solder joint defect,RETURN,CLOSED
60,7290,267,9760,7,2024-04-20,CRITICAL,Unapproved substitution,RETURN,CLOSED
61,1137,82,24980,3,2024-06-21,MAJOR,ESD damage in shipping,REWORK,CLOSED
62,5275,147,23434,7,2024-09-22,MAJOR,Solder joint defect,REWORK,CLOSED
63,3631,151,19365,11,2023-12-02,MAJOR,Unapproved substitution,RETURN,CLOSED
64,7663,2,6108,2,2026-08-21,MINOR,Solder joint defect,SCRAP,CLOSED
65,5219,1,4185,1,2026-02-10,MINOR,Material contamination,REWORK,OPEN
66,5134,3,20035,4,2024-01-08,MINOR,Documentation mismatch,USE_AS_IS,CLOSED
67,5144,2,20725,3,2023-11-07,CRITICAL,ESD damage in shipping,REWORK,CLOSED
68,1321,448,26496,12,2024-04-13,MAJOR,Cracked substrate from shock,RETURN,CLOSED
69,8583,164,5910,6,2025-11-23,MAJOR,Material contamination,REWORK,CLOSED
70,9349,367,18039,12,2025-03-16,CRITICAL,Wrong revision shipped,RETURN,CLOSED
71,9564,326,19556,2,2024-10-22,CRITICAL,ESD damage in shipping,SCRAP,CLOSED
72,4251,379,25230,8,2024-02-08,MINOR,Wrong revision shipped,SCRAP,CLOSED
73,7140,1,14909,11,2026-03-26,MAJOR,Wrong revision shipped,RETURN,CLOSED
74,7985,1,18403,3,2026-06-28,MINOR,Solder joint defect,USE_AS_IS,CLOSED
75,7567,59,13252,1,2023-07-25,MINOR,ESD damage in shipping,SCRAP,CLOSED
76,1706,135,24119,6,2023-03-29,MAJOR,Solder joint defect,RETURN,CLOSED
77,5155,439,19385,3,2023-04-21,MINOR,Wrong revision shipped,USE_AS_IS,CLOSED
78,2617,391,3010,11,2025-04-02,MAJOR,ESD damage in shipping,REWORK,CLOSED
79,6884,196,5105,6,2025-02-06,MAJOR,ESD damage in shipping,USE_AS_IS,CLOSED
80,5724,130,257,10,2025-04-05,MAJOR,Cracked substrate from shock,SCRAP,CLOSED
81,617,345,8098,5,2026-04-30,MAJOR,ESD damage in shipping,RETURN,CLOSED
82,2817,3,16543,1,2026-02-13,MAJOR,Unapproved substitution,REWORK,CLOSED
83,3823,196,23620,6,2026-06-24,CRITICAL,Cracked substrate from shock,REWORK,CLOSED
84,2849,101,6179,9,2023-10-11,MINOR,Cracked substrate from shock,SCRAP,CLOSED
85,9111,2,7819,10,2024-04-25,MINOR,Documentation mismatch,SCRAP,CLOSED
86,2233,270,9128,3,2024-08-01,MAJOR,Dimensional out-of-spec,REWORK,OPEN
87,8115,493,15035,5,2023-07-20,MINOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
88,6470,285,6416,6,2025-10-12,MAJOR,Wrong revision shipped,SCRAP,CLOSED
89,588,3,3702,10,2024-02-19,CRITICAL,Cracked substrate from shock,USE_AS_IS,CLOSED
90,6917,57,24728,5,2023-02-13,CRITICAL,Material contamination,USE_AS_IS,CLOSED
91,8463,422,17733,1,2026-02-12,MINOR,Cracked substrate from shock,RETURN,CLOSED
92,8498,465,27165,5,2025-05-22,MAJOR,Solder joint defect,USE_AS_IS,CLOSED
93,2986,121,21426,5,2025-01-06,MINOR,Wrong revision shipped,USE_AS_IS,CLOSED
94,3317,381,12774,1,2025-08-18,CRITICAL,Documentation mismatch,SCRAP,CLOSED
95,5431,437,723,7,2024-06-12,MAJOR,Dimensional out-of-spec,RETURN,CLOSED
96,2136,335,757,1,2024-04-07,MINOR,Electrical test failure,SCRAP,CLOSED
97,7024,68,24144,10,2025-05-09,MINOR,ESD damage in shipping,REWORK,CLOSED
98,4163,429,26606,8,2026-02-06,CRITICAL,Electrical test failure,SCRAP,CLOSED
99,6959,489,10648,3,2026-02-23,MAJOR,Wrong revision shipped,USE_AS_IS,OPEN
100,6210,3,19110,12,2025-04-25,MINOR,Material contamination,SCRAP,CLOSED
101,9985,281,23489,8,2025-12-05,MINOR,Solder joint defect,SCRAP,CLOSED
102,6343,198,28939,8,2024-02-15,MAJOR,Unapproved substitution,USE_AS_IS,OPEN
103,7627,85,14869,1,2026-08-25,CRITICAL,Cracked substrate from shock,REWORK,CLOSED
104,8807,1,2271,4,2025-03-10,CRITICAL,Documentation mismatch,USE_AS_IS,CLOSED
105,2302,1,14786,5,2023-10-20,MAJOR,Documentation mismatch,REWORK,OPEN
106,9707,1,29026,11,2026-02-16,MAJOR,Solder joint defect,USE_AS_IS,CLOSED
107,148,321,25709,8,2025-05-31,CRITICAL,Cracked substrate from shock,USE_AS_IS,CLOSED
108,6461,3,25530,5,2025-05-21,MAJOR,Dimensional out-of-spec,REWORK,CLOSED
109,490,14,5182,3,2026-03-22,MAJOR,Documentation mismatch,RETURN,CLOSED
110,2423,449,3647,9,2023-11-20,MAJOR,Solder joint defect,SCRAP,CLOSED
111,1197,407,14805,11,2023-01-10,MAJOR,Material contamination,USE_AS_IS,CLOSED
112,412,395,9987,5,2025-05-06,MINOR,Cracked substrate from shock,REWORK,CLOSED
113,5881,46,8124,10,2025-04-19,MINOR,Cracked substrate from shock,RETURN,CLOSED
114,2026,349,13191,4,2025-12-23,MAJOR,Solder joint defect,REWORK,CLOSED
115,5240,401,28479,2,2025-12-19,MAJOR,Material contamination,USE_AS_IS,CLOSED
116,400,355,2895,2,2026-06-29,CRITICAL,Unapproved substitution,USE_AS_IS,CLOSED
117,8169,294,8884,5,2023-01-17,MINOR,Dimensional out-of-spec,RETURN,CLOSED
118,2014,77,28069,5,2025-05-21,MAJOR,Unapproved substitution,RETURN,CLOSED
119,8822,489,19121,2,2026-02-11,CRITICAL,Dimensional out-of-spec,SCRAP,CLOSED
120,5659,376,10401,1,2024-02-01,MAJOR,ESD damage in shipping,USE_AS_IS,CLOSED
121,116,115,20485,7,2025-08-16,CRITICAL,Documentation mismatch,USE_AS_IS,CLOSED
122,7056,240,28533,8,2026-01-03,MAJOR,Wrong revision shipped,SCRAP,CLOSED
123,1774,217,2683,10,2023-07-21,MAJOR,Solder joint defect,USE_AS_IS,CLOSED
124,1799,182,10653,6,2025-12-29,MAJOR,Wrong revision shipped,SCRAP,CLOSED
125,1048,484,11676,10,2024-07-08,MINOR,Electrical test failure,SCRAP,CLOSED
126,9783,1,17148,3,2026-09-16,MAJOR,Electrical test failure,RETURN,OPEN
127,1774,125,6112,10,2026-01-11,CRITICAL,Electrical test failure,REWORK,CLOSED
128,7294,3,23274,8,2024-12-31,CRITICAL,Material contamination,REWORK,CLOSED
129,8151,212,22420,12,2025-06-21,CRITICAL,Solder joint defect,SCRAP,CLOSED
130,8180,231,19960,12,2026-02-28,MINOR,Surface finish degradation,SCRAP,CLOSED
131,480,1,25131,12,2023-02-28,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
132,6373,81,2554,9,2026-08-20,MINOR,Wrong revision shipped,USE_AS_IS,CLOSED
133,2238,479,16235,5,2023-06-15,MAJOR,Electrical test failure,USE_AS_IS,CLOSED
134,1896,140,24581,6,2025-09-07,MAJOR,Material contamination,REWORK,CLOSED
135,7076,483,21830,8,2023-06-30,MAJOR,Dimensional out-of-spec,REWORK,CLOSED
136,9385,498,4646,3,2024-12-25,MINOR,Solder joint defect,RETURN,CLOSED
137,1027,2,29721,10,2024-08-06,CRITICAL,Electrical test failure,USE_AS_IS,CLOSED
138,9593,90,8721,8,2025-11-24,CRITICAL,Solder joint defect,REWORK,CLOSED
139,7612,484,2567,8,2024-11-27,MAJOR,Electrical test failure,SCRAP,CLOSED
140,8259,3,21042,6,2025-03-10,MAJOR,Electrical test failure,SCRAP,CLOSED
141,2526,313,21563,1,2026-01-24,MAJOR,Surface finish degradation,SCRAP,CLOSED
142,9862,497,16546,7,2023-10-05,MINOR,ESD damage in shipping,USE_AS_IS,OPEN
143,3096,496,7922,2,2024-02-15,MINOR,Material contamination,SCRAP,CLOSED
144,9438,143,27538,8,2026-03-19,MAJOR,Documentation mismatch,RETURN,CLOSED
145,4238,175,8217,5,2024-02-08,MAJOR,Documentation mismatch,REWORK,OPEN
146,7923,458,25459,10,2025-05-14,MAJOR,Material contamination,RETURN,OPEN
147,707,369,16721,4,2025-12-15,CRITICAL,Electrical test failure,RETURN,CLOSED
148,4747,1,23176,4,2023-07-10,CRITICAL,Material contamination,RETURN,CLOSED
149,9167,75,28695,4,2023-05-03,CRITICAL,Cracked substrate from shock,SCRAP,CLOSED
150,2283,399,8854,2,2024-07-03,MINOR,Cracked substrate from shock,RETURN,CLOSED
151,2554,1,3520,3,2024-02-18,MINOR,Electrical test failure,SCRAP,CLOSED
152,8545,131,229,8,2026-02-25,MAJOR,Dimensional out-of-spec,USE_AS_IS,OPEN
153,1268,34,27264,1,2023-10-23,MINOR,Surface finish degradation,RETURN,CLOSED
154,3743,126,3212,11,2023-03-14,MAJOR,Surface finish degradation,REWORK,CLOSED
155,6496,234,89,11,2026-09-15,MINOR,Electrical test failure,SCRAP,CLOSED
156,2315,118,9916,3,2026-09-20,CRITICAL,Material contamination,USE_AS_IS,CLOSED
157,4636,219,8174,10,2025-09-23,MINOR,Cracked substrate from shock,SCRAP,CLOSED
158,5211,120,5864,5,2024-08-22,CRITICAL,Surface finish degradation,SCRAP,CLOSED
159,8939,3,23727,5,2023-04-15,MAJOR,Solder joint defect,RETURN,CLOSED
160,7773,1,7053,5,2026-03-07,MINOR,Cracked substrate from shock,RETURN,CLOSED
161,3325,97,14301,9,2024-08-04,MINOR,Wrong revision shipped,RETURN,CLOSED
162,7621,8,20516,9,2026-08-10,MINOR,Cracked substrate from shock,RETURN,CLOSED
163,6990,74,4726,5,2024-01-23,MINOR,Wrong revision shipped,USE_AS_IS,CLOSED
164,3183,2,27209,9,2023-05-01,MINOR,Documentation mismatch,USE_AS_IS,CLOSED
165,662,1,6087,12,2025-07-29,CRITICAL,Electrical test failure,RETURN,CLOSED
166,3805,271,14512,3,2023-05-04,MAJOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
167,1201,225,13685,10,2025-01-19,MINOR,Cracked substrate from shock,RETURN,CLOSED
168,8180,250,5394,5,2025-08-02,MAJOR,Solder joint defect,USE_AS_IS,CLOSED
169,5458,65,9585,1,2025-05-29,MINOR,Documentation mismatch,REWORK,CLOSED
170,7732,2,9187,8,2025-01-27,CRITICAL,Unapproved substitution,RETURN,CLOSED
171,1363,1,16040,12,2023-07-12,CRITICAL,Solder joint defect,SCRAP,OPEN
172,8599,80,23676,7,2026-05-26,MAJOR,Surface finish degradation,RETURN,CLOSED
173,9525,3,21615,8,2025-10-29,CRITICAL,Electrical test failure,REWORK,CLOSED
174,6354,455,732,2,2026-06-19,MAJOR,Unapproved substitution,SCRAP,CLOSED
175,6506,159,16587,12,2023-05-31,CRITICAL,Unapproved substitution,REWORK,CLOSED
176,1965,356,19905,6,2025-06-04,MAJOR,Surface finish degradation,SCRAP,CLOSED
177,9932,3,1709,5,2026-05-29,MINOR,Unapproved substitution,USE_AS_IS,CLOSED
178,2545,210,19465,1,2024-02-22,MINOR,Wrong revision shipped,SCRAP,CLOSED
179,8360,339,249,9,2026-07-03,CRITICAL,Material contamination,REWORK,CLOSED
180,2892,137,12986,11,2025-12-17,MINOR,Documentation mismatch,USE_AS_IS,CLOSED
181,446,380,13589,11,2023-09-19,CRITICAL,Dimensional out-of-spec,RETURN,CLOSED
182,9975,271,13868,5,2023-07-08,CRITICAL,Unapproved substitution,REWORK,OPEN
183,7660,2,15491,11,2024-12-26,CRITICAL,Wrong revision shipped,REWORK,CLOSED
184,3592,1,22129,7,2023-01-01,MAJOR,Material contamination,USE_AS_IS,CLOSED
185,1890,1,20501,6,2025-09-19,MINOR,Surface finish degradation,REWORK,CLOSED
186,8950,1,14735,4,2024-06-22,MAJOR,Solder joint defect,USE_AS_IS,CLOSED
187,7546,1,27352,5,2025-08-30,MINOR,Solder joint defect,RETURN,CLOSED
188,2892,2,23944,10,2025-06-15,CRITICAL,Dimensional out-of-spec,REWORK,CLOSED
189,4524,342,11387,3,2023-08-10,CRITICAL,Documentation mismatch,REWORK,CLOSED
190,3945,1,13540,5,2024-10-21,CRITICAL,Wrong revision shipped,SCRAP,CLOSED
191,6439,423,2782,8,2023-02-28,CRITICAL,Dimensional out-of-spec,SCRAP,CLOSED
192,9359,115,18941,2,2023-05-17,MAJOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
193,5811,484,28296,7,2025-07-07,MINOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
194,3701,1,25629,2,2026-03-19,MAJOR,Material contamination,USE_AS_IS,CLOSED
195,3433,129,9267,8,2024-11-02,MINOR,Cracked substrate from shock,REWORK,CLOSED
196,5779,183,8171,10,2023-04-06,MINOR,Cracked substrate from shock,SCRAP,OPEN
197,3799,346,11015,4,2024-08-02,MAJOR,Cracked substrate from shock,USE_AS_IS,CLOSED
198,5038,3,25789,2,2023-12-22,MAJOR,Material contamination,SCRAP,CLOSED
199,3290,1,20893,4,2024-03-12,MINOR,Electrical test failure,USE_AS_IS,CLOSED
200,9602,3,17525,2,2025-05-19,CRITICAL,Unapproved substitution,REWORK,CLOSED
201,3570,1,10461,6,2025-10-14,CRITICAL,Dimensional out-of-spec,USE_AS_IS,CLOSED
202,9722,170,1026,9,2023-02-12,CRITICAL,Documentation mismatch,RETURN,OPEN
203,441,162,880,7,2023-03-29,MAJOR,Surface finish degradation,REWORK,CLOSED
204,7537,3,27994,9,2024-08-22,MINOR,Documentation mismatch,REWORK,CLOSED
205,5660,345,1542,5,2025-08-01,MAJOR,Material contamination,REWORK,CLOSED
206,4372,1,28756,9,2026-06-30,MINOR,Electrical test failure,USE_AS_IS,CLOSED
207,5818,211,16036,2,2023-08-01,MINOR,Surface finish degradation,USE_AS_IS,CLOSED
208,4819,1,8748,11,2023-02-23,MINOR,Material contamination,SCRAP,CLOSED
209,859,351,12017,6,2024-01-18,MAJOR,Surface finish degradation,REWORK,CLOSED
210,336,62,1294,9,2023-10-01,CRITICAL,Solder joint defect,REWORK,CLOSED
211,7671,2,2956,7,2025-06-22,MAJOR,Solder joint defect,SCRAP,OPEN
212,4378,1,21459,3,2026-08-25,MAJOR,Unapproved substitution,SCRAP,OPEN
213,8408,2,27554,10,2026-05-23,CRITICAL,Dimensional out-of-spec,RETURN,CLOSED
214,8447,454,8820,1,2025-12-15,MINOR,Surface finish degradation,RETURN,CLOSED
215,6594,254,13400,9,2023-01-17,MAJOR,Solder joint defect,SCRAP,CLOSED
216,6013,290,16920,11,2024-06-20,MAJOR,Surface finish degradation,RETURN,CLOSED
217,399,278,19932,9,2026-02-28,CRITICAL,Documentation mismatch,RETURN,CLOSED
218,5435,1,20769,12,2023-05-28,CRITICAL,Unapproved substitution,RETURN,CLOSED
219,339,1,14420,11,2025-10-05,MAJOR,Surface finish degradation,SCRAP,CLOSED
220,5228,172,23930,3,2026-05-07,CRITICAL,Material contamination,USE_AS_IS,CLOSED
221,5636,309,1999,11,2025-02-25,MINOR,ESD damage in shipping,REWORK,CLOSED
222,1281,268,1951,7,2025-06-21,CRITICAL,Material contamination,SCRAP,CLOSED
223,1936,253,7935,9,2024-08-03,MAJOR,Documentation mismatch,REWORK,OPEN
224,5352,2,14394,10,2026-04-13,CRITICAL,Documentation mismatch,SCRAP,CLOSED
225,3154,186,12489,11,2025-12-13,MINOR,Documentation mismatch,REWORK,CLOSED
226,6977,323,15391,8,2026-05-02,MAJOR,Documentation mismatch,REWORK,CLOSED
227,5620,424,1018,2,2026-09-22,CRITICAL,Unapproved substitution,USE_AS_IS,CLOSED
228,8629,382,21371,3,2025-03-08,CRITICAL,Documentation mismatch,REWORK,CLOSED
229,1552,335,10376,8,2023-08-06,CRITICAL,Wrong revision shipped,REWORK,CLOSED
230,7198,21,10173,5,2026-03-25,MAJOR,Solder joint defect,SCRAP,CLOSED
231,6929,144,3768,10,2024-10-25,MAJOR,Wrong revision shipped,RETURN,CLOSED
232,4120,105,13781,7,2026-02-09,MINOR,Documentation mismatch,SCRAP,CLOSED
233,7248,178,26730,6,2025-07-27,MINOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
234,2630,16,2420,10,2024-12-12,MAJOR,Surface finish degradation,REWORK,CLOSED
235,8467,3,6327,4,2024-01-26,MINOR,Wrong revision shipped,SCRAP,CLOSED
236,4910,278,18270,10,2023-09-08,MAJOR,Surface finish degradation,RETURN,CLOSED
237,3067,448,18328,8,2023-04-07,MAJOR,Unapproved substitution,RETURN,CLOSED
238,9166,384,26294,5,2024-07-02,MINOR,Surface finish degradation,REWORK,CLOSED
239,4478,2,4226,11,2023-02-10,MAJOR,Electrical test failure,RETURN,CLOSED
240,6409,391,4246,5,2026-05-22,CRITICAL,Wrong revision shipped,SCRAP,OPEN
241,5716,2,20192,11,2025-09-19,CRITICAL,Dimensional out-of-spec,REWORK,CLOSED
242,6701,254,8343,12,2024-08-31,MAJOR,Solder joint defect,SCRAP,CLOSED
243,3885,76,5058,7,2026-04-22,MINOR,Solder joint defect,USE_AS_IS,CLOSED
244,266,182,23297,3,2024-07-20,MINOR,Surface finish degradation,REWORK,CLOSED
245,3859,460,13463,6,2025-02-08,MINOR,Surface finish degradation,USE_AS_IS,CLOSED
246,3976,2,20095,6,2024-08-09,MAJOR,Surface finish degradation,REWORK,CLOSED
247,6810,454,15146,1,2024-04-17,MAJOR,Electrical test failure,RETURN,CLOSED
248,6714,1,16376,9,2025-02-15,CRITICAL,Dimensional out-of-spec,SCRAP,CLOSED
249,9279,2,25363,3,2023-08-01,MINOR,Dimensional out-of-spec,REWORK,CLOSED
250,4760,2,20604,3,2026-05-13,CRITICAL,Solder joint defect,RETURN,OPEN
251,4528,46,3913,4,2025-12-27,MAJOR,Electrical test failure,REWORK,CLOSED
252,4900,3,20677,6,2024-01-03,MAJOR,Dimensional out-of-spec,RETURN,CLOSED
253,6767,2,19715,7,2026-07-09,CRITICAL,Dimensional out-of-spec,SCRAP,CLOSED
254,4095,239,14130,5,2026-06-02,CRITICAL,Wrong revision shipped,RETURN,OPEN
255,9101,3,17665,4,2026-04-19,MAJOR,Documentation mismatch,SCRAP,CLOSED
256,7567,143,16881,6,2026-08-06,MINOR,Documentation mismatch,SCRAP,CLOSED
257,7944,423,5657,10,2024-01-02,MINOR,Unapproved substitution,REWORK,CLOSED
258,3267,1,8056,3,2024-08-21,CRITICAL,ESD damage in shipping,USE_AS_IS,CLOSED
259,7896,415,11337,8,2025-12-05,CRITICAL,Cracked substrate from shock,SCRAP,CLOSED
260,3715,205,27125,3,2024-04-03,MINOR,Wrong revision shipped,RETURN,CLOSED
261,4132,2,25150,6,2023-10-29,MINOR,ESD damage in shipping,SCRAP,CLOSED
262,7171,148,14622,8,2024-08-24,MINOR,Material contamination,REWORK,CLOSED
263,6926,308,13650,4,2024-07-14,CRITICAL,Surface finish degradation,SCRAP,CLOSED
264,2754,247,24969,6,2026-04-21,MAJOR,Solder joint defect,USE_AS_IS,CLOSED
265,5274,178,27265,6,2023-07-28,CRITICAL,Dimensional out-of-spec,REWORK,CLOSED
266,2174,392,26536,11,2026-06-05,MAJOR,Surface finish degradation,SCRAP,OPEN
267,7179,2,7871,5,2026-04-27,MINOR,Cracked substrate from shock,RETURN,CLOSED
268,8227,1,14869,4,2026-04-13,CRITICAL,Electrical test failure,USE_AS_IS,CLOSED
269,948,435,20379,3,2025-07-28,MINOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
270,8823,474,20913,4,2023-10-08,CRITICAL,Cracked substrate from shock,USE_AS_IS,CLOSED
271,7379,469,27678,2,2026-04-09,CRITICAL,Electrical test failure,SCRAP,CLOSED
272,8553,443,10320,2,2023-04-30,MAJOR,Material contamination,REWORK,CLOSED
273,2809,322,707,4,2025-02-25,MINOR,ESD damage in shipping,SCRAP,CLOSED
274,3316,68,796,11,2023-04-26,MAJOR,Cracked substrate from shock,REWORK,CLOSED
275,4861,73,16433,11,2026-01-29,MINOR,Surface finish degradation,RETURN,CLOSED
276,5551,158,13184,11,2025-12-22,MAJOR,Cracked substrate from shock,REWORK,OPEN
277,2559,2,18956,12,2025-05-17,MAJOR,Surface finish degradation,REWORK,CLOSED
278,5440,476,4782,6,2023-09-07,CRITICAL,ESD damage in shipping,REWORK,CLOSED
279,8056,412,8074,8,2025-05-01,MAJOR,Electrical test failure,RETURN,CLOSED
280,9560,2,15608,4,2026-05-22,MINOR,Documentation mismatch,RETURN,OPEN
281,4918,298,20830,6,2024-01-29,CRITICAL,Solder joint defect,RETURN,CLOSED
282,3796,3,15759,12,2024-05-07,CRITICAL,Material contamination,REWORK,CLOSED
283,3039,387,27084,10,2024-05-25,MINOR,Solder joint defect,SCRAP,OPEN
284,8356,234,15912,2,2026-06-15,MINOR,Dimensional out-of-spec,USE_AS_IS,CLOSED
285,8966,3,26579,10,2024-09-03,CRITICAL,Surface finish degradation,USE_AS_IS,CLOSED
286,6062,305,24887,3,2024-04-25,CRITICAL,Wrong revision shipped,RETURN,CLOSED
287,9255,466,29527,8,2023-01-28,MAJOR,Surface finish degradation,SCRAP,CLOSED
288,7080,481,7907,8,2023-04-14,CRITICAL,Material contamination,USE_AS_IS,OPEN
289,7907,204,5677,7,2026-03-20,MINOR,Documentation mismatch,USE_AS_IS,CLOSED
290,3972,3,2287,11,2025-07-19,CRITICAL,Dimensional out-of-spec,USE_AS_IS,CLOSED
291,4362,2,16810,4,2024-02-08,CRITICAL,Material contamination,SCRAP,CLOSED
292,4581,27,21875,2,2023-06-14,MINOR,Cracked substrate from shock,SCRAP,CLOSED
293,5412,353,4194,6,2024-04-09,MAJOR,Cracked substrate from shock,USE_AS_IS,CLOSED
294,6806,273,25283,12,2026-08-26,MINOR,Unapproved substitution,RETURN,CLOSED
295,6060,436,6785,11,2026-06-03,MINOR,Material contamination,RETURN,CLOSED
296,2766,265,25615,4,2023-07-06,CRITICAL,Surface finish degradation,USE_AS_IS,CLOSED
297,2633,446,24710,7,2024-10-29,CRITICAL,Solder joint defect,SCRAP,CLOSED
298,9243,2,14370,5,2025-12-14,MAJOR,Wrong revision shipped,RETURN,CLOSED
299,3835,127,20163,11,2025-05-09,CRITICAL,Wrong revision shipped,USE_AS_IS,CLOSED
