APPROVAL_ID,SUPPLIER_ID,SITE_ID,PART_ID,APPROVAL_DATE,STATUS
101,485,628,23781,2024-05-03,APPROVED
102,343,529,2198,2025-07-27,APPROVED
103,127,65,4585,2025-05-18,APPROVED
104,307,1174,6001,2023-09-28,APPROVED
105,302,454,13979,2025-02-24,APPROVED
106,207,40,10659,2023-01-26,APPROVED
107,148,1131,28321,2024-12-09,APPROVED
108,461,384,12521,2024-06-13,APPROVED
109,490,1097,12014,2023-07-01,APPROVED
110,423,1032,29449,2024-10-08,APPROVED
111,197,206,907,2025-03-15,APPROVED
112,412,197,13395,2025-09-13,APPROVED
113,381,565,3046,2023-05-04,APPROVED
114,26,349,23849,2023-07-10,APPROVED
115,240,415,11401,2024-04-23,APPROVED
116,400,598,20855,2025-06-13,APPROVED
117,169,710,19794,2025-06-02,APPROVED
118,14,604,77,2023-03-10,APPROVED
119,322,479,5989,2023-05-01,APPROVED
120,159,1082,20876,2024-02-05,APPROVED
121,116,129,25615,2024-04-29,APPROVED
122,56,805,18740,2024-06-16,APPROVED
123,274,369,7217,2024-11-13,APPROVED
124,299,52,18182,2024-10-14,APPROVED
125,48,100,4484,2024-11-06,APPROVED
126,283,838,26386,2023-05-28,APPROVED
127,274,39,24625,2023-04-22,APPROVED
128,294,504,2242,2023-10-01,APPROVED
129,151,1038,1712,2024-02-24,APPROVED
130,180,652,15731,2025-08-17,APPROVED
131,480,871,23377,2023-05-11,APPROVED
132,373,922,2081,2024-07-07,APPROVED
133,238,1181,16979,2023-08-23,APPROVED
134,396,131,13140,2024-08-03,APPROVED
135,76,330,6483,2025-04-09,APPROVED
136,385,202,13998,2024-10-07,APPROVED
137,27,500,1481,2024-12-21,APPROVED
138,93,1028,19090,2024-12-21,APPROVED
139,112,361,2484,2024-07-20,APPROVED
140,259,822,12260,2023-02-11,APPROVED
141,26,241,10313,2024-07-16,APPROVED
142,362,1163,11997,2024-06-29,APPROVED
143,96,690,496,2025-07-10,APPROVED
144,438,873,15143,2024-06-21,APPROVED
145,238,510,13675,2023-08-05,APPROVED
146,423,405,17458,2024-04-03,APPROVED
147,207,948,869,2024-12-21,APPROVED
148,247,559,14281,2023-06-25,APPROVED
149,167,701,3075,2024-11-25,APPROVED
150,283,545,3399,2025-05-03,APPROVED
151,54,766,26531,2024-06-03,APPROVED
152,45,514,28131,2023-08-17,APPROVED
153,268,573,5034,2023-09-21,APPROVED
154,243,27,24626,2023-07-31,APPROVED
155,496,866,9734,2023-03-30,APPROVED
156,315,525,23618,2025-07-04,APPROVED
157,136,92,16719,2023-06-23,APPROVED
158,211,326,7120,2025-05-13,APPROVED
159,439,201,29963,2024-12-27,APPROVED
160,273,541,3797,2023-02-22,APPROVED
161,325,30,10097,2023-10-28,APPROVED
162,121,954,8508,2024-05-30,APPROVED
163,490,928,23074,2024-12-26,APPROVED
164,183,785,27669,2023-07-28,APPROVED
165,162,643,109,2023-03-28,APPROVED
166,305,829,13771,2024-05-26,APPROVED
167,201,531,6725,2024-11-15,APPROVED
168,180,686,17250,2024-01-29,APPROVED
169,458,732,1065,2024-08-07,APPROVED
170,232,458,21257,2023-07-06,APPROVED
171,363,268,28847,2023-02-09,APPROVED
172,99,1099,26080,2024-11-06,APPROVED
173,25,87,17930,2024-09-06,APPROVED
174,354,43,12955,2025-01-01,APPROVED
175,6,901,9659,2024-08-09,APPROVED
176,465,614,3856,2025-06-23,APPROVED
177,432,933,20263,2024-12-09,APPROVED
178,45,785,12710,2024-04-09,APPROVED
179,360,804,25339,2023-09-06,APPROVED
180,392,932,16637,2025-09-12,APPROVED
181,446,526,8880,2024-08-11,APPROVED
182,475,98,26271,2025-05-17,APPROVED
183,160,353,27520,2024-05-05,APPROVED
184,92,112,28865,2023-05-09,APPROVED
185,390,61,28340,2024-05-15,APPROVED
186,450,1042,28401,2025-01-04,APPROVED
187,46,559,6851,2023-12-18,APPROVED
188,392,965,25703,2025-08-01,APPROVED
189,24,16,22342,2024-01-22,APPROVED
190,445,1180,3654,2024-06-23,APPROVED
191,439,577,23423,2025-02-20,APPROVED
192,359,324,7615,2025-07-29,APPROVED
193,311,760,14984,2023-10-23,APPROVED
194,201,1024,15133,2024-09-20,APPROVED
195,433,717,3629,2023-09-24,APPROVED
196,279,662,22683,2023-06-20,APPROVED
197,299,675,29346,2023-01-15,APPROVED
198,38,141,15792,2025-02-27,APPROVED
199,290,838,4968,2025-06-11,APPROVED
200,102,366,9994,2024-06-08,APPROVED
201,70,373,28177,2024-04-05,APPROVED
202,222,573,11670,2023-01-26,APPROVED
203,441,281,22662,2025-05-29,APPROVED
204,37,621,25269,2025-09-20,APPROVED
205,160,475,2845,2024-06-25,APPROVED
206,372,502,23646,2025-01-25,APPROVED
207,318,216,21211,2023-02-05,APPROVED
208,319,646,26877,2025-01-17,APPROVED
209,359,767,18351,2023-01-17,APPROVED
210,336,732,7562,2023-10-21,APPROVED
211,171,611,29011,2025-08-13,APPROVED
212,378,28,12546,2024-04-03,APPROVED
213,408,725,28470,2024-07-07,APPROVED
214,447,79,26954,2025-03-30,APPROVED
215,94,647,23754,2024-02-04,APPROVED
216,13,1089,9790,2025-07-08,APPROVED
217,399,164,17278,2025-07-20,APPROVED
218,435,517,28291,2025-02-07,APPROVED
219,339,946,2709,2024-02-24,APPROVED
220,228,898,5672,2025-07-18,APPROVED
221,136,431,5309,2025-09-25,APPROVED
222,281,450,17768,2025-08-08,APPROVED
223,436,1106,14253,2025-07-23,APPROVED
224,352,1121,10978,2024-01-29,APPROVED
225,154,187,13686,2024-05-03,APPROVED
226,477,928,21323,2024-01-26,APPROVED
227,120,1073,10424,2023-01-18,APPROVED
228,129,545,2882,2024-01-06,APPROVED
229,52,965,26335,2024-01-11,APPROVED
230,198,1190,25021,2023-06-22,APPROVED
231,429,210,20144,2025-02-06,APPROVED
232,120,533,25105,2025-02-19,APPROVED
233,248,1090,11678,2024-12-30,APPROVED
234,130,836,9016,2024-02-24,APPROVED
235,467,585,3285,2023-11-23,APPROVED
236,410,236,5778,2023-09-27,APPROVED
237,67,795,7948,2023-11-24,APPROVED
238,166,803,7384,2023-10-21,APPROVED
239,478,956,21322,2023-08-14,APPROVED
240,409,30,21391,2023-09-03,APPROVED
241,216,360,10002,2023-07-11,APPROVED
242,201,872,4254,2023-12-09,APPROVED
243,385,763,576,2023-02-27,APPROVED
244,266,1178,6682,2023-10-24,APPROVED
245,359,218,14960,2024-04-07,APPROVED
246,476,830,12309,2023-04-05,APPROVED
247,310,697,9454,2023-05-26,APPROVED
248,214,259,29343,2024-01-11,APPROVED
249,279,965,11726,2023-12-29,APPROVED
250,260,842,8760,2024-08-26,APPROVED
251,28,649,6546,2025-07-01,APPROVED
252,400,180,10106,2024-11-07,APPROVED
253,267,53,20986,2024-12-15,APPROVED
254,95,223,29739,2023-05-10,APPROVED
255,101,1071,20301,2024-10-26,APPROVED
256,67,670,1143,2025-05-30,APPROVED
257,444,368,8423,2024-10-18,APPROVED
258,267,586,11858,2023-02-25,APPROVED
259,396,352,5415,2023-12-03,APPROVED
260,215,221,28205,2023-05-05,APPROVED
261,132,1175,12521,2023-05-30,APPROVED
262,171,168,148,2024-09-13,APPROVED
263,426,282,17808,2024-10-11,APPROVED
264,254,689,20247,2025-08-26,APPROVED
265,274,971,6178,2023-09-22,APPROVED
266,174,484,28392,2024-06-19,APPROVED
267,179,668,22330,2025-05-20,APPROVED
268,227,532,2397,2025-05-18,APPROVED
269,448,857,935,2024-01-14,APPROVED
270,323,492,10974,2025-07-01,APPROVED
271,379,1005,27469,2024-11-08,APPROVED
272,53,823,23443,2023-11-16,APPROVED
273,309,479,29822,2024-12-07,APPROVED
274,316,396,23068,2025-03-06,APPROVED
275,361,234,7573,2024-03-08,APPROVED
276,51,341,3658,2023-07-03,APPROVED
277,59,5,9240,2025-08-13,APPROVED
278,440,80,10476,2025-02-20,APPROVED
279,56,684,15912,2023-03-15,APPROVED
280,60,1001,12265,2024-08-30,APPROVED
281,418,991,25798,2025-04-09,APPROVED
282,296,975,22494,2025-01-28,APPROVED
283,39,11,25387,2023-03-25,APPROVED
284,356,730,6734,2025-06-30,APPROVED
285,466,813,12690,2024-08-01,APPROVED
286,62,344,23305,2025-06-05,APPROVED
287,255,1047,20966,2024-06-10,APPROVED
288,80,1151,6481,2025-06-25,APPROVED
289,407,357,2204,2024-11-07,APPROVED
290,472,567,18081,2023-10-14,APPROVED
291,362,452,23204,2025-03-20,APPROVED
292,81,154,26027,2025-05-24,APPROVED
293,412,973,10353,2023-07-13,APPROVED
294,306,463,11773,2023-10-10,APPROVED
295,60,118,28936,2025-02-23,APPROVED
296,266,1060,22265,2024-09-06,APPROVED
297,133,684,13946,2024-12-10,APPROVED
298,243,932,1797,2024-01-05,APPROVED
299,335,31,4127,2023-06-12,APPROVED
300,118,385,17656,2025-01-04,APPROVED
301,483,409,10487,2024-01-16,APPROVED
302,247,638,6555,2023-02-17,APPROVED
303,56,408,14666,2024-06-11,APPROVED
304,484,570,29076,2023-10-17,APPROVED
305,303,1200,26804,2025-09-01,APPROVED
306,338,37,1633,2024-01-09,APPROVED
307,448,373,23647,2024-01-20,APPROVED
308,154,20,26905,2024-07-28,APPROVED
309,179,1107,8965,2025-05-30,APPROVED
310,494,546,25432,2024-09-11,APPROVED
311,480,802,12956,2024-10-29,APPROVED
312,357,218,10322,2024-06-11,APPROVED
313,366,1094,17053,2024-03-22,APPROVED
314,198,125,19442,2023-04-15,APPROVED
315,495,115,26896,2023-01-06,APPROVED
316,483,1145,15196,2023-04-16,APPROVED
317,292,1159,21854,2025-01-17,APPROVED
318,291,188,29926,2023-02-17,APPROVED
319,134,293,12056,2024-11-22,APPROVED
320,282,318,7356,2025-08-06,APPROVED
321,8,430,29278,2025-01-10,APPROVED
322,159,976,28480,2024-10-24,APPROVED
323,171,951,23876,2025-09-12,APPROVED
324,108,491,28133,2025-09-16,APPROVED
325,127,645,23659,2024-07-03,APPROVED
326,225,296,1921,2023-08-10,APPROVED
327,393,260,17615,2024-04-18,APPROVED
328,309,849,28698,2025-04-17,APPROVED
329,338,1175,5092,2024-03-14,APPROVED
330,302,306,13984,2023-11-14,APPROVED
331,388,901,8217,2024-10-23,APPROVED
332,86,1084,19151,2024-05-19,APPROVED
333,404,896,8716,2025-01-10,APPROVED
334,452,897,18637,2025-03-07,APPROVED
335,26,1141,5671,2024-05-30,APPROVED
336,59,23,15254,2024-02-15,APPROVED
337,472,309,25433,2025-08-24,APPROVED
338,487,121,26960,2025-08-09,APPROVED
339,100,598,2250,2024-06-09,APPROVED
340,470,1037,6263,2024-08-20,APPROVED
341,126,764,21108,2023-06-07,APPROVED
342,165,477,12927,2024-04-21,APPROVED
343,125,485,9575,2023-12-22,APPROVED
344,180,940,29315,2023-10-10,APPROVED
345,4,77,11741,2023-08-25,APPROVED
346,28,1187,2956,2025-01-30,APPROVED
347,117,71,26101,2025-06-04,APPROVED
348,131,629,15483,2024-11-12,APPROVED
349,338,1119,6993,2023-02-13,APPROVED
350,126,837,10785,2024-12-16,APPROVED
351,424,305,24092,2025-04-23,APPROVED
352,73,257,8435,2023-09-13,APPROVED
353,186,86,16359,2025-03-16,APPROVED
354,412,1118,11536,2023-07-29,APPROVED
355,78,713,2913,2023-02-18,APPROVED
356,118,619,14744,2024-10-04,APPROVED
357,232,998,18742,2025-08-08,APPROVED
358,17,1182,18576,2023-09-28,APPROVED
359,443,1014,15391,2024-03-22,APPROVED
360,395,468,7165,2024-07-19,APPROVED
361,228,1004,15497,2023-03-14,APPROVED
362,136,1181,22805,2024-05-21,APPROVED
363,24,155,15213,2025-06-19,APPROVED
364,242,474,29353,2024-04-14,APPROVED
365,211,75,19270,2024-01-18,APPROVED
366,255,537,10717,2023-06-23,APPROVED
367,372,492,21068,2023-03-03,APPROVED
368,27,311,7654,2024-07-25,APPROVED
369,208,902,22013,2023-09-30,APPROVED
370,454,542,23946,2024-12-11,APPROVED
371,283,716,13874,2024-09-04,APPROVED
372,332,1119,26552,2023-11-21,APPROVED
373,188,494,13187,2025-01-08,APPROVED
374,364,1200,22064,2024-10-29,APPROVED
375,394,399,15831,2024-04-20,APPROVED
376,175,1157,17426,2023-07-23,APPROVED
377,406,1117,10867,2023-08-28,APPROVED
378,208,830,22735,2024-09-03,APPROVED
379,177,1083,10006,2025-01-03,APPROVED
380,89,550,12370,2024-08-02,APPROVED
381,145,468,4606,2023-06-15,APPROVED
382,21,441,10396,2023-01-10,APPROVED
383,463,542,22207,2023-03-23,APPROVED
384,95,1087,11430,2023-12-04,APPROVED
385,36,289,16031,2024-04-20,APPROVED
386,24,1160,29513,2025-02-08,APPROVED
387,121,692,7212,2023-11-04,APPROVED
388,178,791,22166,2024-12-01,APPROVED
389,379,558,13841,2023-08-22,APPROVED
390,460,67,26753,2025-05-11,APPROVED
391,495,609,25677,2025-04-29,APPROVED
392,404,1046,18023,2025-06-20,APPROVED
393,206,882,27978,2023-05-09,APPROVED
394,284,721,23812,2024-06-25,APPROVED
395,10,683,1966,2024-11-16,APPROVED
396,471,1126,9578,2025-06-05,APPROVED
397,18,661,25817,2024-03-11,APPROVED
398,156,821,26444,2023-01-14,APPROVED
399,233,66,4261,2025-07-08,APPROVED
400,144,345,4781,2023-05-18,APPROVED
401,247,184,27113,2023-06-10,APPROVED
402,257,129,4599,2025-06-10,APPROVED
403,42,309,24705,2023-12-21,APPROVED
404,450,966,4604,2024-02-20,APPROVED
405,435,899,2276,2025-04-26,APPROVED
406,51,362,8610,2023-12-12,APPROVED
407,270,187,25878,2024-08-19,APPROVED
408,477,642,28837,2024-01-09,APPROVED
409,37,47,6521,2024-03-27,APPROVED
410,487,285,17547,2025-07-01,APPROVED
411,170,829,296,2025-04-19,APPROVED
412,253,748,8047,2025-02-10,APPROVED
413,486,1165,2625,2023-12-17,APPROVED
414,125,899,29392,2025-07-31,APPROVED
415,262,467,24364,2024-07-28,APPROVED
416,64,629,2373,2023-01-04,APPROVED
417,308,448,216,2024-05-17,APPROVED
418,446,658,10338,2024-06-06,APPROVED
419,408,287,26147,2024-02-01,APPROVED
420,282,902,14820,2023-03-12,APPROVED
421,46,1072,22349,2023-12-07,APPROVED
422,100,102,25709,2023-05-23,APPROVED
423,153,917,18499,2023-08-08,APPROVED
424,76,806,21878,2024-06-06,APPROVED
425,234,745,19502,2023-09-15,APPROVED
426,187,1095,26290,2024-11-01,APPROVED
427,376,418,22205,2024-06-06,APPROVED
428,474,368,752,2025-06-23,APPROVED
429,6,60,760,2024-02-21,APPROVED
430,310,872,28478,2025-07-24,APPROVED
431,109,880,4259,2023-11-03,APPROVED
432,105,842,122,2023-08-01,APPROVED
433,448,614,3670,2025-01-17,APPROVED
434,359,1180,22416,2025-09-24,APPROVED
435,42,270,28451,2023-03-17,APPROVED
436,143,700,22455,2024-04-27,APPROVED
437,404,224,13985,2025-01-27,APPROVED
438,459,3,29163,2024-06-11,APPROVED
439,244,414,2749,2024-08-25,APPROVED
440,90,856,26574,2024-06-28,APPROVED
441,52,1078,19332,2025-01-25,APPROVED
442,329,1120,27190,2023-02-23,APPROVED
443,149,1019,20420,2023-10-29,APPROVED
444,185,535,23451,2023-09-30,APPROVED
445,202,689,20378,2024-01-17,APPROVED
446,496,304,17460,2025-01-16,APPROVED
447,283,782,20929,2024-05-02,APPROVED
448,226,1091,14741,2025-02-09,APPROVED
449,74,874,13894,2025-02-27,APPROVED
450,253,250,17230,2024-05-27,APPROVED
451,435,622,11628,2024-04-24,APPROVED
452,265,387,9381,2023-06-28,APPROVED
453,203,338,20003,2023-10-11,APPROVED
454,267,747,4287,2024-04-19,APPROVED
455,98,497,15757,2024-11-16,APPROVED
456,461,918,12806,2025-07-15,APPROVED
457,361,1142,6820,2024-06-19,APPROVED
458,59,794,27094,2023-12-21,APPROVED
459,159,565,18974,2023-07-15,APPROVED
460,115,765,17666,2024-05-04,APPROVED
461,272,103,4708,2023-03-07,APPROVED
462,237,355,9511,2023-01-06,APPROVED
463,241,163,1169,2024-08-16,APPROVED
464,408,134,5312,2024-01-25,APPROVED
465,54,253,26058,2023-07-01,APPROVED
466,212,55,17532,2024-03-23,APPROVED
467,291,837,6936,2024-12-23,APPROVED
468,298,1048,17689,2024-09-01,APPROVED
469,493,198,9517,2025-07-03,APPROVED
470,134,958,19328,2025-04-26,APPROVED
471,11,459,12524,2025-02-22,APPROVED
472,469,13,2787,2025-09-08,APPROVED
473,375,553,7501,2024-08-18,APPROVED
474,335,690,6826,2025-02-17,APPROVED
475,378,1054,22560,2023-03-05,APPROVED
476,291,463,25529,2024-07-18,APPROVED
477,200,1123,14265,2025-01-24,APPROVED
478,494,415,21731,2024-10-09,APPROVED
479,34,641,3825,2024-09-19,APPROVED
480,7,593,2615,2024-04-19,APPROVED
481,89,188,20697,2024-06-01,APPROVED
482,37,1184,8257,2023-04-14,APPROVED
483,431,1124,21833,2024-06-17,APPROVED
484,144,204,3413,2023-01-22,APPROVED
485,61,293,8733,2024-03-20,APPROVED
486,486,813,7106,2024-01-14,APPROVED
487,169,806,2743,2024-02-01,APPROVED
488,475,453,23959,2023-08-21,APPROVED
489,98,989,25096,2025-06-30,APPROVED
490,433,656,11578,2023-07-26,APPROVED
491,241,8,735,2023-12-20,APPROVED
492,382,535,19360,2024-05-17,APPROVED
493,6,1175,23473,2024-11-09,APPROVED
494,290,696,28511,2023-07-05,APPROVED
495,27,967,9174,2025-06-04,APPROVED
496,209,1105,22961,2023-01-16,APPROVED
497,207,829,9747,2024-07-28,APPROVED
498,304,879,5097,2024-09-15,APPROVED
499,218,1008,14233,2023-08-30,APPROVED
500,179,1191,26257,2024-12-31,APPROVED
501,455,565,10729,2024-05-21,APPROVED
502,181,1106,4602,2024-01-17,APPROVED
503,351,1010,11049,2023-04-11,APPROVED
504,151,269,1119,2025-08-17,APPROVED
505,48,594,17033,2024-08-08,APPROVED
506,15,700,3505,2024-05-28,APPROVED
507,473,850,22334,2023-05-27,APPROVED
508,297,707,1708,2025-09-06,APPROVED
509,53,1199,5505,2025-06-07,APPROVED
510,95,294,19807,2023-01-17,APPROVED
511,460,1017,29787,2025-08-06,APPROVED
512,35,316,16374,2023-10-10,APPROVED
513,190,28,13037,2024-06-04,APPROVED
514,372,858,2888,2023-03-19,APPROVED
515,401,400,4040,2025-05-30,APPROVED
516,450,1038,12932,2024-09-04,APPROVED
517,94,577,2113,2025-09-14,APPROVED
518,459,664,5236,2025-03-05,APPROVED
519,339,963,9526,2023-06-30,APPROVED
520,227,1027,17617,2024-02-04,APPROVED
521,300,154,14096,2024-03-18,APPROVED
522,427,533,5408,2023-12-14,APPROVED
523,127,1179,10881,2025-05-20,APPROVED
524,72,1105,16010,2024-11-21,APPROVED
525,461,1186,29859,2025-08-09,APPROVED
526,360,1043,8263,2025-08-18,APPROVED
527,2,135,22217,2024-12-27,APPROVED
528,267,108,9609,2025-08-01,APPROVED
529,187,169,26891,2025-05-20,APPROVED
530,327,1161,867,2024-07-29,APPROVED
531,462,81,24410,2025-07-13,APPROVED
532,282,1037,6772,2024-10-15,APPROVED
533,222,1151,9635,2025-03-21,APPROVED
534,25,184,10430,2023-08-08,APPROVED
535,18,564,11978,2025-04-15,APPROVED
536,179,637,27790,2023-08-26,APPROVED
537,336,708,24522,2023-10-01,APPROVED
538,76,380,19837,2024-12-30,APPROVED
539,471,1040,29138,2023-01-30,APPROVED
540,16,637,22679,2023-06-13,APPROVED
541,53,1196,10370,2023-03-28,APPROVED
542,458,998,21082,2023-09-07,APPROVED
543,74,406,28114,2024-11-01,APPROVED
544,160,136,22749,2024-11-29,APPROVED
545,404,584,7689,2023-06-25,APPROVED
546,3,365,3055,2024-05-17,APPROVED
547,47,594,10838,2024-11-15,APPROVED
548,159,420,26105,2025-01-20,APPROVED
549,395,729,27254,2023-12-11,APPROVED
550,413,806,29114,2024-07-24,APPROVED
551,64,882,11830,2023-10-17,APPROVED
552,180,29,20309,2025-04-03,APPROVED
553,182,238,26969,2025-05-22,APPROVED
554,50,626,7993,2023-08-22,APPROVED
555,64,289,29748,2023-12-02,APPROVED
556,433,643,6474,2023-08-11,APPROVED
557,280,779,19479,2025-04-26,APPROVED
558,212,114,4972,2023-08-19,APPROVED
559,496,720,7187,2025-05-16,APPROVED
560,387,800,25619,2023-04-29,APPROVED
561,441,69,9414,2023-08-23,APPROVED
562,298,511,9704,2023-04-18,APPROVED
563,15,1032,22490,2024-11-28,APPROVED
564,333,854,359,2024-05-16,APPROVED
565,278,1050,4334,2023-06-14,APPROVED
566,169,440,4293,2024-07-14,APPROVED
567,432,394,29027,2024-03-31,APPROVED
568,367,134,6921,2024-06-14,APPROVED
569,476,318,9426,2024-09-02,APPROVED
570,75,752,2007,2025-06-18,APPROVED
571,435,639,12006,2025-07-26,APPROVED
572,273,205,14334,2023-04-07,APPROVED
573,265,996,6386,2023-09-21,APPROVED
574,299,264,29516,2023-10-30,APPROVED
575,401,789,28240,2025-01-05,APPROVED
576,255,113,17257,2024-03-20,APPROVED
577,345,785,10822,2025-09-11,APPROVED
578,74,913,18186,2023-02-14,APPROVED
579,197,1176,4581,2025-01-29,APPROVED
580,242,1016,21474,2024-02-11,APPROVED
581,309,59,26726,2025-08-26,APPROVED
582,179,871,2951,2025-08-08,APPROVED
583,180,609,23054,2023-12-22,APPROVED
584,154,701,15454,2023-10-18,APPROVED
585,173,594,3441,2025-07-27,APPROVED
586,213,929,21648,2024-01-18,APPROVED
587,165,614,4573,2024-05-18,APPROVED
588,242,712,23592,2024-08-19,APPROVED
589,264,391,13280,2025-07-14,APPROVED
590,277,1046,19908,2025-07-20,APPROVED
591,32,1200,12156,2024-03-21,APPROVED
592,421,349,8989,2023-02-19,APPROVED
593,301,552,3998,2023-06-06,APPROVED
594,123,760,25539,2024-02-11,APPROVED
595,200,431,14019,2024-05-25,APPROVED
596,441,359,9646,2023-03-29,APPROVED
597,129,1169,69,2024-11-15,APPROVED
598,240,780,25969,2025-06-27,APPROVED
599,65,258,28911,2023-03-26,APPROVED
600,79,90,4462,2024-08-31,APPROVED
601,99,842,15112,2025-08-20,APPROVED
602,45,175,3995,2025-02-18,APPROVED
603,23,911,21433,2024-06-24,APPROVED
604,390,1094,19406,2023-09-15,APPROVED
605,431,1116,7432,2023-07-26,APPROVED
606,464,1114,16979,2024-02-04,APPROVED
607,49,474,23747,2025-08-05,APPROVED
608,275,1033,23827,2024-05-26,APPROVED
609,446,2,28476,2025-08-04,APPROVED
610,490,908,11509,2024-01-23,APPROVED
611,192,469,27502,2023-07-20,APPROVED
612,498,961,4715,2023-02-07,APPROVED
613,487,278,14875,2023-11-19,APPROVED
614,42,69,12865,2024-10-05,APPROVED
615,328,917,26735,2023-03-22,APPROVED
616,336,1093,1676,2024-09-12,APPROVED
617,120,683,21536,2023-12-28,APPROVED
618,230,918,6102,2023-01-20,APPROVED
619,121,337,29443,2025-01-06,APPROVED
620,30,4,16475,2025-03-16,APPROVED
621,455,459,28973,2023-03-13,APPROVED
622,151,239,20098,2023-06-30,APPROVED
623,29,857,3439,2023-11-16,APPROVED
624,28,195,9404,2024-08-08,APPROVED
625,122,231,7814,2024-05-16,APPROVED
626,40,444,14864,2023-08-25,APPROVED
627,196,1162,25157,2025-09-25,APPROVED
