ORDER_ID,ORDER_NUMBER,CUSTOMER_ID,ORDER_DATE,PLANT_ID,STATUS
44,SO-0000044,18,2025-11-19,1,PARTIAL
45,SO-0000045,57,2023-03-17,4,PARTIAL
46,SO-0000046,51,2023-06-29,11,SHIPPED
47,SO-0000047,58,2026-01-16,12,SHIPPED
48,SO-0000048,15,2023-08-19,2,SHIPPED
49,SO-0000049,5,2026-09-01,7,SHIPPED
50,SO-0000050,78,2023-10-29,10,SHIPPED
51,SO-0000051,67,2025-03-16,11,OPEN
52,SO-0000052,30,2026-06-02,3,SHIPPED
53,SO-0000053,1,2024-01-19,5,SHIPPED
54,SO-0000054,39,2023-07-29,2,SHIPPED
55,SO-0000055,47,2025-05-20,1,OPEN
56,SO-0000056,7,2023-09-29,4,SHIPPED
57,SO-0000057,1,2023-10-24,11,PARTIAL
58,SO-0000058,8,2024-05-17,1,OPEN
59,SO-0000059,20,2026-08-18,4,SHIPPED
60,SO-0000060,10,2023-12-26,11,SHIPPED
61,SO-0000061,17,2025-03-04,6,SHIPPED
62,SO-0000062,75,2024-08-30,7,SHIPPED
63,SO-0000063,31,2024-06-05,3,SHIPPED
64,SO-0000064,63,2025-09-24,12,SHIPPED
65,SO-0000065,19,2026-03-15,3,SHIPPED
66,SO-0000066,14,2024-09-29,5,SHIPPED
67,SO-0000067,24,2025-11-07,12,SHIPPED
68,SO-0000068,41,2023-11-29,8,OPEN
69,SO-0000069,23,2024-06-02,4,SHIPPED
70,SO-0000070,69,2026-04-13,3,SHIPPED
71,SO-0000071,44,2024-11-12,6,OPEN
72,SO-0000072,11,2024-07-30,3,SHIPPED
73,SO-0000073,20,2025-11-23,1,SHIPPED
74,SO-0000074,65,2023-09-10,11,SHIPPED
75,SO-0000075,47,2023-05-25,3,PARTIAL
76,SO-0000076,26,2025-09-22,3,SHIPPED
77,SO-0000077,35,2025-08-12,3,SHIPPED
78,SO-0000078,57,2024-05-23,3,SHIPPED
79,SO-0000079,4,2023-02-27,8,SHIPPED
80,SO-0000080,44,2023-01-22,2,PARTIAL
81,SO-0000081,57,2025-02-07,5,SHIPPED
82,SO-0000082,17,2024-01-02,5,SHIPPED
83,SO-0000083,63,2024-06-09,4,SHIPPED
84,SO-0000084,49,2023-02-26,1,SHIPPED
85,SO-0000085,71,2024-04-03,7,SHIPPED
86,SO-0000086,73,2023-08-04,2,SHIPPED
87,SO-0000087,35,2023-11-20,1,SHIPPED
88,SO-0000088,70,2024-12-09,9,OPEN
89,SO-0000089,28,2023-06-13,6,PARTIAL
90,SO-0000090,37,2023-02-11,9,SHIPPED
91,SO-0000091,63,2024-08-31,6,SHIPPED
92,SO-0000092,18,2025-09-02,9,SHIPPED
93,SO-0000093,26,2025-06-02,9,OPEN
94,SO-0000094,37,2025-03-22,9,SHIPPED
95,SO-0000095,71,2024-07-04,9,SHIPPED
96,SO-0000096,56,2024-01-22,7,PARTIAL
97,SO-0000097,64,2023-09-17,4,SHIPPED
98,SO-0000098,3,2024-08-16,1,OPEN
99,SO-0000099,79,2024-01-26,9,SHIPPED
100,SO-0000100,50,2026-01-29,4,SHIPPED
101,SO-0000101,65,2025-04-27,9,SHIPPED
102,SO-0000102,23,2024-01-04,2,SHIPPED
103,SO-0000103,27,2023-04-25,1,SHIPPED
104,SO-0000104,7,2025-12-29,1,OPEN
105,SO-0000105,62,2025-09-20,11,OPEN
106,SO-0000106,27,2023-06-19,3,OPEN
107,SO-0000107,68,2023-12-27,1,SHIPPED
108,SO-0000108,61,2025-08-31,5,SHIPPED
109,SO-0000109,10,2024-05-31,2,PARTIAL
110,SO-0000110,23,2026-05-16,1,PARTIAL
111,SO-0000111,77,2023-09-13,7,SHIPPED
112,SO-0000112,12,2023-08-15,3,PARTIAL
113,SO-0000113,41,2025-11-30,10,SHIPPED
114,SO-0000114,26,2025-08-06,5,OPEN
115,SO-0000115,40,2023-02-04,1,SHIPPED
116,SO-0000116,80,2024-07-01,11,SHIPPED
117,SO-0000117,9,2025-09-06,6,SHIPPED
118,SO-0000118,14,2025-02-12,5,SHIPPED
119,SO-0000119,22,2023-11-25,1,OPEN
120,SO-0000120,59,2025-03-02,8,OPEN
121,SO-0000121,36,2025-08-26,7,SHIPPED
122,SO-0000122,16,2024-07-08,8,SHIPPED
123,SO-0000123,14,2025-04-28,5,SHIPPED
124,SO-0000124,39,2025-11-27,2,SHIPPED
125,SO-0000125,8,2026-05-14,8,OPEN
126,SO-0000126,23,2025-08-25,10,SHIPPED
127,SO-0000127,14,2024-06-02,1,PARTIAL
128,SO-0000128,14,2025-01-03,10,SHIPPED
129,SO-0000129,71,2023-05-18,8,SHIPPED
130,SO-0000130,20,2024-04-26,11,SHIPPED
131,SO-0000131,80,2025-02-19,1,OPEN
132,SO-0000132,53,2023-05-02,5,SHIPPED
133,SO-0000133,78,2024-08-13,11,SHIPPED
134,SO-0000134,56,2024-06-24,12,OPEN
135,SO-0000135,36,2024-01-15,3,SHIPPED
136,SO-0000136,25,2023-10-09,6,OPEN
137,SO-0000137,67,2024-07-03,5,OPEN
138,SO-0000138,73,2025-09-04,10,OPEN
139,SO-0000139,12,2025-10-17,12,PARTIAL
140,SO-0000140,19,2023-03-03,8,PARTIAL
141,SO-0000141,46,2024-02-05,5,SHIPPED
142,SO-0000142,22,2026-07-26,9,OPEN
143,SO-0000143,56,2025-03-10,4,PARTIAL
144,SO-0000144,78,2025-05-22,11,SHIPPED
145,SO-0000145,78,2026-08-22,7,PARTIAL
146,SO-0000146,3,2025-12-30,10,SHIPPED
147,SO-0000147,67,2025-06-26,5,OPEN
148,SO-0000148,27,2026-04-13,1,OPEN
149,SO-0000149,47,2024-01-26,3,SHIPPED
150,SO-0000150,43,2023-12-11,3,SHIPPED
151,SO-0000151,74,2024-05-10,11,SHIPPED
152,SO-0000152,65,2023-10-21,3,SHIPPED
153,SO-0000153,68,2025-12-28,6,SHIPPED
154,SO-0000154,63,2025-02-15,2,PARTIAL
155,SO-0000155,16,2026-05-30,2,SHIPPED
156,SO-0000156,75,2025-10-11,2,OPEN
157,SO-0000157,76,2024-09-03,3,SHIPPED
158,SO-0000158,11,2023-09-13,4,SHIPPED
159,SO-0000159,59,2026-04-15,11,PARTIAL
160,SO-0000160,13,2024-06-14,5,SHIPPED
161,SO-0000161,45,2023-03-31,5,OPEN
162,SO-0000162,21,2023-12-30,12,OPEN
163,SO-0000163,30,2023-06-17,10,OPEN
164,SO-0000164,63,2025-11-30,9,SHIPPED
165,SO-0000165,22,2024-09-04,1,PARTIAL
166,SO-0000166,45,2025-02-17,7,PARTIAL
167,SO-0000167,1,2023-07-10,5,SHIPPED
168,SO-0000168,20,2026-04-30,6,SHIPPED
169,SO-0000169,18,2025-12-17,9,SHIPPED
170,SO-0000170,52,2025-08-15,5,PARTIAL
171,SO-0000171,3,2024-12-08,11,SHIPPED
172,SO-0000172,39,2025-12-24,4,OPEN
173,SO-0000173,5,2024-11-07,2,SHIPPED
174,SO-0000174,34,2024-10-24,7,PARTIAL
175,SO-0000175,26,2026-08-13,11,PARTIAL
176,SO-0000176,45,2025-07-22,4,SHIPPED
177,SO-0000177,12,2025-02-11,7,SHIPPED
178,SO-0000178,65,2025-08-22,2,SHIPPED
179,SO-0000179,40,2023-08-12,7,SHIPPED
180,SO-0000180,12,2024-12-22,5,OPEN
181,SO-0000181,46,2023-01-16,12,SHIPPED
182,SO-0000182,55,2026-07-11,3,SHIPPED
183,SO-0000183,60,2024-11-13,4,OPEN
184,SO-0000184,72,2023-08-20,5,SHIPPED
185,SO-0000185,50,2025-09-27,8,OPEN
186,SO-0000186,70,2026-06-25,9,SHIPPED
187,SO-0000187,26,2023-10-16,11,PARTIAL
188,SO-0000188,12,2023-09-22,11,SHIPPED
189,SO-0000189,44,2023-02-25,10,PARTIAL
190,SO-0000190,25,2024-05-24,6,SHIPPED
191,SO-0000191,39,2023-06-06,11,PARTIAL
192,SO-0000192,79,2023-10-11,7,OPEN
193,SO-0000193,51,2025-12-15,8,OPEN
194,SO-0000194,21,2024-04-18,1,SHIPPED
195,SO-0000195,73,2025-05-26,5,PARTIAL
196,SO-0000196,19,2024-03-07,3,OPEN
197,SO-0000197,39,2025-05-24,6,SHIPPED
198,SO-0000198,78,2026-02-04,12,SHIPPED
199,SO-0000199,10,2023-08-06,12,SHIPPED
200,SO-0000200,2,2026-03-01,10,SHIPPED
201,SO-0000201,50,2024-08-15,1,OPEN
202,SO-0000202,42,2025-11-28,6,OPEN
203,SO-0000203,41,2026-03-26,6,SHIPPED
204,SO-0000204,17,2024-03-16,9,SHIPPED
205,SO-0000205,60,2025-06-23,1,PARTIAL
206,SO-0000206,52,2023-04-02,6,OPEN
207,SO-0000207,58,2024-07-29,7,OPEN
208,SO-0000208,19,2026-06-19,9,SHIPPED
209,SO-0000209,59,2026-06-30,3,PARTIAL
210,SO-0000210,16,2026-08-14,2,SHIPPED
211,SO-0000211,71,2023-09-28,7,OPEN
212,SO-0000212,58,2026-05-22,6,SHIPPED
213,SO-0000213,8,2025-01-14,6,SHIPPED
214,SO-0000214,47,2023-01-29,2,SHIPPED
215,SO-0000215,34,2025-05-16,6,SHIPPED
216,SO-0000216,13,2023-07-08,10,SHIPPED
217,SO-0000217,79,2026-09-05,10,PARTIAL
218,SO-0000218,75,2025-02-25,7,SHIPPED
219,SO-0000219,19,2023-12-02,9,SHIPPED
220,SO-0000220,28,2025-03-28,8,SHIPPED
221,SO-0000221,36,2024-07-14,5,SHIPPED
222,SO-0000222,1,2024-06-23,8,OPEN
223,SO-0000223,16,2026-09-17,9,SHIPPED
224,SO-0000224,72,2025-06-29,10,SHIPPED
225,SO-0000225,34,2023-01-07,6,SHIPPED
226,SO-0000226,17,2024-07-01,11,OPEN
227,SO-0000227,20,2025-10-09,8,SHIPPED
228,SO-0000228,69,2025-11-30,2,OPEN
229,SO-0000229,32,2025-07-23,7,OPEN
230,SO-0000230,78,2026-02-13,1,SHIPPED
231,SO-0000231,49,2024-11-20,8,SHIPPED
232,SO-0000232,40,2023-03-04,1,OPEN
233,SO-0000233,48,2023-10-17,2,SHIPPED
234,SO-0000234,70,2023-01-16,4,SHIPPED
235,SO-0000235,67,2025-11-20,9,PARTIAL
236,SO-0000236,30,2025-10-12,6,SHIPPED
237,SO-0000237,27,2025-11-20,4,SHIPPED
238,SO-0000238,46,2023-04-03,4,SHIPPED
239,SO-0000239,78,2025-09-02,10,OPEN
240,SO-0000240,9,2024-07-23,7,OPEN
241,SO-0000241,36,2024-02-04,6,PARTIAL
242,SO-0000242,61,2023-03-13,6,SHIPPED
243,SO-0000243,45,2026-07-16,12,SHIPPED
244,SO-0000244,26,2025-07-16,10,PARTIAL
245,SO-0000245,19,2023-08-06,8,SHIPPED
246,SO-0000246,56,2024-04-04,9,SHIPPED
247,SO-0000247,10,2023-10-24,10,OPEN
248,SO-0000248,74,2025-12-04,3,OPEN
249,SO-0000249,79,2026-04-29,2,SHIPPED
250,SO-0000250,40,2023-06-11,12,SHIPPED
251,SO-0000251,48,2024-06-12,6,SHIPPED
252,SO-0000252,20,2023-03-11,2,PARTIAL
253,SO-0000253,47,2024-02-07,10,SHIPPED
254,SO-0000254,15,2025-12-08,3,SHIPPED
255,SO-0000255,61,2026-04-15,9,SHIPPED
256,SO-0000256,47,2026-02-13,3,OPEN
257,SO-0000257,24,2024-01-13,11,PARTIAL
258,SO-0000258,67,2026-03-11,2,OPEN
259,SO-0000259,56,2024-06-15,3,PARTIAL
260,SO-0000260,35,2025-05-30,5,SHIPPED
261,SO-0000261,52,2026-09-06,5,SHIPPED
262,SO-0000262,51,2024-08-30,4,PARTIAL
263,SO-0000263,46,2023-07-11,12,SHIPPED
264,SO-0000264,34,2024-08-11,3,SHIPPED
265,SO-0000265,74,2023-05-31,10,SHIPPED
266,SO-0000266,14,2025-07-22,12,OPEN
267,SO-0000267,59,2023-09-25,10,OPEN
268,SO-0000268,67,2023-02-21,9,SHIPPED
269,SO-0000269,68,2023-10-04,11,SHIPPED
270,SO-0000270,23,2026-03-27,6,SHIPPED
271,SO-0000271,19,2026-05-09,1,SHIPPED
272,SO-0000272,73,2023-01-03,7,SHIPPED
273,SO-0000273,9,2025-09-25,2,PARTIAL
274,SO-0000274,36,2023-05-06,4,OPEN
275,SO-0000275,61,2024-09-15,1,SHIPPED
276,SO-0000276,31,2026-06-14,10,SHIPPED
277,SO-0000277,79,2023-04-15,12,OPEN
278,SO-0000278,80,2025-10-26,12,PARTIAL
279,SO-0000279,56,2025-02-22,12,SHIPPED
280,SO-0000280,40,2024-09-22,1,SHIPPED
281,SO-0000281,38,2023-03-02,10,SHIPPED
282,SO-0000282,36,2026-02-28,6,SHIPPED
283,SO-0000283,79,2023-05-11,7,SHIPPED
284,SO-0000284,36,2025-11-05,2,PARTIAL
285,SO-0000285,6,2026-03-08,6,SHIPPED
286,SO-0000286,62,2026-08-26,1,PARTIAL
287,SO-0000287,55,2024-03-02,2,PARTIAL
288,SO-0000288,40,2025-05-20,1,PARTIAL
289,SO-0000289,67,2024-01-02,8,PARTIAL
290,SO-0000290,52,2025-12-12,9,PARTIAL
291,SO-0000291,42,2025-02-20,8,SHIPPED
292,SO-0000292,21,2025-01-23,11,SHIPPED
293,SO-0000293,52,2024-04-17,9,SHIPPED
294,SO-0000294,6,2025-02-21,1,SHIPPED
295,SO-0000295,60,2026-08-30,4,SHIPPED
296,SO-0000296,46,2026-03-05,5,SHIPPED
297,SO-0000297,73,2025-07-22,2,SHIPPED
298,SO-0000298,43,2025-01-01,9,SHIPPED
299,SO-0000299,75,2024-08-03,11,SHIPPED
300,SO-0000300,18,2024-02-09,4,SHIPPED
301,SO-0000301,3,2024-03-04,11,OPEN
302,SO-0000302,47,2024-05-22,3,SHIPPED
303,SO-0000303,56,2026-04-12,2,SHIPPED
304,SO-0000304,24,2026-07-23,12,SHIPPED
305,SO-0000305,63,2023-03-31,8,SHIPPED
306,SO-0000306,78,2025-10-13,1,SHIPPED
307,SO-0000307,8,2025-11-18,7,SHIPPED
308,SO-0000308,34,2023-01-10,1,SHIPPED
309,SO-0000309,79,2024-10-28,1,OPEN
310,SO-0000310,14,2026-02-09,4,SHIPPED
311,SO-0000311,80,2026-04-26,8,SHIPPED
312,SO-0000312,17,2024-06-11,2,SHIPPED
313,SO-0000313,26,2024-05-18,1,PARTIAL
314,SO-0000314,18,2024-07-08,2,SHIPPED
315,SO-0000315,55,2026-05-09,4,OPEN
316,SO-0000316,43,2024-05-09,4,OPEN
317,SO-0000317,12,2026-08-11,2,SHIPPED
318,SO-0000318,71,2025-05-27,10,SHIPPED
319,SO-0000319,54,2025-06-21,8,PARTIAL
320,SO-0000320,22,2024-11-08,12,SHIPPED
321,SO-0000321,28,2023-07-09,10,OPEN
322,SO-0000322,79,2024-03-31,4,SHIPPED
323,SO-0000323,51,2023-02-20,8,OPEN
324,SO-0000324,68,2025-12-16,5,SHIPPED
325,SO-0000325,7,2023-02-14,7,SHIPPED
326,SO-0000326,65,2026-03-11,1,PARTIAL
327,SO-0000327,53,2025-11-05,11,SHIPPED
328,SO-0000328,69,2023-10-16,6,SHIPPED
329,SO-0000329,38,2024-02-19,4,SHIPPED
330,SO-0000330,22,2025-02-24,4,SHIPPED
331,SO-0000331,48,2024-01-06,9,PARTIAL
332,SO-0000332,66,2023-02-13,11,SHIPPED
333,SO-0000333,44,2023-11-02,4,OPEN
334,SO-0000334,72,2025-05-16,1,PARTIAL
335,SO-0000335,26,2026-01-05,7,OPEN
336,SO-0000336,19,2023-05-13,2,OPEN
337,SO-0000337,12,2023-03-20,5,PARTIAL
338,SO-0000338,7,2024-11-01,8,PARTIAL
339,SO-0000339,40,2026-04-02,6,OPEN
340,SO-0000340,10,2024-12-17,11,SHIPPED
341,SO-0000341,6,2025-12-19,12,SHIPPED
342,SO-0000342,5,2023-07-06,3,PARTIAL
343,SO-0000343,65,2026-05-09,11,OPEN
344,SO-0000344,40,2023-01-20,11,SHIPPED
345,SO-0000345,4,2025-08-24,5,PARTIAL
346,SO-0000346,68,2026-02-10,4,OPEN
347,SO-0000347,37,2024-10-12,1,OPEN
348,SO-0000348,71,2024-10-20,3,PARTIAL
349,SO-0000349,18,2025-02-17,9,SHIPPED
350,SO-0000350,6,2023-09-14,9,OPEN
351,SO-0000351,24,2026-02-08,8,SHIPPED
352,SO-0000352,73,2026-01-11,11,OPEN
353,SO-0000353,46,2023-02-15,3,OPEN
354,SO-0000354,12,2025-02-16,4,SHIPPED
355,SO-0000355,58,2026-04-17,9,SHIPPED
356,SO-0000356,18,2025-09-25,8,SHIPPED
357,SO-0000357,72,2025-11-23,10,OPEN
358,SO-0000358,77,2024-10-03,12,OPEN
359,SO-0000359,63,2023-01-24,7,PARTIAL
360,SO-0000360,15,2023-03-09,1,OPEN
361,SO-0000361,68,2024-09-25,5,SHIPPED
362,SO-0000362,36,2025-05-30,5,PARTIAL
363,SO-0000363,64,2023-08-23,9,OPEN
364,SO-0000364,42,2023-06-23,1,SHIPPED
365,SO-0000365,71,2023-07-14,10,SHIPPED
366,SO-0000366,15,2025-06-05,1,SHIPPED
367,SO-0000367,52,2023-08-10,8,PARTIAL
368,SO-0000368,47,2023-01-21,10,PARTIAL
369,SO-0000369,8,2025-07-10,5,SHIPPED
370,SO-0000370,74,2024-06-15,6,OPEN
371,SO-0000371,3,2025-01-05,2,SHIPPED
372,SO-0000372,12,2025-02-17,8,SHIPPED
373,SO-0000373,68,2025-12-19,11,SHIPPED
374,SO-0000374,64,2025-11-15,8,SHIPPED
375,SO-0000375,14,2024-09-10,3,OPEN
376,SO-0000376,75,2025-03-27,2,SHIPPED
377,SO-0000377,26,2025-12-02,7,SHIPPED
378,SO-0000378,8,2023-11-06,7,PARTIAL
379,SO-0000379,37,2025-08-20,10,SHIPPED
380,SO-0000380,69,2026-06-23,10,SHIPPED
381,SO-0000381,5,2024-10-09,10,OPEN
382,SO-0000382,41,2024-12-21,4,SHIPPED
383,SO-0000383,63,2023-03-13,7,PARTIAL
384,SO-0000384,15,2024-02-11,6,SHIPPED
385,SO-0000385,36,2023-04-29,11,OPEN
386,SO-0000386,4,2023-04-30,5,SHIPPED
387,SO-0000387,21,2023-07-21,12,SHIPPED
388,SO-0000388,58,2024-12-01,2,OPEN
389,SO-0000389,19,2025-11-13,5,SHIPPED
390,SO-0000390,60,2025-11-22,5,PARTIAL
391,SO-0000391,75,2025-10-05,9,SHIPPED
392,SO-0000392,4,2024-07-09,11,PARTIAL
393,SO-0000393,46,2024-07-05,6,SHIPPED
394,SO-0000394,64,2023-09-28,4,PARTIAL
395,SO-0000395,10,2025-11-28,10,OPEN
396,SO-0000396,11,2025-11-21,2,PARTIAL
397,SO-0000397,18,2025-07-19,5,OPEN
398,SO-0000398,76,2026-05-05,8,SHIPPED
399,SO-0000399,13,2025-05-15,1,SHIPPED
400,SO-0000400,64,2025-06-03,5,SHIPPED
401,SO-0000401,27,2025-04-03,5,OPEN
402,SO-0000402,77,2023-03-30,3,PARTIAL
403,SO-0000403,22,2025-10-05,9,SHIPPED
404,SO-0000404,10,2026-09-07,8,OPEN
405,SO-0000405,75,2025-02-27,8,PARTIAL
406,SO-0000406,31,2026-09-03,6,OPEN
407,SO-0000407,70,2024-07-20,6,PARTIAL
408,SO-0000408,77,2023-07-01,1,SHIPPED
409,SO-0000409,77,2025-05-06,5,PARTIAL
410,SO-0000410,47,2024-02-29,3,SHIPPED
411,SO-0000411,30,2026-08-11,8,SHIPPED
412,SO-0000412,53,2023-01-28,7,PARTIAL
413,SO-0000413,6,2025-05-24,9,OPEN
414,SO-0000414,65,2025-10-15,4,SHIPPED
415,SO-0000415,42,2026-01-31,4,SHIPPED
416,SO-0000416,4,2025-11-04,9,SHIPPED
417,SO-0000417,68,2025-08-25,12,SHIPPED
418,SO-0000418,46,2023-08-26,6,SHIPPED
419,SO-0000419,48,2026-03-02,11,PARTIAL
420,SO-0000420,42,2024-05-06,12,OPEN
421,SO-0000421,6,2025-12-17,5,OPEN
422,SO-0000422,20,2023-01-02,5,SHIPPED
423,SO-0000423,53,2023-08-05,7,SHIPPED
424,SO-0000424,16,2024-01-01,2,SHIPPED
425,SO-0000425,14,2023-03-16,2,SHIPPED
426,SO-0000426,7,2023-03-16,10,OPEN
427,SO-0000427,16,2024-01-13,5,SHIPPED
428,SO-0000428,34,2025-07-26,8,SHIPPED
429,SO-0000429,26,2023-08-18,4,PARTIAL
430,SO-0000430,30,2023-06-01,2,OPEN
431,SO-0000431,69,2024-02-14,11,PARTIAL
432,SO-0000432,25,2025-01-11,2,SHIPPED
433,SO-0000433,68,2024-02-28,10,SHIPPED
434,SO-0000434,19,2023-07-19,12,SHIPPED
435,SO-0000435,62,2023-04-30,11,OPEN
436,SO-0000436,43,2023-05-10,3,SHIPPED
437,SO-0000437,44,2026-07-17,5,SHIPPED
438,SO-0000438,79,2025-02-11,3,SHIPPED
439,SO-0000439,44,2025-10-10,1,SHIPPED
440,SO-0000440,30,2023-06-05,6,SHIPPED
441,SO-0000441,12,2025-08-15,12,OPEN
442,SO-0000442,29,2026-05-04,10,SHIPPED
443,SO-0000443,49,2026-08-31,8,PARTIAL
444,SO-0000444,65,2023-01-05,3,SHIPPED
445,SO-0000445,42,2024-09-20,2,PARTIAL
446,SO-0000446,56,2026-03-19,12,PARTIAL
447,SO-0000447,3,2026-02-05,1,SHIPPED
448,SO-0000448,46,2025-08-08,5,OPEN
449,SO-0000449,74,2025-06-12,10,SHIPPED
450,SO-0000450,13,2026-09-21,10,SHIPPED
451,SO-0000451,75,2023-06-21,12,SHIPPED
452,SO-0000452,65,2025-05-16,9,SHIPPED
453,SO-0000453,43,2023-04-08,11,SHIPPED
454,SO-0000454,7,2023-01-07,3,SHIPPED
455,SO-0000455,78,2024-07-20,1,OPEN
456,SO-0000456,1,2024-08-20,2,PARTIAL
457,SO-0000457,21,2023-04-02,4,OPEN
458,SO-0000458,19,2024-04-28,10,SHIPPED
459,SO-0000459,39,2025-11-30,2,OPEN
460,SO-0000460,35,2025-03-25,2,SHIPPED
461,SO-0000461,32,2024-02-07,4,OPEN
462,SO-0000462,77,2023-04-05,7,OPEN
463,SO-0000463,61,2026-01-17,5,SHIPPED
464,SO-0000464,8,2023-04-14,8,SHIPPED
465,SO-0000465,34,2023-10-20,6,PARTIAL
466,SO-0000466,12,2023-11-11,12,SHIPPED
467,SO-0000467,71,2025-05-26,12,SHIPPED
468,SO-0000468,78,2026-01-02,1,SHIPPED
469,SO-0000469,53,2026-09-19,1,SHIPPED
470,SO-0000470,34,2024-04-02,8,PARTIAL
471,SO-0000471,31,2023-12-25,8,SHIPPED
472,SO-0000472,29,2025-02-21,3,PARTIAL
473,SO-0000473,15,2024-05-17,1,OPEN
474,SO-0000474,55,2024-10-21,10,SHIPPED
475,SO-0000475,78,2024-06-27,12,SHIPPED
476,SO-0000476,31,2024-05-27,5,SHIPPED
477,SO-0000477,40,2026-02-16,9,SHIPPED
478,SO-0000478,34,2023-11-01,11,SHIPPED
479,SO-0000479,14,2025-11-26,9,SHIPPED
480,SO-0000480,27,2024-05-17,11,SHIPPED
481,SO-0000481,29,2023-10-15,9,SHIPPED
482,SO-0000482,37,2024-01-19,1,SHIPPED
483,SO-0000483,11,2025-04-13,5,SHIPPED
484,SO-0000484,44,2026-06-17,5,PARTIAL
485,SO-0000485,21,2025-05-12,9,SHIPPED
486,SO-0000486,26,2026-02-06,2,SHIPPED
487,SO-0000487,69,2023-01-26,7,PARTIAL
488,SO-0000488,75,2025-01-12,7,SHIPPED
489,SO-0000489,58,2026-01-03,4,PARTIAL
490,SO-0000490,53,2025-09-22,10,PARTIAL
491,SO-0000491,1,2024-01-23,3,SHIPPED
492,SO-0000492,42,2026-02-08,4,SHIPPED
493,SO-0000493,26,2023-03-16,1,SHIPPED
494,SO-0000494,70,2023-07-05,11,OPEN
495,SO-0000495,67,2026-05-21,6,OPEN
496,SO-0000496,69,2025-10-21,5,OPEN
497,SO-0000497,7,2025-08-16,3,SHIPPED
498,SO-0000498,64,2023-11-15,9,SHIPPED
499,SO-0000499,38,2024-09-29,1,PARTIAL
500,SO-0000500,39,2024-07-04,1,OPEN
501,SO-0000501,35,2024-06-08,1,PARTIAL
502,SO-0000502,61,2024-02-10,6,PARTIAL
503,SO-0000503,31,2023-01-10,9,OPEN
504,SO-0000504,51,2025-08-06,3,SHIPPED
505,SO-0000505,68,2024-08-06,5,OPEN
506,SO-0000506,15,2025-05-29,1,SHIPPED
507,SO-0000507,73,2023-03-31,2,PARTIAL
508,SO-0000508,37,2025-07-15,4,SHIPPED
509,SO-0000509,13,2025-09-25,9,SHIPPED
510,SO-0000510,75,2025-05-03,7,PARTIAL
511,SO-0000511,60,2024-07-30,3,SHIPPED
512,SO-0000512,35,2026-05-20,6,SHIPPED
513,SO-0000513,70,2024-03-13,5,OPEN
514,SO-0000514,52,2024-04-12,8,SHIPPED
515,SO-0000515,1,2024-01-15,8,OPEN
516,SO-0000516,10,2024-08-20,8,SHIPPED
517,SO-0000517,54,2025-07-25,1,SHIPPED
518,SO-0000518,19,2024-09-15,4,SHIPPED
519,SO-0000519,39,2023-08-21,10,OPEN
520,SO-0000520,47,2024-02-11,1,SHIPPED
521,SO-0000521,60,2023-04-04,8,SHIPPED
522,SO-0000522,27,2024-03-28,8,SHIPPED
523,SO-0000523,27,2024-02-23,9,OPEN
