BOM_LINE_ID,BOM_ID,PART_ID,QUANTITY_PER,FIND_NUMBER
141,15,22526,1.0000,1
142,15,9862,3.0000,2
143,15,23096,10.0000,3
144,15,29438,13.0000,4
145,15,4238,10.0000,5
146,15,27923,5.0000,6
147,15,707,8.0000,7
148,15,14747,19.0000,8
149,15,19167,1.0000,9
150,15,12283,5.0000,10
151,16,12554,6.0000,1
152,16,28545,14.0000,2
153,16,1268,13.0000,3
154,16,13743,7.0000,4
155,16,26496,6.0000,5
156,16,22315,5.0000,6
157,16,4636,12.0000,7
158,16,15211,6.0000,8
159,16,18939,1.0000,9
160,16,17773,1.0000,10
161,17,3325,10.0000,1
162,17,7621,14.0000,2
163,17,16990,8.0000,3
164,17,3183,5.0000,4
165,17,10662,3.0000,5
166,17,23805,9.0000,6
167,17,21201,11.0000,7
168,17,8180,6.0000,8
169,17,25458,12.0000,9
170,17,17732,18.0000,10
171,18,11363,8.0000,1
172,18,8599,19.0000,2
173,18,29525,7.0000,3
174,18,16354,3.0000,4
175,18,16506,1.0000,5
176,18,1965,14.0000,6
177,18,19932,13.0000,7
178,18,2545,5.0000,8
179,18,8360,4.0000,9
180,18,22892,12.0000,10
181,19,10446,6.0000,1
182,19,19975,18.0000,2
183,19,27660,13.0000,3
184,19,3592,12.0000,4
185,19,21890,1.0000,5
186,19,8950,2.0000,6
187,19,7546,19.0000,7
188,19,12892,5.0000,8
189,19,24524,16.0000,9
190,19,3945,20.0000,10
191,20,26439,17.0000,1
192,20,29359,4.0000,2
193,20,5811,20.0000,3
194,20,23701,4.0000,4
195,20,23433,17.0000,5
196,20,5779,2.0000,6
197,20,3799,15.0000,7
198,20,15038,1.0000,8
199,20,23290,18.0000,9
200,20,19602,6.0000,10
201,21,23570,13.0000,1
202,21,9722,13.0000,2
203,21,10441,1.0000,3
204,21,17537,1.0000,4
205,21,15660,15.0000,5
206,21,4372,2.0000,6
207,21,25818,16.0000,7
208,21,14819,6.0000,8
209,21,859,7.0000,9
210,21,20336,12.0000,10
211,22,27671,11.0000,1
212,22,4378,8.0000,2
213,22,28408,5.0000,3
214,22,18447,19.0000,4
215,22,6594,7.0000,5
216,22,6013,9.0000,6
217,22,399,4.0000,7
218,22,15435,17.0000,8
219,22,20339,6.0000,9
220,22,15228,18.0000,10
221,23,15636,11.0000,1
222,23,1281,10.0000,2
223,23,1936,6.0000,3
224,23,15352,1.0000,4
225,23,3154,7.0000,5
226,23,6977,8.0000,6
227,23,5620,13.0000,7
228,23,18629,5.0000,8
229,23,1552,5.0000,9
230,23,27198,10.0000,10
231,24,26929,10.0000,1
232,24,4120,13.0000,2
233,24,17248,10.0000,3
234,24,2630,16.0000,4
235,24,28467,5.0000,5
236,24,24910,16.0000,6
237,24,3067,15.0000,7
238,24,9166,3.0000,8
239,24,24478,16.0000,9
240,24,16409,10.0000,10
241,25,15716,20.0000,1
242,25,26701,12.0000,2
243,25,13885,3.0000,3
244,25,10266,18.0000,4
245,25,13859,18.0000,5
246,25,3976,10.0000,6
247,25,16810,17.0000,7
248,25,26714,19.0000,8
249,25,29279,5.0000,9
250,25,4760,2.0000,10
251,26,4528,9.0000,1
252,26,14900,20.0000,2
253,26,16767,13.0000,3
254,26,14095,3.0000,4
255,26,29101,11.0000,5
256,26,7567,10.0000,6
257,26,17944,8.0000,7
258,26,3267,6.0000,8
259,26,27896,12.0000,9
260,26,23715,1.0000,10
261,27,14132,15.0000,1
262,27,7171,8.0000,2
263,27,26926,2.0000,3
264,27,12754,9.0000,4
265,27,25274,11.0000,5
266,27,12174,4.0000,6
267,27,17179,8.0000,7
268,27,28227,12.0000,8
269,27,948,17.0000,9
270,27,8823,12.0000,10
271,28,7379,5.0000,1
272,28,8553,3.0000,2
273,28,12809,19.0000,3
274,28,3316,16.0000,4
275,28,14861,14.0000,5
276,28,25551,1.0000,6
277,28,2559,5.0000,7
278,28,15440,20.0000,8
279,28,18056,4.0000,9
280,28,19560,1.0000,10
281,29,4918,11.0000,1
282,29,3796,15.0000,2
283,29,3039,11.0000,3
284,29,8356,10.0000,4
285,29,8966,13.0000,5
286,29,16062,4.0000,6
287,29,9255,7.0000,7
288,29,7080,11.0000,8
289,29,7907,17.0000,9
290,29,13972,7.0000,10
291,30,14362,12.0000,1
292,30,14581,14.0000,2
293,30,15412,13.0000,3
294,30,16806,3.0000,4
295,30,6060,18.0000,5
296,30,22766,20.0000,6
297,30,2633,4.0000,7
298,30,29243,12.0000,8
299,30,3835,11.0000,9
300,30,19618,5.0000,10
301,31,2483,9.0000,1
302,31,9247,18.0000,2
303,31,4056,8.0000,3
304,31,984,10.0000,4
305,31,8303,20.0000,5
306,31,9838,17.0000,6
307,31,19448,13.0000,7
308,31,7154,20.0000,8
309,31,1679,7.0000,9
310,31,2494,6.0000,10
311,32,2480,2.0000,1
312,32,29857,18.0000,2
313,32,27866,14.0000,3
314,32,17698,5.0000,4
315,32,5495,15.0000,5
316,32,25483,5.0000,6
317,32,7292,19.0000,7
318,32,4791,8.0000,8
319,32,4134,13.0000,9
320,32,5782,18.0000,10
321,33,26508,10.0000,1
322,33,6159,16.0000,2
323,33,17171,11.0000,3
324,33,27108,11.0000,4
325,33,29127,5.0000,5
326,33,16225,16.0000,6
327,33,25893,20.0000,7
328,33,14309,9.0000,8
329,33,2838,15.0000,9
330,33,11302,6.0000,10
331,34,27888,1.0000,1
332,34,23586,4.0000,2
333,34,21404,16.0000,3
334,34,8952,17.0000,4
335,34,26,1.0000,5
336,34,1059,3.0000,6
337,34,20972,9.0000,7
338,34,10487,1.0000,8
339,34,24600,18.0000,9
340,34,18970,17.0000,10
341,35,11126,4.0000,1
342,35,22165,17.0000,2
343,35,24625,5.0000,3
344,35,28680,20.0000,4
345,35,20004,17.0000,5
346,35,23028,7.0000,6
347,35,117,11.0000,7
348,35,26631,9.0000,8
349,35,10338,19.0000,9
350,35,29126,17.0000,10
351,36,424,5.0000,1
352,36,16073,17.0000,2
353,36,8686,6.0000,3
354,36,2412,18.0000,4
355,36,27578,13.0000,5
356,36,11618,19.0000,6
357,36,18232,18.0000,7
358,36,1517,2.0000,8
359,36,22943,14.0000,9
360,36,16895,8.0000,10
361,37,12228,4.0000,1
362,37,3636,1.0000,2
363,37,1024,15.0000,3
364,37,25242,14.0000,4
365,37,8711,15.0000,5
366,37,26255,17.0000,6
367,37,24372,12.0000,7
368,37,14527,11.0000,8
369,37,21208,2.0000,9
370,37,4954,2.0000,10
371,38,1283,16.0000,1
372,38,16332,19.0000,2
373,38,13188,14.0000,3
374,38,10864,20.0000,4
375,38,22894,19.0000,5
376,38,15675,17.0000,6
377,38,16906,17.0000,7
378,38,27208,10.0000,8
379,38,10677,3.0000,9
380,38,15589,10.0000,10
381,39,20645,8.0000,1
382,39,10521,1.0000,2
383,39,26463,2.0000,3
384,39,8095,7.0000,4
385,39,16036,9.0000,5
386,39,29524,20.0000,6
387,39,29621,12.0000,7
388,39,17178,11.0000,8
389,39,23379,18.0000,9
390,39,16460,7.0000,10
391,40,13995,9.0000,1
392,40,28404,6.0000,2
393,40,8206,2.0000,3
394,40,8784,1.0000,4
395,40,12010,3.0000,5
396,40,16971,6.0000,6
397,40,26018,1.0000,7
398,40,156,1.0000,8
399,40,8733,6.0000,9
400,40,24144,5.0000,10
401,41,16747,4.0000,1
402,41,7757,9.0000,2
403,41,15542,9.0000,3
404,41,11450,6.0000,4
405,41,7435,19.0000,5
406,41,9551,2.0000,6
407,41,15270,7.0000,7
408,41,4477,2.0000,8
409,41,23037,7.0000,9
410,41,15487,5.0000,10
411,42,670,9.0000,1
412,42,7253,8.0000,2
413,42,6486,5.0000,3
414,42,8625,19.0000,4
415,42,762,7.0000,5
416,42,28564,9.0000,6
417,42,18308,8.0000,7
418,42,8446,18.0000,8
419,42,1408,7.0000,9
420,42,10282,2.0000,10
421,43,21046,12.0000,1
422,43,20100,2.0000,2
423,43,9653,17.0000,3
424,43,12576,6.0000,4
425,43,26734,5.0000,5
426,43,29687,15.0000,6
427,43,9376,18.0000,7
428,43,25474,8.0000,8
429,43,22506,20.0000,9
430,43,1310,12.0000,10
431,44,5109,20.0000,1
432,44,14105,2.0000,2
433,44,20948,14.0000,3
434,44,19859,20.0000,4
435,44,6542,10.0000,5
436,44,23643,20.0000,6
437,44,7404,4.0000,7
438,44,24959,3.0000,8
439,44,23244,14.0000,9
440,44,18590,16.0000,10
441,45,11052,18.0000,1
442,45,14829,20.0000,2
443,45,17649,19.0000,3
444,45,11185,15.0000,4
445,45,26202,9.0000,5
446,45,15496,4.0000,6
447,45,17283,2.0000,7
448,45,25726,11.0000,8
449,45,2074,14.0000,9
450,45,8253,10.0000,10
451,46,21435,2.0000,1
452,46,27265,7.0000,2
453,46,10203,18.0000,3
454,46,3767,7.0000,4
455,46,27598,17.0000,5
456,46,22961,18.0000,6
457,46,27861,2.0000,7
458,46,7059,14.0000,8
459,46,23159,5.0000,9
460,46,26115,5.0000,10
461,47,22272,3.0000,1
462,47,2237,15.0000,2
463,47,19741,3.0000,3
464,47,18408,14.0000,4
465,47,1554,13.0000,5
466,47,17212,15.0000,6
467,47,18791,17.0000,7
468,47,14798,8.0000,8
469,47,17493,18.0000,9
470,47,19634,18.0000,10
471,48,28511,19.0000,1
472,48,3469,13.0000,2
473,48,11375,13.0000,3
474,48,15335,10.0000,4
475,48,24878,14.0000,5
476,48,11791,3.0000,6
477,48,14200,3.0000,7
478,48,2994,15.0000,8
479,48,15534,1.0000,9
480,48,28507,13.0000,10
481,49,28589,8.0000,1
482,49,6037,4.0000,2
483,49,13931,4.0000,3
484,49,15644,4.0000,4
485,49,5061,13.0000,5
486,49,14986,13.0000,6
487,49,15669,6.0000,7
488,49,18475,13.0000,8
489,49,17098,9.0000,9
490,49,16933,16.0000,10
491,50,14241,8.0000,1
492,50,11882,15.0000,2
493,50,4506,15.0000,3
494,50,16790,16.0000,4
495,50,3027,7.0000,5
496,50,24709,5.0000,6
497,50,13207,9.0000,7
498,50,14304,19.0000,8
499,50,11718,8.0000,9
500,50,12679,11.0000,10
501,51,11955,5.0000,1
502,51,19181,6.0000,2
503,51,20351,10.0000,3
504,51,15651,9.0000,4
505,51,6548,14.0000,5
506,51,6015,20.0000,6
507,51,22473,10.0000,7
508,51,17797,7.0000,8
509,51,11053,19.0000,9
510,51,29595,14.0000,10
511,52,460,17.0000,1
512,52,24035,16.0000,2
513,52,1190,8.0000,3
514,52,4372,18.0000,4
515,52,12401,20.0000,5
516,52,11450,18.0000,6
517,52,23094,17.0000,7
518,52,17459,4.0000,8
519,52,4839,3.0000,9
520,52,1727,7.0000,10
521,53,300,14.0000,1
522,53,8427,13.0000,2
523,53,17627,19.0000,3
524,53,29572,5.0000,4
525,53,21461,6.0000,5
526,53,29860,3.0000,6
527,53,10502,15.0000,7
528,53,29267,8.0000,8
529,53,13187,9.0000,9
530,53,25327,1.0000,10
531,54,3462,1.0000,1
532,54,17782,17.0000,2
533,54,19222,11.0000,3
534,54,21525,4.0000,4
535,54,16018,4.0000,5
536,54,19679,17.0000,6
537,54,2836,8.0000,7
538,54,22076,20.0000,8
539,54,23471,20.0000,9
540,54,3516,17.0000,10
541,55,17553,16.0000,1
542,55,22458,18.0000,2
543,55,17574,6.0000,3
544,55,15160,16.0000,4
545,55,2904,4.0000,5
546,55,16503,5.0000,6
547,55,29547,14.0000,7
548,55,12159,20.0000,8
549,55,395,9.0000,9
550,55,27413,6.0000,10
551,56,26064,2.0000,1
552,56,12180,9.0000,2
553,56,12182,18.0000,3
554,56,12050,6.0000,4
555,56,8064,9.0000,5
556,56,4933,3.0000,6
557,56,4280,19.0000,7
558,56,2712,14.0000,8
559,56,11996,20.0000,9
560,56,26387,20.0000,10
561,57,13941,9.0000,1
562,57,26298,11.0000,2
563,57,26515,12.0000,3
564,57,16833,14.0000,4
565,57,5278,10.0000,5
566,57,6169,20.0000,6
567,57,4432,14.0000,7
568,57,21367,14.0000,8
569,57,1976,18.0000,9
570,57,27575,12.0000,10
571,58,11935,19.0000,1
572,58,6273,5.0000,2
573,58,15765,16.0000,3
574,58,18799,4.0000,4
575,58,10401,9.0000,5
576,58,7755,13.0000,6
577,58,2845,5.0000,7
578,58,12574,13.0000,8
579,58,6697,16.0000,9
580,58,10742,16.0000,10
581,59,24309,19.0000,1
582,59,10179,11.0000,2
583,59,9180,9.0000,3
584,59,19154,1.0000,4
585,59,25673,14.0000,5
586,59,14713,9.0000,6
587,59,26165,14.0000,7
588,59,26742,12.0000,8
589,59,19764,11.0000,9
590,59,1277,6.0000,10
591,60,28532,20.0000,1
592,60,27921,9.0000,2
593,60,10801,12.0000,3
594,60,4623,20.0000,4
595,60,23700,11.0000,5
596,60,18941,19.0000,6
597,60,26629,9.0000,7
598,60,13740,20.0000,8
599,60,6065,18.0000,9
600,60,19079,10.0000,10
601,61,3099,2.0000,1
602,61,16045,15.0000,2
603,61,4523,11.0000,3
604,61,2890,14.0000,4
605,61,1931,16.0000,5
606,61,23464,14.0000,6
607,61,4549,14.0000,7
608,61,775,13.0000,8
609,61,10446,2.0000,9
610,61,7990,8.0000,10
611,62,28192,9.0000,1
612,62,7998,1.0000,2
613,62,487,18.0000,3
614,62,4542,9.0000,4
615,62,12328,17.0000,5
616,62,11836,13.0000,6
617,62,29120,3.0000,7
618,62,24730,18.0000,8
619,62,10121,17.0000,9
620,62,2030,4.0000,10
621,63,20955,19.0000,1
622,63,6151,19.0000,2
623,63,29,17.0000,3
624,63,16028,15.0000,4
625,63,19122,11.0000,5
626,63,25040,4.0000,6
627,63,27696,2.0000,7
628,63,16069,6.0000,8
629,63,5236,1.0000,9
630,63,10899,20.0000,10
631,64,28099,15.0000,1
632,64,23313,5.0000,2
633,64,5845,17.0000,3
634,64,25654,1.0000,4
635,64,18095,1.0000,5
636,64,21281,8.0000,6
637,64,27796,17.0000,7
638,64,27908,20.0000,8
639,64,24240,12.0000,9
640,64,28580,18.0000,10
641,65,277,17.0000,1
642,65,19880,5.0000,2
643,65,2919,6.0000,3
644,65,25798,6.0000,4
645,65,20602,20.0000,5
646,65,6455,9.0000,6
647,65,3498,5.0000,7
648,65,22868,3.0000,8
649,65,22372,7.0000,9
650,65,21167,13.0000,10
651,66,23759,10.0000,1
652,66,7917,2.0000,2
653,66,13561,18.0000,3
654,66,13541,17.0000,4
655,66,3841,4.0000,5
656,66,19739,20.0000,6
657,66,27923,3.0000,7
658,66,6554,20.0000,8
659,66,7496,19.0000,9
660,66,6633,12.0000,10
661,67,20082,4.0000,1
662,67,21594,2.0000,2
663,67,20649,3.0000,3
664,67,22825,9.0000,4
665,67,11297,14.0000,5
666,67,4670,8.0000,6
667,67,13,3.0000,7
668,67,1970,15.0000,8
669,67,21482,3.0000,9
670,67,27642,20.0000,10
671,68,17933,18.0000,1
672,68,25786,9.0000,2
673,68,3573,12.0000,3
674,68,19031,20.0000,4
675,68,22200,19.0000,5
676,68,16735,9.0000,6
677,68,12374,18.0000,7
678,68,22323,10.0000,8
679,68,7826,6.0000,9
680,68,5699,7.0000,10
681,69,2686,18.0000,1
682,69,25068,5.0000,2
683,69,7939,20.0000,3
684,69,10565,7.0000,4
685,69,3705,7.0000,5
686,69,29518,18.0000,6
687,69,14412,19.0000,7
688,69,13429,14.0000,8
689,69,4821,9.0000,9
690,69,10341,10.0000,10
691,70,21807,4.0000,1
692,70,29960,18.0000,2
693,70,13086,11.0000,3
694,70,22032,4.0000,4
695,70,11539,20.0000,5
696,70,3594,13.0000,6
697,70,29604,6.0000,7
698,70,26998,19.0000,8
699,70,11121,12.0000,9
700,70,12573,7.0000,10
701,71,4607,10.0000,1
702,71,3242,19.0000,2
703,71,18009,17.0000,3
704,71,5742,8.0000,4
705,71,11018,15.0000,5
706,71,1533,15.0000,6
707,71,8814,2.0000,7
708,71,21443,1.0000,8
709,71,17481,18.0000,9
710,71,4943,2.0000,10
711,72,341,18.0000,1
712,72,11291,4.0000,2
713,72,10287,3.0000,3
714,72,5199,6.0000,4
715,72,23469,7.0000,5
716,72,10562,2.0000,6
717,72,5193,2.0000,7
718,72,396,14.0000,8
719,72,25598,2.0000,9
720,72,10972,14.0000,10
721,73,12781,17.0000,1
722,73,23724,3.0000,2
723,73,22752,3.0000,3
724,73,22461,13.0000,4
725,73,14602,9.0000,5
726,73,26599,3.0000,6
727,73,24901,19.0000,7
728,73,359,10.0000,8
729,73,19224,12.0000,9
730,73,23920,10.0000,10
731,74,21666,5.0000,1
732,74,20870,10.0000,2
733,74,1066,7.0000,3
734,74,5098,2.0000,4
735,74,19245,3.0000,5
736,74,21560,6.0000,6
737,74,26423,7.0000,7
738,74,2825,9.0000,8
739,74,15920,17.0000,9
740,74,13281,6.0000,10
741,75,15243,10.0000,1
742,75,21061,9.0000,2
743,75,22896,2.0000,3
744,75,11239,6.0000,4
745,75,27306,9.0000,5
746,75,15780,12.0000,6
747,75,24988,10.0000,7
748,75,9107,13.0000,8
749,75,16681,6.0000,9
750,75,17109,13.0000,10
751,76,9368,8.0000,1
752,76,1364,18.0000,2
753,76,27964,12.0000,3
754,76,5113,16.0000,4
755,76,25710,16.0000,5
756,76,22272,8.0000,6
757,76,21957,18.0000,7
758,76,10102,4.0000,8
759,76,4089,6.0000,9
760,76,10291,11.0000,10
761,77,8389,2.0000,1
762,77,12914,3.0000,2
763,77,29662,14.0000,3
764,77,9987,14.0000,4
765,77,10797,1.0000,5
766,77,27572,1.0000,6
767,77,22836,17.0000,7
768,77,17409,14.0000,8
769,77,5362,18.0000,9
770,77,8628,8.0000,10
771,78,1946,14.0000,1
772,78,20855,2.0000,2
773,78,5918,5.0000,3
774,78,23248,16.0000,4
775,78,16667,9.0000,5
776,78,24618,3.0000,6
777,78,20204,20.0000,7
778,78,7715,11.0000,8
779,78,21467,9.0000,9
780,78,4523,1.0000,10
781,79,6302,20.0000,1
782,79,19807,8.0000,2
783,79,608,3.0000,3
784,79,29627,1.0000,4
785,79,2615,5.0000,5
786,79,4070,3.0000,6
787,79,2012,15.0000,7
788,79,23881,7.0000,8
789,79,5977,2.0000,9
790,79,12162,11.0000,10
791,80,15801,11.0000,1
792,80,2248,1.0000,2
793,80,10025,9.0000,3
794,80,19534,3.0000,4
795,80,10735,8.0000,5
796,80,19334,12.0000,6
797,80,3912,4.0000,7
798,80,2691,10.0000,8
799,80,16221,20.0000,9
800,80,4450,20.0000,10
801,81,18906,11.0000,1
802,81,21002,14.0000,2
803,81,22887,5.0000,3
804,81,29925,3.0000,4
805,81,9866,1.0000,5
806,81,22636,16.0000,6
807,81,3158,14.0000,7
808,81,12751,8.0000,8
809,81,10140,9.0000,9
810,81,22637,16.0000,10
811,82,14779,4.0000,1
812,82,12192,12.0000,2
813,82,1360,15.0000,3
814,82,28243,19.0000,4
815,82,12811,17.0000,5
816,82,5498,11.0000,6
817,82,11248,20.0000,7
818,82,17923,18.0000,8
819,82,16524,19.0000,9
820,82,9413,17.0000,10
821,83,26966,9.0000,1
822,83,20760,11.0000,2
823,83,8329,4.0000,3
824,83,1899,2.0000,4
825,83,14322,15.0000,5
826,83,16889,9.0000,6
827,83,24444,15.0000,7
828,83,17836,10.0000,8
829,83,28471,16.0000,9
830,83,19783,4.0000,10
831,84,27333,6.0000,1
832,84,22859,20.0000,2
833,84,15613,19.0000,3
834,84,15873,11.0000,4
835,84,15618,12.0000,5
836,84,24559,8.0000,6
837,84,3070,10.0000,7
838,84,21972,10.0000,8
839,84,4505,19.0000,9
840,84,2639,1.0000,10
841,85,28639,2.0000,1
842,85,27421,18.0000,2
843,85,17946,20.0000,3
844,85,21774,12.0000,4
845,85,5409,19.0000,5
846,85,9613,8.0000,6
847,85,27372,2.0000,7
848,85,6725,11.0000,8
849,85,5662,11.0000,9
850,85,8097,10.0000,10
851,86,6310,3.0000,1
852,86,28001,7.0000,2
853,86,17740,9.0000,3
854,86,57,7.0000,4
855,86,4145,14.0000,5
856,86,14601,18.0000,6
857,86,26957,5.0000,7
858,86,3802,12.0000,8
859,86,19983,13.0000,9
860,86,28774,9.0000,10
861,87,17260,17.0000,1
862,87,18531,5.0000,2
863,87,3522,15.0000,3
864,87,743,7.0000,4
865,87,21441,18.0000,5
866,87,11940,17.0000,6
867,87,21089,4.0000,7
868,87,26337,4.0000,8
869,87,27406,3.0000,9
870,87,25911,12.0000,10
871,88,26808,11.0000,1
872,88,20120,5.0000,2
873,88,1840,8.0000,3
874,88,26957,12.0000,4
875,88,20118,8.0000,5
876,88,25793,5.0000,6
877,88,7229,20.0000,7
878,88,28529,5.0000,8
879,88,19783,7.0000,9
880,88,3443,14.0000,10
881,89,29977,10.0000,1
882,89,14108,12.0000,2
883,89,3890,5.0000,3
884,89,26737,14.0000,4
885,89,6341,10.0000,5
886,89,19867,19.0000,6
887,89,2044,6.0000,7
888,89,13577,10.0000,8
889,89,25735,4.0000,9
890,89,26325,2.0000,10
891,90,9927,18.0000,1
892,90,9669,18.0000,2
893,90,22979,10.0000,3
894,90,29904,8.0000,4
895,90,10284,17.0000,5
896,90,1068,11.0000,6
897,90,7564,20.0000,7
898,90,27055,10.0000,8
899,90,3164,8.0000,9
900,90,6476,17.0000,10
901,91,18141,17.0000,1
902,91,5301,12.0000,2
903,91,16087,20.0000,3
904,91,25519,17.0000,4
905,91,22706,1.0000,5
906,91,25856,3.0000,6
907,91,4356,13.0000,7
908,91,12628,13.0000,8
909,91,23611,15.0000,9
910,91,8103,12.0000,10
911,92,22095,7.0000,1
912,92,8536,9.0000,2
913,92,5936,16.0000,3
914,92,9926,9.0000,4
915,92,22829,17.0000,5
916,92,960,5.0000,6
917,92,5337,12.0000,7
918,92,18443,15.0000,8
919,92,3980,16.0000,9
920,92,18978,8.0000,10
921,93,8286,1.0000,1
922,93,13535,1.0000,2
923,93,15778,4.0000,3
924,93,18088,12.0000,4
925,93,10626,2.0000,5
926,93,13245,14.0000,6
927,93,5266,16.0000,7
928,93,28453,1.0000,8
929,93,1963,3.0000,9
930,93,21826,20.0000,10
931,94,24198,1.0000,1
932,94,25849,2.0000,2
933,94,4329,7.0000,3
934,94,21901,4.0000,4
935,94,9731,20.0000,5
936,94,4452,18.0000,6
937,94,12212,8.0000,7
938,94,5701,3.0000,8
939,94,805,1.0000,9
940,94,4834,18.0000,10
941,95,1456,18.0000,1
942,95,27252,11.0000,2
943,95,5936,2.0000,3
944,95,5075,12.0000,4
945,95,11723,11.0000,5
946,95,21254,18.0000,6
947,95,918,10.0000,7
948,95,4471,10.0000,8
949,95,8562,7.0000,9
950,95,19411,20.0000,10
951,96,20225,14.0000,1
952,96,29530,5.0000,2
953,96,14820,18.0000,3
954,96,12848,13.0000,4
955,96,6622,5.0000,5
956,96,15695,14.0000,6
957,96,7508,13.0000,7
958,96,22361,6.0000,8
959,96,19420,14.0000,9
960,96,25391,6.0000,10
961,97,22624,13.0000,1
962,97,3889,20.0000,2
963,97,5084,4.0000,3
964,97,27476,17.0000,4
965,97,343,8.0000,5
966,97,5577,10.0000,6
967,97,4333,3.0000,7
968,97,23748,12.0000,8
969,97,4066,7.0000,9
970,97,5146,16.0000,10
971,98,4945,8.0000,1
972,98,3838,17.0000,2
973,98,11987,14.0000,3
974,98,3961,19.0000,4
975,98,21113,8.0000,5
976,98,26259,1.0000,6
977,98,6844,7.0000,7
978,98,5399,13.0000,8
979,98,6703,18.0000,9
980,98,25544,20.0000,10
981,99,19080,15.0000,1
982,99,9305,10.0000,2
983,99,781,7.0000,3
984,99,7800,12.0000,4
985,99,19211,8.0000,5
986,99,16852,11.0000,6
987,99,6011,8.0000,7
988,99,14657,9.0000,8
989,99,234,1.0000,9
990,99,4342,4.0000,10
991,100,8334,17.0000,1
992,100,21279,16.0000,2
993,100,3361,15.0000,3
994,100,26260,1.0000,4
995,100,2,1.0000,5
996,100,11869,8.0000,6
