PART_ID,PART_NUMBER,PART_NAME,COMMODITY_ID,SUB_COMMODITY_ID,UOM_CODE,UNIT_COST_USD,WEIGHT_KG,LIFECYCLE_STATUS,IS_SYNTHETIC
48,P-000048,MCU-00048,7,21,EA,268.03,7.329,ACTIVE,True
49,P-000049,DRAM-00049,1,2,EA,335.46,4.954,OBSOLETE,True
50,P-000050,OpAmp-00050,6,17,EA,313.55,8.396,ACTIVE,True
51,P-000051,Resistor-00051,7,20,EA,375.79,8.069,ACTIVE,True
52,P-000052,Capacitor-00052,2,6,EA,255.33,4.700,ACTIVE,True
53,P-000053,Inductor-00053,1,2,EA,25.10,8.343,ACTIVE,True
54,P-000054,Connector-00054,11,33,EA,89.25,5.786,ACTIVE,True
55,P-000055,PCB-00055,11,31,EA,148.48,3.473,ACTIVE,True
56,P-000056,Enclosure-00056,3,9,EA,245.55,4.247,ACTIVE,True
57,P-000057,Heatsink-00057,5,15,EA,326.49,8.761,ACTIVE,True
58,P-000058,LED-00058,4,12,EA,243.76,2.445,ACTIVE,True
59,P-000059,Converter-00059,4,12,EA,357.67,9.760,ACTIVE,True
60,P-000060,TempSensor-00060,10,28,EA,230.82,4.980,ACTIVE,True
61,P-000061,Cable-00061,9,27,EA,31.47,3.434,ACTIVE,True
62,P-000062,Aluminum-00062,7,20,EA,81.51,9.365,ACTIVE,True
63,P-000063,SolderPaste-00063,7,20,EA,364.72,6.108,ACTIVE,True
64,P-000064,MCU-00064,3,7,EA,207.19,4.185,ACTIVE,True
65,P-000065,DRAM-00065,3,9,EA,217.65,0.035,ACTIVE,True
66,P-000066,OpAmp-00066,10,29,EA,450.40,0.725,ACTIVE,True
67,P-000067,Resistor-00067,12,36,EA,404.48,6.496,ACTIVE,True
68,P-000068,Capacitor-00068,9,27,EA,356.64,5.910,ACTIVE,True
69,P-000069,Inductor-00069,7,20,EA,178.67,8.039,ACTIVE,True
70,P-000070,Connector-00070,1,2,EA,53.26,9.556,ACTIVE,True
71,P-000071,PCB-00071,4,10,EA,423.79,5.230,ACTIVE,True
72,P-000072,Enclosure-00072,11,31,EA,364.85,4.909,ACTIVE,True
73,P-000073,Heatsink-00073,12,34,EA,53.59,8.403,ACTIVE,True
74,P-000074,LED-00074,9,26,EA,460.59,3.252,ACTIVE,True
75,P-000075,Converter-00075,3,9,EA,241.35,4.119,ACTIVE,True
76,P-000076,TempSensor-00076,6,17,EA,209.39,9.385,ACTIVE,True
77,P-000077,Cable-00077,7,20,EA,228.91,3.010,ACTIVE,True
78,P-000078,Aluminum-00078,1,3,EA,181.96,5.105,ACTIVE,True
79,P-000079,SolderPaste-00079,8,24,EA,61.30,0.257,ACTIVE,True
80,P-000080,MCU-00080,8,24,EA,48.45,8.098,ACTIVE,True
81,P-000081,DRAM-00081,1,3,EA,182.01,6.543,ACTIVE,True
82,P-000082,OpAmp-00082,5,13,EA,316.96,3.620,ACTIVE,True
83,P-000083,Resistor-00083,3,9,EA,291.01,6.179,ACTIVE,True
84,P-000084,Capacitor-00084,9,26,EA,272.51,7.819,ACTIVE,True
85,P-000085,Inductor-00085,11,33,EA,132.70,9.128,ACTIVE,True
86,P-000086,Connector-00086,9,26,EA,149.93,5.035,ACTIVE,True
87,P-000087,PCB-00087,3,8,EA,347.85,6.416,ACTIVE,True
88,P-000088,Enclosure-00088,2,6,EA,486.14,3.702,ACTIVE,True
89,P-000089,Heatsink-00089,4,12,EA,255.57,4.728,ACTIVE,True
90,P-000090,LED-00090,1,3,EA,244.22,7.733,OBSOLETE,True
91,P-000091,Converter-00091,11,33,EA,484.65,7.165,ACTIVE,True
92,P-000092,TempSensor-00092,10,30,EA,291.21,1.426,ACTIVE,True
93,P-000093,Cable-00093,2,4,EA,373.81,2.774,ACTIVE,True
94,P-000094,Aluminum-00094,5,14,EA,424.37,0.723,ACTIVE,True
95,P-000095,SolderPaste-00095,7,20,EA,458.35,0.757,ACTIVE,True
96,P-000096,MCU-00096,8,22,EA,265.68,4.144,ACTIVE,True
97,P-000097,DRAM-00097,12,35,EA,34.29,6.606,ACTIVE,True
98,P-000098,OpAmp-00098,3,8,EA,449.89,0.648,ACTIVE,True
99,P-000099,Resistor-00099,11,33,EA,332.84,9.110,ACTIVE,True
100,P-000100,Capacitor-00100,2,4,EA,337.81,3.489,ACTIVE,True
101,P-000101,Inductor-00101,9,25,EA,121.98,8.939,ACTIVE,True
102,P-000102,Connector-00102,11,32,EA,245.85,4.869,OBSOLETE,True
103,P-000103,PCB-00103,7,19,EA,160.01,2.271,ACTIVE,True
104,P-000104,Enclosure-00104,3,7,EA,39.79,4.786,ACTIVE,True
105,P-000105,Heatsink-00105,2,4,EA,6.59,9.026,ACTIVE,True
106,P-000106,LED-00106,11,33,EA,283.21,5.709,ACTIVE,True
107,P-000107,Converter-00107,12,36,EA,425.21,5.530,ACTIVE,True
108,P-000108,TempSensor-00108,5,14,EA,120.14,5.182,ACTIVE,True
109,P-000109,Cable-00109,6,18,EA,394.49,3.647,ACTIVE,True
110,P-000110,Aluminum-00110,7,20,EA,209.07,4.805,ACTIVE,True
111,P-000111,SolderPaste-00111,9,26,EA,433.95,9.987,ACTIVE,True
112,P-000112,MCU-00112,4,10,EA,230.46,8.124,ACTIVE,True
113,P-000113,DRAM-00113,5,13,EA,238.49,3.191,ACTIVE,True
114,P-000114,OpAmp-00114,10,28,EA,314.01,8.479,ACTIVE,True
115,P-000115,Resistor-00115,4,10,EA,8.55,2.895,ACTIVE,True
116,P-000116,Capacitor-00116,12,35,EA,497.94,8.884,ACTIVE,True
117,P-000117,Inductor-00117,5,13,EA,0.77,8.069,ACTIVE,True
118,P-000118,Connector-00118,2,5,EA,259.89,9.121,ACTIVE,True
119,P-000119,PCB-00119,6,17,EA,208.76,0.401,ACTIVE,True
120,P-000120,Enclosure-00120,3,9,EA,56.15,0.485,ACTIVE,True
121,P-000121,Heatsink-00121,12,34,EA,87.40,8.533,ACTIVE,True
122,P-000122,LED-00122,12,36,EA,272.17,2.683,ACTIVE,True
123,P-000123,Converter-00123,2,4,EA,381.82,0.653,ACTIVE,True
124,P-000124,TempSensor-00124,7,19,EA,444.84,1.676,EOL,True
125,P-000125,Cable-00125,8,22,EA,463.86,7.148,ACTIVE,True
126,P-000126,Aluminum-00126,7,21,EA,146.25,6.112,ACTIVE,True
127,P-000127,SolderPaste-00127,2,6,EA,322.42,3.274,ACTIVE,True
128,P-000128,MCU-00128,2,6,EA,417.12,2.420,ACTIVE,True
129,P-000129,DRAM-00129,3,7,EA,457.31,9.960,ACTIVE,True
130,P-000130,OpAmp-00130,12,34,EA,433.77,5.131,ACTIVE,True
131,P-000131,Resistor-00131,4,10,EA,320.81,2.554,ACTIVE,True
132,P-000132,Capacitor-00132,1,2,EA,269.79,6.235,ACTIVE,True
133,P-000133,Inductor-00133,6,17,EA,231.40,4.581,ACTIVE,True
134,P-000134,Connector-00134,8,24,EA,264.83,1.830,ACTIVE,True
135,P-000135,PCB-00135,12,34,EA,39.98,4.646,ACTIVE,True
136,P-000136,Enclosure-00136,9,26,EA,414.81,9.721,ACTIVE,True
137,P-000137,Heatsink-00137,11,32,EA,390.90,8.721,ACTIVE,True
138,P-000138,LED-00138,1,1,EA,224.84,2.567,ACTIVE,True
139,P-000139,Converter-00139,4,12,EA,322.60,1.042,ACTIVE,True
140,P-000140,TempSensor-00140,11,31,EA,403.13,1.563,ACTIVE,True
141,P-000141,Cable-00141,2,5,EA,219.97,6.546,ACTIVE,True
142,P-000142,Aluminum-00142,10,30,EA,304.96,7.922,ACTIVE,True
143,P-000143,SolderPaste-00143,8,24,EA,351.43,7.538,ACTIVE,True
144,P-000144,MCU-00144,2,6,EA,336.75,8.217,ACTIVE,True
145,P-000145,DRAM-00145,2,6,EA,474.58,5.459,ACTIVE,True
146,P-000146,OpAmp-00146,11,33,EA,408.69,6.721,ACTIVE,True
147,P-000147,Resistor-00147,11,31,EA,342.81,3.176,ACTIVE,True
148,P-000148,Capacitor-00148,11,32,EA,130.75,8.695,ACTIVE,True
149,P-000149,Inductor-00149,3,8,EA,33.99,8.854,ACTIVE,True
150,P-000150,Connector-00150,7,19,EA,165.31,3.520,ACTIVE,True
151,P-000151,PCB-00151,2,4,EA,381.31,0.229,ACTIVE,True
152,P-000152,Enclosure-00152,9,27,EA,350.34,7.264,ACTIVE,True
153,P-000153,Heatsink-00153,8,24,EA,46.26,3.212,ACTIVE,True
154,P-000154,LED-00154,3,8,EA,197.34,0.089,ACTIVE,True
155,P-000155,Converter-00155,12,36,EA,36.18,9.916,ACTIVE,True
156,P-000156,TempSensor-00156,7,20,EA,167.19,8.174,ACTIVE,True
157,P-000157,Cable-00157,4,11,EA,371.20,5.864,ACTIVE,True
158,P-000158,Aluminum-00158,7,21,EA,499.63,3.727,OBSOLETE,True
159,P-000159,SolderPaste-00159,3,7,EA,37.97,7.053,ACTIVE,True
160,P-000160,MCU-00160,1,3,EA,0.97,4.301,ACTIVE,True
161,P-000161,DRAM-00161,1,3,EA,485.08,0.516,ACTIVE,True
162,P-000162,OpAmp-00162,1,1,EA,430.74,4.726,ACTIVE,True
163,P-000163,Resistor-00163,10,29,EA,476.69,7.209,ACTIVE,True
164,P-000164,Capacitor-00164,3,7,EA,401.09,6.087,ACTIVE,True
165,P-000165,Inductor-00165,6,16,EA,37.71,4.512,ACTIVE,True
166,P-000166,Connector-00166,9,27,EA,67.25,3.685,ACTIVE,True
167,P-000167,PCB-00167,9,26,EA,472.50,5.394,ACTIVE,True
168,P-000168,Enclosure-00168,8,24,EA,10.65,9.585,ACTIVE,True
169,P-000169,Heatsink-00169,6,17,EA,112.57,9.187,ACTIVE,True
170,P-000170,LED-00170,8,22,EA,288.47,6.040,ACTIVE,True
171,P-000171,Converter-00171,11,31,EA,360.80,3.676,ACTIVE,True
172,P-000172,TempSensor-00172,7,21,EA,79.30,1.615,ACTIVE,True
173,P-000173,Cable-00173,5,13,EA,329.55,0.732,ACTIVE,True
174,P-000174,Aluminum-00174,10,28,EA,296.59,6.587,ACTIVE,True
175,P-000175,SolderPaste-00175,6,17,EA,238.56,9.905,ACTIVE,True
176,P-000176,MCU-00176,9,27,EA,302.63,1.709,ACTIVE,True
177,P-000177,DRAM-00177,12,35,EA,227.10,9.465,ACTIVE,True
178,P-000178,OpAmp-00178,1,3,EA,53.39,0.249,ACTIVE,True
179,P-000179,Resistor-00179,8,23,EA,66.37,2.986,ACTIVE,True
180,P-000180,Capacitor-00180,8,22,EA,88.80,3.589,ACTIVE,True
181,P-000181,Inductor-00181,6,17,EA,62.71,3.868,ACTIVE,True
182,P-000182,Connector-00182,7,20,EA,275.20,5.491,ACTIVE,True
183,P-000183,PCB-00183,12,34,EA,88.65,2.129,ACTIVE,True
184,P-000184,Enclosure-00184,4,10,EA,383.40,0.501,ACTIVE,True
185,P-000185,Heatsink-00185,2,4,EA,184.01,4.735,ACTIVE,True
186,P-000186,LED-00186,10,28,EA,68.51,7.352,ACTIVE,True
187,P-000187,Converter-00187,10,29,EA,57.03,3.944,ACTIVE,True
188,P-000188,TempSensor-00188,4,10,EA,323.42,1.387,ACTIVE,True
189,P-000189,Cable-00189,8,22,EA,436.54,3.540,ACTIVE,True
190,P-000190,Aluminum-00190,9,25,EA,434.23,2.782,ACTIVE,True
191,P-000191,SolderPaste-00191,3,9,EA,476.15,8.941,ACTIVE,True
192,P-000192,MCU-00192,7,19,EA,149.84,8.296,ACTIVE,True
193,P-000193,DRAM-00193,3,7,EA,351.33,5.629,ACTIVE,True
194,P-000194,OpAmp-00194,1,3,EA,436.29,9.267,ACTIVE,True
195,P-000195,Resistor-00195,9,26,EA,226.83,8.171,ACTIVE,True
196,P-000196,Capacitor-00196,7,21,EA,293.46,1.015,ACTIVE,True
197,P-000197,Inductor-00197,7,21,EA,457.92,5.789,EOL,True
198,P-000198,Connector-00198,2,4,EA,449.68,0.893,ACTIVE,True
199,P-000199,PCB-00199,10,30,EA,299.94,7.525,ACTIVE,True
200,P-000200,Enclosure-00200,6,16,EA,281.77,0.461,ACTIVE,True
201,P-000201,Heatsink-00201,2,6,EA,116.70,1.026,ACTIVE,True
202,P-000202,LED-00202,2,5,EA,26.62,0.880,ACTIVE,True
203,P-000203,Converter-00203,1,3,EA,252.69,7.994,ACTIVE,True
204,P-000204,TempSensor-00204,5,13,EA,428.45,1.542,ACTIVE,True
205,P-000205,Cable-00205,12,34,EA,236.46,8.756,ACTIVE,True
206,P-000206,Aluminum-00206,4,12,EA,112.11,6.036,ACTIVE,True
207,P-000207,SolderPaste-00207,6,16,EA,468.77,8.748,ACTIVE,True
208,P-000208,MCU-00208,11,32,EA,383.51,2.017,ACTIVE,True
209,P-000209,DRAM-00209,7,21,EA,75.62,1.294,ACTIVE,True
210,P-000210,OpAmp-00210,8,23,EA,90.11,2.956,ACTIVE,True
211,P-000211,Resistor-00211,11,31,EA,425.46,1.459,ACTIVE,True
212,P-000212,Capacitor-00212,10,29,EA,284.70,7.554,ACTIVE,True
213,P-000213,Inductor-00213,4,10,EA,69.54,8.820,ACTIVE,True
214,P-000214,Connector-00214,3,8,EA,137.54,3.400,ACTIVE,True
215,P-000215,PCB-00215,6,18,EA,497.90,6.920,ACTIVE,True
216,P-000216,Enclosure-00216,1,2,EA,472.78,9.932,ACTIVE,True
217,P-000217,Heatsink-00217,3,7,EA,82.91,0.769,ACTIVE,True
218,P-000218,LED-00218,3,7,EA,127.09,4.420,ACTIVE,True
219,P-000219,Converter-00219,11,31,EA,156.72,3.930,ACTIVE,True
220,P-000220,TempSensor-00220,12,35,EA,453.09,1.999,ACTIVE,True
221,P-000221,Cable-00221,12,36,EA,377.68,1.951,ACTIVE,True
222,P-000222,Aluminum-00222,9,26,EA,42.53,7.935,ACTIVE,True
223,P-000223,SolderPaste-00223,4,11,EA,309.78,4.394,ACTIVE,True
224,P-000224,MCU-00224,4,10,EA,236.86,2.489,NRND,True
225,P-000225,DRAM-00225,10,28,EA,13.23,5.391,ACTIVE,True
226,P-000226,OpAmp-00226,5,14,EA,404.24,1.018,ACTIVE,True
227,P-000227,Resistor-00227,4,11,EA,28.82,1.371,ACTIVE,True
228,P-000228,Capacitor-00228,5,14,EA,63.35,0.376,ACTIVE,True
229,P-000229,Inductor-00229,4,11,EA,250.21,0.173,ACTIVE,True
230,P-000230,Connector-00230,6,18,EA,1.44,3.768,ACTIVE,True
231,P-000231,PCB-00231,1,2,EA,451.05,3.781,ACTIVE,True
232,P-000232,Enclosure-00232,4,10,EA,316.78,6.730,ACTIVE,True
233,P-000233,Heatsink-00233,4,11,EA,390.16,2.420,ACTIVE,True
234,P-000234,LED-00234,2,6,EA,232.85,6.327,ACTIVE,True
235,P-000235,Converter-00235,3,8,EA,57.78,8.270,ACTIVE,True
236,P-000236,TempSensor-00236,10,30,EA,179.48,8.328,ACTIVE,True
237,P-000237,Cable-00237,7,20,EA,73.84,6.294,ACTIVE,True
238,P-000238,Aluminum-00238,10,29,EA,113.22,4.226,ACTIVE,True
239,P-000239,SolderPaste-00239,10,30,EA,13.91,4.246,OBSOLETE,True
240,P-000240,MCU-00240,5,15,EA,400.02,0.192,ACTIVE,True
241,P-000241,DRAM-00241,8,23,EA,142.54,8.343,ACTIVE,True
242,P-000242,OpAmp-00242,1,1,EA,405.76,5.058,ACTIVE,True
243,P-000243,Resistor-00243,1,2,EA,66.82,3.297,ACTIVE,True
244,P-000244,Capacitor-00244,6,17,EA,49.60,3.463,ACTIVE,True
245,P-000245,Inductor-00245,11,32,EA,423.09,0.095,ACTIVE,True
246,P-000246,Connector-00246,4,10,EA,94.54,5.146,ACTIVE,True
247,P-000247,PCB-00247,10,28,EA,293.43,6.376,ACTIVE,True
248,P-000248,Enclosure-00248,2,5,EA,217.26,5.363,ACTIVE,True
249,P-000249,Heatsink-00249,11,32,EA,487.60,0.604,ACTIVE,True
250,P-000250,LED-00250,8,22,EA,465.46,3.913,ACTIVE,True
251,P-000251,Converter-00251,4,12,EA,401.06,0.677,ACTIVE,True
252,P-000252,TempSensor-00252,8,23,EA,9.86,9.715,ACTIVE,True
253,P-000253,Cable-00253,3,7,EA,297.39,4.130,ACTIVE,True
254,P-000254,Aluminum-00254,7,21,EA,103.01,7.665,ACTIVE,True
255,P-000255,SolderPaste-00255,1,1,EA,11.43,6.881,ACTIVE,True
256,P-000256,MCU-00256,7,20,EA,84.23,5.657,ACTIVE,True
257,P-000257,DRAM-00257,4,10,EA,418.58,8.056,ACTIVE,True
258,P-000258,OpAmp-00258,3,7,EA,54.15,1.337,ACTIVE,True
259,P-000259,Resistor-00259,8,23,EA,182.05,7.125,ACTIVE,True
260,P-000260,Capacitor-00260,3,8,EA,325.21,5.150,ACTIVE,True
261,P-000261,Inductor-00261,8,24,EA,401.48,4.622,ACTIVE,True
262,P-000262,Connector-00262,7,21,EA,78.08,3.650,ACTIVE,True
263,P-000263,PCB-00263,10,29,EA,402.47,4.969,ACTIVE,True
264,P-000264,Enclosure-00264,10,29,EA,261.78,7.265,ACTIVE,True
265,P-000265,Heatsink-00265,2,4,EA,383.92,6.536,ACTIVE,True
266,P-000266,LED-00266,6,17,EA,123.30,7.871,ACTIVE,True
267,P-000267,Converter-00267,7,19,EA,223.97,4.869,ACTIVE,True
268,P-000268,TempSensor-00268,3,8,EA,109.35,0.379,ACTIVE,True
269,P-000269,Cable-00269,12,36,EA,309.74,0.913,ACTIVE,True
270,P-000270,Aluminum-00270,3,9,EA,474.69,7.678,ACTIVE,True
271,P-000271,SolderPaste-00271,11,31,EA,34.43,0.320,ACTIVE,True
272,P-000272,MCU-00272,9,26,EA,298.22,0.707,ACTIVE,True
273,P-000273,DRAM-00273,5,15,EA,30.68,0.796,ACTIVE,True
274,P-000274,OpAmp-00274,4,12,EA,475.73,6.433,ACTIVE,True
275,P-000275,Resistor-00275,5,14,EA,336.58,3.184,ACTIVE,True
276,P-000276,Capacitor-00276,3,8,EA,392.40,8.956,ACTIVE,True
277,P-000277,Inductor-00277,3,8,EA,204.76,4.782,ACTIVE,True
278,P-000278,Connector-00278,8,24,EA,59.12,8.074,ACTIVE,True
279,P-000279,PCB-00279,8,23,EA,22.65,5.608,ACTIVE,True
280,P-000280,Enclosure-00280,12,34,EA,157.98,0.830,ACTIVE,True
281,P-000281,Heatsink-00281,10,30,EA,224.94,5.759,ACTIVE,True
282,P-000282,LED-00282,4,11,EA,153.87,7.084,ACTIVE,True
283,P-000283,Converter-00283,3,7,EA,67.34,5.912,ACTIVE,True
284,P-000284,TempSensor-00284,4,12,EA,326.90,6.579,ACTIVE,True
285,P-000285,Cable-00285,2,5,EA,233.05,4.887,ACTIVE,True
286,P-000286,Aluminum-00286,6,18,EA,409.66,9.527,ACTIVE,True
287,P-000287,SolderPaste-00287,3,8,EA,164.81,7.907,ACTIVE,True
288,P-000288,MCU-00288,12,36,EA,122.04,5.677,ACTIVE,True
289,P-000289,DRAM-00289,11,33,EA,180.81,2.287,ACTIVE,True
290,P-000290,OpAmp-00290,4,11,EA,432.04,6.810,ACTIVE,True
291,P-000291,Resistor-00291,10,28,EA,60.27,1.875,ACTIVE,True
292,P-000292,Capacitor-00292,1,1,EA,403.53,4.194,ACTIVE,True
293,P-000293,Inductor-00293,4,10,EA,17.73,5.283,ACTIVE,True
294,P-000294,Connector-00294,6,16,EA,89.36,6.785,ACTIVE,True
295,P-000295,PCB-00295,12,34,EA,322.65,5.615,ACTIVE,True
296,P-000296,Enclosure-00296,2,6,EA,339.46,4.710,ACTIVE,True
297,P-000297,Heatsink-00297,5,14,EA,117.97,4.370,OBSOLETE,True
298,P-000298,LED-00298,11,31,EA,341.27,0.163,ACTIVE,True
299,P-000299,Converter-00299,7,19,EA,276.56,8.735,ACTIVE,True
300,P-000300,TempSensor-00300,10,28,EA,204.87,8.381,ACTIVE,True
301,P-000301,Cable-00301,11,32,EA,65.55,5.048,ACTIVE,True
302,P-000302,Aluminum-00302,7,21,EA,446.66,1.528,ACTIVE,True
303,P-000303,SolderPaste-00303,12,36,EA,90.76,4.290,ACTIVE,True
304,P-000304,MCU-00304,12,36,EA,168.04,8.975,ACTIVE,True
305,P-000305,DRAM-00305,11,31,EA,116.33,9.374,ACTIVE,True
306,P-000306,OpAmp-00306,10,28,EA,336.47,7.385,ACTIVE,True
307,P-000307,Resistor-00307,8,23,EA,169.05,6.575,ACTIVE,True
308,P-000308,Capacitor-00308,2,6,EA,389.65,4.881,OBSOLETE,True
309,P-000309,Inductor-00309,11,33,EA,254.32,1.620,ACTIVE,True
310,P-000310,Connector-00310,10,28,EA,329.56,1.668,ACTIVE,True
311,P-000311,PCB-00311,8,23,EA,303.22,0.528,ACTIVE,True
312,P-000312,Enclosure-00312,1,2,EA,70.53,4.447,ACTIVE,True
313,P-000313,Heatsink-00313,2,5,EA,294.42,9.105,ACTIVE,True
314,P-000314,LED-00314,10,28,EA,68.96,3.006,ACTIVE,True
315,P-000315,Converter-00315,11,32,EA,351.96,7.106,ACTIVE,True
316,P-000316,TempSensor-00316,7,19,EA,318.54,7.748,ACTIVE,True
317,P-000317,Cable-00317,8,23,EA,399.26,4.048,ACTIVE,True
318,P-000318,Aluminum-00318,3,8,EA,120.56,6.692,ACTIVE,True
319,P-000319,SolderPaste-00319,6,18,EA,173.56,7.949,ACTIVE,True
320,P-000320,MCU-00320,10,28,EA,292.78,3.741,ACTIVE,True
321,P-000321,DRAM-00321,12,34,EA,184.80,0.663,ACTIVE,True
322,P-000322,OpAmp-00322,3,9,EA,238.76,2.986,ACTIVE,True
323,P-000323,Resistor-00323,11,32,EA,181.33,0.990,ACTIVE,True
324,P-000324,Capacitor-00324,12,36,EA,136.59,9.550,ACTIVE,True
325,P-000325,Inductor-00325,3,8,EA,119.21,1.222,ACTIVE,True
326,P-000326,Connector-00326,1,2,EA,276.15,2.474,ACTIVE,True
327,P-000327,PCB-00327,9,27,EA,86.98,7.838,ACTIVE,True
328,P-000328,Enclosure-00328,5,14,EA,150.92,2.439,ACTIVE,True
329,P-000329,Heatsink-00329,6,18,EA,339.84,9.318,ACTIVE,True
330,P-000330,LED-00330,10,28,EA,82.17,2.662,ACTIVE,True
331,P-000331,Converter-00331,12,34,EA,391.51,1.505,ACTIVE,True
332,P-000332,TempSensor-00332,6,17,EA,287.16,2.741,ACTIVE,True
333,P-000333,Cable-00333,8,24,EA,86.37,4.797,ACTIVE,True
334,P-000334,Aluminum-00334,12,34,EA,456.71,8.516,ACTIVE,True
335,P-000335,SolderPaste-00335,2,5,EA,52.54,5.411,ACTIVE,True
336,P-000336,MCU-00336,3,9,EA,454.33,1.967,ACTIVE,True
337,P-000337,DRAM-00337,8,22,EA,269.60,6.952,ACTIVE,True
338,P-000338,OpAmp-00338,11,31,EA,322.50,9.526,ACTIVE,True
339,P-000339,Resistor-00339,12,35,EA,462.63,2.598,ACTIVE,True
340,P-000340,Capacitor-00340,10,29,EA,211.08,1.158,ACTIVE,True
341,P-000341,Inductor-00341,2,6,EA,429.27,9.477,ACTIVE,True
342,P-000342,Connector-00342,1,2,EA,495.75,0.356,ACTIVE,True
343,P-000343,PCB-00343,1,1,EA,93.15,2.283,ACTIVE,True
344,P-000344,Enclosure-00344,12,35,EA,17.41,8.237,ACTIVE,True
345,P-000345,Heatsink-00345,12,35,EA,329.56,9.761,ACTIVE,True
346,P-000346,LED-00346,12,35,EA,361.01,5.886,ACTIVE,True
347,P-000347,Converter-00347,9,26,EA,454.83,0.682,ACTIVE,True
348,P-000348,TempSensor-00348,3,9,EA,369.93,8.044,ACTIVE,True
349,P-000349,Cable-00349,6,18,EA,7.85,7.716,ACTIVE,True
350,P-000350,Aluminum-00350,2,5,EA,140.92,5.844,ACTIVE,True
351,P-000351,SolderPaste-00351,4,11,EA,384.35,2.256,ACTIVE,True
352,P-000352,MCU-00352,5,14,EA,263.59,0.806,ACTIVE,True
353,P-000353,DRAM-00353,10,29,EA,215.36,0.210,ACTIVE,True
