BOM_ID,PRODUCT_ID,BOM_VERSION,EFFECTIVE_DATE,STATUS
75,75,A,2024-07-20,ACTIVE
76,76,A,2024-12-06,ACTIVE
77,77,A,2023-06-04,ACTIVE
78,78,A,2024-09-08,ACTIVE
79,79,A,2025-06-02,ACTIVE
80,80,A,2024-12-24,ACTIVE
81,81,A,2024-09-08,ACTIVE
82,82,A,2025-03-27,ACTIVE
83,83,A,2025-04-02,ACTIVE
84,84,A,2025-04-28,ACTIVE
85,85,A,2023-04-21,ACTIVE
86,86,A,2023-08-21,ACTIVE
87,87,A,2023-04-25,ACTIVE
88,88,A,2024-04-14,ACTIVE
89,89,A,2024-08-10,ACTIVE
90,90,A,2025-07-05,ACTIVE
91,91,A,2024-04-07,ACTIVE
92,92,A,2024-05-12,ACTIVE
93,93,A,2025-09-12,ACTIVE
94,94,A,2023-11-13,ACTIVE
95,95,A,2024-03-06,ACTIVE
96,96,A,2023-05-16,ACTIVE
97,97,A,2023-01-24,ACTIVE
98,98,A,2023-06-12,ACTIVE
99,99,A,2025-08-16,ACTIVE
100,100,A,2023-07-29,ACTIVE
101,101,A,2025-09-11,ACTIVE
102,102,A,2023-12-09,ACTIVE
103,103,A,2024-09-18,ACTIVE
104,104,A,2025-03-17,ACTIVE
105,105,A,2023-10-29,ACTIVE
106,106,A,2024-12-07,ACTIVE
107,107,A,2023-05-28,ACTIVE
108,108,A,2024-04-05,ACTIVE
109,109,A,2024-05-04,ACTIVE
110,110,A,2024-02-27,ACTIVE
111,111,A,2023-07-16,ACTIVE
112,112,A,2024-02-16,ACTIVE
113,113,A,2025-05-30,ACTIVE
114,114,A,2023-01-26,ACTIVE
115,115,A,2023-08-28,ACTIVE
116,116,A,2024-02-04,ACTIVE
117,117,A,2023-06-18,ACTIVE
118,118,A,2023-01-14,ACTIVE
119,119,A,2025-04-01,ACTIVE
120,120,A,2024-10-20,ACTIVE
121,121,A,2023-04-26,ACTIVE
122,122,A,2023-02-25,ACTIVE
123,123,A,2025-02-12,ACTIVE
124,124,A,2025-03-09,ACTIVE
125,125,A,2023-02-17,ACTIVE
126,126,A,2025-02-21,ACTIVE
127,127,A,2025-02-12,ACTIVE
128,128,A,2023-10-21,ACTIVE
129,129,A,2023-05-31,ACTIVE
130,130,A,2023-06-29,ACTIVE
131,131,A,2024-04-24,ACTIVE
132,132,A,2024-01-08,ACTIVE
133,133,A,2023-08-26,ACTIVE
134,134,A,2025-06-14,ACTIVE
135,135,A,2023-03-17,ACTIVE
136,136,A,2024-01-20,ACTIVE
137,137,A,2023-01-27,ACTIVE
138,138,A,2024-08-15,ACTIVE
139,139,A,2024-09-03,ACTIVE
140,140,A,2023-09-16,ACTIVE
141,141,A,2024-06-09,ACTIVE
142,142,A,2025-05-11,ACTIVE
143,143,A,2023-04-06,ACTIVE
144,144,A,2024-03-13,ACTIVE
145,145,A,2023-08-26,ACTIVE
146,146,A,2025-07-11,ACTIVE
147,147,A,2024-12-07,ACTIVE
148,148,A,2025-01-16,ACTIVE
149,149,A,2023-06-16,ACTIVE
150,150,A,2023-10-10,ACTIVE
151,151,A,2024-07-07,ACTIVE
152,152,A,2024-06-28,ACTIVE
153,153,A,2023-09-25,ACTIVE
154,154,A,2025-01-12,ACTIVE
155,155,A,2024-05-10,ACTIVE
156,156,A,2023-11-11,ACTIVE
157,157,A,2024-09-27,ACTIVE
158,158,A,2023-07-30,ACTIVE
159,159,A,2025-07-27,ACTIVE
160,160,A,2025-02-11,ACTIVE
161,161,A,2023-11-21,ACTIVE
162,162,A,2024-09-12,ACTIVE
163,163,A,2025-09-16,ACTIVE
164,164,A,2023-07-02,ACTIVE
165,165,A,2024-10-23,ACTIVE
166,166,A,2025-03-15,ACTIVE
167,167,A,2023-07-20,ACTIVE
168,168,A,2023-06-29,ACTIVE
169,169,A,2024-04-02,ACTIVE
170,170,A,2025-01-01,ACTIVE
171,171,A,2023-12-29,ACTIVE
172,172,A,2024-08-21,ACTIVE
173,173,A,2024-06-08,ACTIVE
174,174,A,2023-12-20,ACTIVE
175,175,A,2024-05-20,ACTIVE
176,176,A,2025-08-22,ACTIVE
177,177,A,2025-07-20,ACTIVE
178,178,A,2024-06-28,ACTIVE
179,179,A,2023-12-26,ACTIVE
180,180,A,2025-06-10,ACTIVE
181,181,A,2024-03-21,ACTIVE
182,182,A,2025-09-01,ACTIVE
183,183,A,2024-10-21,ACTIVE
184,184,A,2024-08-14,ACTIVE
185,185,A,2025-06-08,ACTIVE
186,186,A,2025-08-07,ACTIVE
187,187,A,2024-06-29,ACTIVE
188,188,A,2025-06-10,ACTIVE
189,189,A,2024-06-07,ACTIVE
190,190,A,2025-08-02,ACTIVE
191,191,A,2024-03-14,ACTIVE
192,192,A,2023-12-25,ACTIVE
193,193,A,2025-03-21,ACTIVE
194,194,A,2024-12-01,ACTIVE
195,195,A,2024-03-08,ACTIVE
196,196,A,2025-02-17,ACTIVE
197,197,A,2025-03-09,ACTIVE
198,198,A,2023-02-07,ACTIVE
199,199,A,2023-10-17,ACTIVE
200,200,A,2024-08-24,ACTIVE
201,201,A,2024-07-23,ACTIVE
202,202,A,2024-12-22,ACTIVE
203,203,A,2024-03-16,ACTIVE
204,204,A,2024-06-20,ACTIVE
205,205,A,2024-10-21,ACTIVE
206,206,A,2024-01-07,ACTIVE
207,207,A,2025-03-28,ACTIVE
208,208,A,2025-03-29,ACTIVE
209,209,A,2025-05-08,ACTIVE
210,210,A,2023-12-02,ACTIVE
211,211,A,2024-11-01,ACTIVE
212,212,A,2024-01-13,ACTIVE
213,213,A,2024-02-12,ACTIVE
214,214,A,2024-03-22,ACTIVE
215,215,A,2024-08-16,ACTIVE
216,216,A,2023-01-13,ACTIVE
217,217,A,2024-02-03,ACTIVE
218,218,A,2024-03-10,ACTIVE
219,219,A,2023-12-05,ACTIVE
220,220,A,2023-08-16,ACTIVE
221,221,A,2024-09-27,ACTIVE
222,222,A,2023-10-08,ACTIVE
223,223,A,2025-07-24,ACTIVE
224,224,A,2023-12-18,ACTIVE
225,225,A,2023-06-03,ACTIVE
226,226,A,2025-09-03,ACTIVE
227,227,A,2024-09-11,ACTIVE
228,228,A,2024-09-20,ACTIVE
229,229,A,2024-07-05,ACTIVE
230,230,A,2023-07-17,ACTIVE
231,231,A,2025-07-17,ACTIVE
232,232,A,2023-04-30,ACTIVE
233,233,A,2023-09-05,ACTIVE
234,234,A,2024-09-21,ACTIVE
235,235,A,2024-04-11,ACTIVE
236,236,A,2025-06-28,ACTIVE
237,237,A,2023-03-08,ACTIVE
238,238,A,2023-06-15,ACTIVE
239,239,A,2024-04-22,ACTIVE
240,240,A,2024-02-13,ACTIVE
241,241,A,2024-12-16,ACTIVE
242,242,A,2024-12-01,ACTIVE
243,243,A,2025-06-03,ACTIVE
244,244,A,2023-09-23,ACTIVE
245,245,A,2025-05-08,ACTIVE
246,246,A,2025-09-02,ACTIVE
247,247,A,2025-03-20,ACTIVE
248,248,A,2024-12-14,ACTIVE
249,249,A,2023-10-06,ACTIVE
250,250,A,2025-01-29,ACTIVE
251,251,A,2024-06-11,ACTIVE
252,252,A,2025-06-18,ACTIVE
253,253,A,2025-02-05,ACTIVE
254,254,A,2023-04-05,ACTIVE
255,255,A,2023-04-11,ACTIVE
256,256,A,2024-07-20,ACTIVE
257,257,A,2025-08-01,ACTIVE
258,258,A,2023-09-24,ACTIVE
259,259,A,2025-06-14,ACTIVE
260,260,A,2024-12-15,ACTIVE
261,261,A,2023-05-12,ACTIVE
262,262,A,2023-06-20,ACTIVE
263,263,A,2025-07-14,ACTIVE
264,264,A,2025-01-23,ACTIVE
265,265,A,2023-10-01,ACTIVE
266,266,A,2023-06-23,ACTIVE
267,267,A,2023-06-28,ACTIVE
268,268,A,2023-08-15,ACTIVE
269,269,A,2025-08-05,ACTIVE
270,270,A,2025-04-02,ACTIVE
271,271,A,2024-01-14,ACTIVE
272,272,A,2024-07-06,ACTIVE
273,273,A,2025-03-19,ACTIVE
274,274,A,2023-11-12,ACTIVE
275,275,A,2025-05-10,ACTIVE
276,276,A,2024-07-04,ACTIVE
277,277,A,2024-07-12,ACTIVE
278,278,A,2024-03-15,ACTIVE
279,279,A,2023-02-25,ACTIVE
280,280,A,2024-07-13,ACTIVE
281,281,A,2025-07-06,ACTIVE
282,282,A,2025-03-06,ACTIVE
283,283,A,2023-02-08,ACTIVE
284,284,A,2023-12-22,ACTIVE
285,285,A,2025-08-23,ACTIVE
286,286,A,2023-03-03,ACTIVE
287,287,A,2023-09-12,ACTIVE
288,288,A,2023-03-21,ACTIVE
289,289,A,2025-06-25,ACTIVE
290,290,A,2025-08-29,ACTIVE
291,291,A,2023-12-28,ACTIVE
292,292,A,2024-08-03,ACTIVE
293,293,A,2024-02-16,ACTIVE
294,294,A,2025-03-16,ACTIVE
295,295,A,2023-03-01,ACTIVE
296,296,A,2025-02-04,ACTIVE
297,297,A,2024-09-24,ACTIVE
298,298,A,2023-08-31,ACTIVE
299,299,A,2025-04-14,ACTIVE
300,300,A,2024-09-09,ACTIVE
301,301,A,2024-04-27,ACTIVE
302,302,A,2023-09-04,ACTIVE
303,303,A,2023-02-25,ACTIVE
304,304,A,2025-09-10,ACTIVE
305,305,A,2023-10-30,ACTIVE
306,306,A,2025-04-17,ACTIVE
307,307,A,2024-03-23,ACTIVE
308,308,A,2023-06-03,ACTIVE
309,309,A,2024-11-09,ACTIVE
310,310,A,2024-05-08,ACTIVE
311,311,A,2024-04-24,ACTIVE
312,312,A,2025-05-06,ACTIVE
313,313,A,2025-05-15,ACTIVE
314,314,A,2024-11-28,ACTIVE
315,315,A,2024-05-09,ACTIVE
316,316,A,2024-04-27,ACTIVE
317,317,A,2023-10-19,ACTIVE
318,318,A,2025-03-01,ACTIVE
319,319,A,2023-05-14,ACTIVE
320,320,A,2025-02-20,ACTIVE
321,321,A,2024-05-22,ACTIVE
322,322,A,2023-06-08,ACTIVE
323,323,A,2023-06-20,ACTIVE
324,324,A,2023-04-18,ACTIVE
325,325,A,2023-05-07,ACTIVE
326,326,A,2023-08-13,ACTIVE
327,327,A,2025-06-11,ACTIVE
328,328,A,2023-11-05,ACTIVE
329,329,A,2025-04-17,ACTIVE
330,330,A,2023-10-29,ACTIVE
331,331,A,2025-06-06,ACTIVE
332,332,A,2024-08-08,ACTIVE
333,333,A,2024-02-08,ACTIVE
334,334,A,2025-08-09,ACTIVE
335,335,A,2023-01-26,ACTIVE
336,336,A,2023-02-28,ACTIVE
337,337,A,2025-08-29,ACTIVE
338,338,A,2024-05-01,ACTIVE
339,339,A,2024-08-22,ACTIVE
340,340,A,2025-08-27,ACTIVE
341,341,A,2023-05-06,ACTIVE
342,342,A,2023-06-14,ACTIVE
343,343,A,2024-09-16,ACTIVE
344,344,A,2024-11-10,ACTIVE
345,345,A,2023-01-04,ACTIVE
346,346,A,2023-01-28,ACTIVE
347,347,A,2023-04-27,ACTIVE
348,348,A,2024-09-22,ACTIVE
349,349,A,2023-12-04,ACTIVE
350,350,A,2023-05-06,ACTIVE
351,351,A,2024-02-28,ACTIVE
352,352,A,2023-03-14,ACTIVE
353,353,A,2024-11-16,ACTIVE
354,354,A,2024-02-16,ACTIVE
355,355,A,2024-07-31,ACTIVE
356,356,A,2024-09-09,ACTIVE
357,357,A,2023-08-20,ACTIVE
358,358,A,2024-05-31,ACTIVE
359,359,A,2025-07-31,ACTIVE
360,360,A,2025-06-13,ACTIVE
361,361,A,2023-08-16,ACTIVE
362,362,A,2024-09-27,ACTIVE
363,363,A,2023-01-24,ACTIVE
364,364,A,2023-08-30,ACTIVE
365,365,A,2024-12-11,ACTIVE
366,366,A,2023-09-12,ACTIVE
367,367,A,2024-01-07,ACTIVE
368,368,A,2024-06-10,ACTIVE
369,369,A,2023-07-27,ACTIVE
370,370,A,2025-08-11,ACTIVE
371,371,A,2023-10-10,ACTIVE
372,372,A,2023-11-28,ACTIVE
373,373,A,2023-07-07,ACTIVE
374,374,A,2025-05-13,ACTIVE
375,375,A,2025-06-12,ACTIVE
376,376,A,2024-11-05,ACTIVE
377,377,A,2025-06-24,ACTIVE
378,378,A,2023-07-27,ACTIVE
379,379,A,2024-11-07,ACTIVE
380,380,A,2024-08-11,ACTIVE
381,381,A,2024-10-06,ACTIVE
382,382,A,2024-06-04,ACTIVE
383,383,A,2024-04-07,ACTIVE
384,384,A,2023-04-05,ACTIVE
385,385,A,2023-02-05,ACTIVE
386,386,A,2024-06-07,ACTIVE
387,387,A,2024-09-12,ACTIVE
388,388,A,2023-06-27,ACTIVE
389,389,A,2024-01-14,ACTIVE
390,390,A,2024-04-04,ACTIVE
391,391,A,2025-09-21,ACTIVE
392,392,A,2024-02-08,ACTIVE
393,393,A,2023-07-25,ACTIVE
394,394,A,2025-02-22,ACTIVE
395,395,A,2023-01-10,ACTIVE
396,396,A,2025-08-28,ACTIVE
397,397,A,2023-01-18,ACTIVE
398,398,A,2023-06-05,ACTIVE
399,399,A,2025-01-02,ACTIVE
400,400,A,2023-05-24,ACTIVE
401,401,A,2025-01-16,ACTIVE
402,402,A,2025-01-26,ACTIVE
403,403,A,2024-06-25,ACTIVE
404,404,A,2024-03-25,ACTIVE
405,405,A,2024-03-10,ACTIVE
406,406,A,2024-07-04,ACTIVE
407,407,A,2023-09-27,ACTIVE
408,408,A,2024-04-21,ACTIVE
409,409,A,2023-02-06,ACTIVE
410,410,A,2024-05-01,ACTIVE
411,411,A,2024-10-31,ACTIVE
412,412,A,2023-09-10,ACTIVE
413,413,A,2024-04-30,ACTIVE
414,414,A,2024-09-16,ACTIVE
415,415,A,2025-01-31,ACTIVE
416,416,A,2024-07-17,ACTIVE
417,417,A,2023-11-04,ACTIVE
418,418,A,2024-03-21,ACTIVE
419,419,A,2024-02-12,ACTIVE
420,420,A,2023-10-09,ACTIVE
421,421,A,2023-02-15,ACTIVE
422,422,A,2023-04-10,ACTIVE
423,423,A,2024-10-14,ACTIVE
424,424,A,2024-07-29,ACTIVE
425,425,A,2025-01-03,ACTIVE
426,426,A,2024-11-17,ACTIVE
427,427,A,2024-01-11,ACTIVE
428,428,A,2024-04-18,ACTIVE
429,429,A,2024-05-20,ACTIVE
430,430,A,2023-11-06,ACTIVE
431,431,A,2023-04-19,ACTIVE
432,432,A,2023-04-15,ACTIVE
433,433,A,2025-08-05,ACTIVE
434,434,A,2025-05-08,ACTIVE
435,435,A,2024-06-25,ACTIVE
436,436,A,2024-10-04,ACTIVE
437,437,A,2024-02-08,ACTIVE
438,438,A,2025-08-16,ACTIVE
439,439,A,2023-09-01,ACTIVE
440,440,A,2024-08-12,ACTIVE
441,441,A,2023-02-21,ACTIVE
442,442,A,2025-04-08,ACTIVE
443,443,A,2024-10-10,ACTIVE
444,444,A,2023-07-04,ACTIVE
445,445,A,2023-07-21,ACTIVE
446,446,A,2024-05-10,ACTIVE
447,447,A,2023-10-10,ACTIVE
448,448,A,2024-12-26,ACTIVE
449,449,A,2023-03-15,ACTIVE
450,450,A,2023-09-10,ACTIVE
451,451,A,2024-03-10,ACTIVE
452,452,A,2023-09-22,ACTIVE
453,453,A,2023-07-22,ACTIVE
454,454,A,2025-02-05,ACTIVE
455,455,A,2024-08-20,ACTIVE
456,456,A,2025-08-18,ACTIVE
457,457,A,2025-05-10,ACTIVE
458,458,A,2023-02-28,ACTIVE
459,459,A,2023-06-08,ACTIVE
460,460,A,2023-04-25,ACTIVE
461,461,A,2023-09-29,ACTIVE
462,462,A,2023-08-25,ACTIVE
463,463,A,2025-01-10,ACTIVE
464,464,A,2024-02-12,ACTIVE
465,465,A,2024-07-07,ACTIVE
466,466,A,2023-07-31,ACTIVE
467,467,A,2025-03-01,ACTIVE
468,468,A,2025-03-08,ACTIVE
469,469,A,2024-05-07,ACTIVE
470,470,A,2024-09-25,ACTIVE
471,471,A,2024-05-25,ACTIVE
472,472,A,2024-04-13,ACTIVE
473,473,A,2024-01-10,ACTIVE
474,474,A,2023-12-01,ACTIVE
475,475,A,2025-05-27,ACTIVE
476,476,A,2025-03-01,ACTIVE
477,477,A,2023-07-19,ACTIVE
478,478,A,2025-09-20,ACTIVE
479,479,A,2024-06-17,ACTIVE
480,480,A,2024-05-21,ACTIVE
481,481,A,2024-08-11,ACTIVE
482,482,A,2023-02-06,ACTIVE
483,483,A,2025-07-19,ACTIVE
484,484,A,2024-10-05,ACTIVE
485,485,A,2023-03-02,ACTIVE
486,486,A,2025-09-12,ACTIVE
487,487,A,2024-10-30,ACTIVE
488,488,A,2024-04-19,ACTIVE
489,489,A,2023-04-08,ACTIVE
490,490,A,2025-07-21,ACTIVE
491,491,A,2023-08-29,ACTIVE
492,492,A,2025-05-31,ACTIVE
493,493,A,2024-05-20,ACTIVE
494,494,A,2025-02-28,ACTIVE
495,495,A,2023-01-27,ACTIVE
496,496,A,2024-12-09,ACTIVE
497,497,A,2023-07-26,ACTIVE
498,498,A,2023-10-31,ACTIVE
499,499,A,2024-12-18,ACTIVE
500,500,A,2024-11-09,ACTIVE
501,1,B,2025-08-12,ACTIVE
502,2,B,2023-06-30,ACTIVE
503,3,B,2023-12-17,ACTIVE
504,4,B,2024-10-12,ACTIVE
505,5,B,2024-07-01,ACTIVE
506,6,B,2023-01-15,ACTIVE
507,7,B,2024-04-17,ACTIVE
508,8,B,2025-03-07,ACTIVE
509,9,B,2023-02-22,ACTIVE
510,10,B,2024-08-17,ACTIVE
511,11,B,2024-04-04,ACTIVE
512,12,B,2023-02-04,ACTIVE
513,13,B,2023-07-09,ACTIVE
514,14,B,2024-01-07,ACTIVE
515,15,B,2024-02-05,ACTIVE
516,16,B,2024-03-25,ACTIVE
517,17,B,2023-04-04,ACTIVE
518,18,B,2024-04-03,ACTIVE
519,19,B,2025-04-18,ACTIVE
520,20,B,2024-12-27,ACTIVE
521,21,B,2023-10-27,ACTIVE
522,22,B,2024-03-02,ACTIVE
523,23,B,2024-09-18,ACTIVE
524,24,B,2024-07-25,ACTIVE
525,25,B,2024-04-05,ACTIVE
526,26,B,2025-05-09,ACTIVE
527,27,B,2024-05-16,ACTIVE
528,28,B,2023-09-24,ACTIVE
529,29,B,2023-07-06,ACTIVE
530,30,B,2023-11-23,ACTIVE
531,31,B,2024-04-06,ACTIVE
532,32,B,2025-02-20,ACTIVE
533,33,B,2023-08-10,ACTIVE
534,34,B,2024-06-08,ACTIVE
535,35,B,2023-01-18,ACTIVE
536,36,B,2024-11-09,ACTIVE
537,37,B,2025-04-15,ACTIVE
538,38,B,2023-03-17,ACTIVE
539,39,B,2024-04-15,ACTIVE
540,40,B,2024-05-30,ACTIVE
541,41,B,2024-07-06,ACTIVE
542,42,B,2024-04-02,ACTIVE
543,43,B,2024-07-27,ACTIVE
544,44,B,2023-06-09,ACTIVE
545,45,B,2025-06-22,ACTIVE
546,46,B,2024-05-17,ACTIVE
547,47,B,2024-06-30,ACTIVE
548,48,B,2023-06-08,ACTIVE
549,49,B,2024-01-30,ACTIVE
550,50,B,2024-02-17,ACTIVE
551,51,B,2023-03-05,ACTIVE
552,52,B,2023-06-29,ACTIVE
553,53,B,2023-07-01,ACTIVE
554,54,B,2023-02-19,ACTIVE
555,55,B,2023-03-05,ACTIVE
556,56,B,2025-07-21,ACTIVE
557,57,B,2023-10-07,ACTIVE
558,58,B,2024-12-12,ACTIVE
559,59,B,2025-09-22,ACTIVE
560,60,B,2024-01-22,ACTIVE
561,61,B,2025-07-29,ACTIVE
562,62,B,2023-10-25,ACTIVE
563,63,B,2024-05-29,ACTIVE
564,64,B,2025-04-12,ACTIVE
565,65,B,2023-10-05,ACTIVE
566,66,B,2023-06-18,ACTIVE
567,67,B,2024-03-07,ACTIVE
568,68,B,2024-01-02,ACTIVE
569,69,B,2025-09-02,ACTIVE
570,70,B,2024-07-28,ACTIVE
571,71,B,2025-07-23,ACTIVE
572,72,B,2023-09-30,ACTIVE
573,73,B,2025-02-03,ACTIVE
574,74,B,2025-03-09,ACTIVE
575,75,B,2024-02-05,ACTIVE
576,76,B,2025-01-24,ACTIVE
577,77,B,2025-04-24,ACTIVE
578,78,B,2024-07-27,ACTIVE
579,79,B,2024-11-27,ACTIVE
580,80,B,2025-01-11,ACTIVE
581,81,B,2023-11-05,ACTIVE
582,82,B,2023-06-28,ACTIVE
583,83,B,2023-06-29,ACTIVE
584,84,B,2023-06-03,ACTIVE
585,85,B,2024-11-03,ACTIVE
586,86,B,2024-12-13,ACTIVE
587,87,B,2023-06-14,ACTIVE
588,88,B,2025-01-11,ACTIVE
589,89,B,2025-02-02,ACTIVE
590,90,B,2023-10-04,ACTIVE
591,91,B,2024-06-15,ACTIVE
592,92,B,2025-07-09,ACTIVE
593,93,B,2025-03-11,ACTIVE
594,94,B,2024-09-14,ACTIVE
595,95,B,2024-11-30,ACTIVE
596,96,B,2025-07-29,ACTIVE
597,97,B,2024-09-20,ACTIVE
598,98,B,2025-01-09,ACTIVE
599,99,B,2023-03-06,ACTIVE
600,100,B,2023-03-20,ACTIVE
601,101,B,2023-04-09,ACTIVE
602,102,B,2023-02-14,ACTIVE
603,103,B,2024-06-06,ACTIVE
604,104,B,2025-06-08,ACTIVE
605,105,B,2025-07-19,ACTIVE
606,106,B,2024-04-08,ACTIVE
607,107,B,2024-07-02,ACTIVE
608,108,B,2025-02-13,ACTIVE
609,109,B,2024-03-21,ACTIVE
610,110,B,2025-09-16,ACTIVE
611,111,B,2023-07-11,ACTIVE
612,112,B,2025-09-24,ACTIVE
613,113,B,2024-05-01,ACTIVE
614,114,B,2024-06-25,ACTIVE
615,115,B,2023-11-24,ACTIVE
616,116,B,2025-04-15,ACTIVE
617,117,B,2023-04-30,ACTIVE
618,118,B,2024-12-30,ACTIVE
619,119,B,2023-05-01,ACTIVE
620,120,B,2023-01-30,ACTIVE
621,121,B,2025-08-12,ACTIVE
622,122,B,2023-05-31,ACTIVE
623,123,B,2023-01-29,ACTIVE
624,124,B,2023-01-28,ACTIVE
625,125,B,2023-05-02,ACTIVE
626,126,B,2023-02-09,ACTIVE
627,127,B,2024-11-26,ACTIVE
628,128,B,2023-03-10,ACTIVE
629,129,B,2023-08-24,ACTIVE
630,130,B,2025-06-17,ACTIVE
631,131,B,2023-04-09,ACTIVE
632,132,B,2023-11-09,ACTIVE
633,133,B,2025-04-24,ACTIVE
634,134,B,2024-10-15,ACTIVE
635,135,B,2023-04-05,ACTIVE
636,136,B,2023-10-08,ACTIVE
637,137,B,2025-03-06,ACTIVE
638,138,B,2025-06-26,ACTIVE
639,139,B,2023-08-28,ACTIVE
640,140,B,2024-08-02,ACTIVE
641,141,B,2023-10-04,ACTIVE
642,142,B,2025-05-29,ACTIVE
643,143,B,2025-07-07,ACTIVE
644,144,B,2025-03-08,ACTIVE
645,145,B,2024-08-24,ACTIVE
646,146,B,2024-03-30,ACTIVE
647,147,B,2024-05-12,ACTIVE
648,148,B,2025-05-17,ACTIVE
649,149,B,2024-01-07,ACTIVE
650,150,B,2023-06-16,ACTIVE
651,151,B,2025-01-28,ACTIVE
652,152,B,2025-07-05,ACTIVE
653,153,B,2024-07-14,ACTIVE
654,154,B,2024-06-24,ACTIVE
655,155,B,2025-04-20,ACTIVE
656,156,B,2025-01-08,ACTIVE
657,157,B,2025-07-11,ACTIVE
658,158,B,2024-07-07,ACTIVE
659,159,B,2024-05-10,ACTIVE
660,160,B,2024-09-24,ACTIVE
661,161,B,2023-03-23,ACTIVE
662,162,B,2024-08-16,ACTIVE
663,163,B,2024-10-10,ACTIVE
664,164,B,2025-04-04,ACTIVE
665,165,B,2023-10-24,ACTIVE
666,166,B,2024-10-31,ACTIVE
667,167,B,2023-01-13,ACTIVE
668,168,B,2025-08-27,ACTIVE
669,169,B,2024-04-26,ACTIVE
670,170,B,2024-10-03,ACTIVE
671,171,B,2025-07-21,ACTIVE
672,172,B,2025-02-24,ACTIVE
673,173,B,2024-07-26,ACTIVE
674,174,B,2023-01-31,ACTIVE
675,175,B,2023-07-19,ACTIVE
676,176,B,2025-01-04,ACTIVE
677,177,B,2024-01-09,ACTIVE
678,178,B,2023-11-19,ACTIVE
679,179,B,2025-04-05,ACTIVE
680,180,B,2024-11-29,ACTIVE
681,181,B,2024-11-16,ACTIVE
682,182,B,2023-03-09,ACTIVE
683,183,B,2025-07-27,ACTIVE
684,184,B,2024-07-18,ACTIVE
685,185,B,2024-12-05,ACTIVE
686,186,B,2024-06-01,ACTIVE
687,187,B,2024-02-16,ACTIVE
688,188,B,2024-03-04,ACTIVE
689,189,B,2025-03-31,ACTIVE
690,190,B,2023-12-07,ACTIVE
691,191,B,2025-03-17,ACTIVE
692,192,B,2025-08-17,ACTIVE
693,193,B,2023-03-27,ACTIVE
694,194,B,2023-02-01,ACTIVE
695,195,B,2024-06-22,ACTIVE
