SHIPMENT_LINE_ID,SHIPMENT_ID,ORDER_LINE_ID,PO_LINE_ID,QUANTITY
170,170,,32858,81.00
171,171,21363,,351.00
172,172,,56299,119.00
173,173,19525,,429.00
174,174,,36043,269.00
175,175,26506,,423.00
176,176,,45014,425.00
177,177,39932,,182.00
178,178,,33185,219.00
179,179,8360,,278.00
180,180,,59732,276.00
181,181,20446,,259.00
182,182,,19298,205.00
183,183,27660,,119.00
184,184,,37312,309.00
185,185,11890,,264.00
186,186,,21442,445.00
187,187,27546,,90.00
188,188,,48965,297.00
189,189,34524,,11.00
190,190,,33580,358.00
191,191,6439,,12.00
192,192,,54324,314.00
193,193,5811,,453.00
194,194,,41824,152.00
195,195,23433,,93.00
196,196,,16262,472.00
197,197,23799,,445.00
198,198,,51741,91.00
199,199,23290,,412.00
200,200,,31566,398.00
201,201,33570,,251.00
202,202,,35373,289.00
203,203,20441,,316.00
204,204,,35421,373.00
205,205,35660,,239.00
206,206,,55702,10.00
207,207,25818,,80.00
208,208,,42646,376.00
209,209,10859,,400.00
210,210,,41532,486.00
211,211,27671,,260.00
212,212,,25228,475.00
213,213,18408,,484.00
214,214,,57679,258.00
215,215,36594,,178.00
216,216,,25089,224.00
217,217,20399,,437.00
218,218,,44917,350.00
219,219,30339,,283.00
220,220,,35698,186.00
221,221,5636,,48.00
222,222,,36450,387.00
223,223,11936,,382.00
224,224,,34721,227.00
225,225,3154,,175.00
226,226,,45328,12.00
227,227,35620,,213.00
228,228,,10145,186.00
229,229,31552,,239.00
230,230,,38390,110.00
231,231,6929,,108.00
232,232,,533,464.00
233,233,37248,,282.00
234,234,,46436,290.00
235,235,8467,,349.00
236,236,,12236,37.00
237,237,23067,,287.00
238,238,,56003,128.00
239,239,24478,,296.00
240,240,,13230,335.00
241,241,15716,,451.00
242,242,,16472,148.00
243,243,13885,,325.00
244,244,,25178,56.00
245,245,3859,,414.00
246,246,,29630,223.00
247,247,36810,,323.00
248,248,,49459,187.00
249,249,29279,,165.00
250,250,,38042,424.00
251,251,4528,,235.00
252,252,,56580,180.00
253,253,6767,,5.00
254,254,,20623,163.00
255,255,29101,,370.00
256,256,,6670,382.00
257,257,17944,,312.00
258,258,,18586,447.00
259,259,37896,,484.00
260,260,,33821,474.00
261,261,24132,,450.00
262,262,,54168,122.00
263,263,6926,,142.00
264,264,,33089,316.00
265,265,5274,,32.00
266,266,,19684,61.00
267,267,7179,,329.00
268,268,,40132,151.00
269,269,20948,,309.00
270,270,,13692,463.00
271,271,7379,,428.00
272,272,,56023,62.00
273,273,32809,,156.00
274,274,,11196,32.00
275,275,14861,,467.00
276,276,,11141,212.00
277,277,22559,,154.00
278,278,,42080,250.00
279,279,18056,,46.00
280,280,,11801,254.00
281,281,14918,,77.00
282,282,,9375,13.00
283,283,3039,,431.00
284,284,,4330,33.00
285,285,8966,,94.00
286,286,,44744,299.00
287,287,39255,,150.00
288,288,,58751,50.00
289,289,37907,,123.00
290,290,,20967,370.00
291,291,4362,,198.00
292,292,,26554,411.00
293,293,5412,,82.00
294,294,,32863,332.00
295,295,26060,,230.00
296,296,,37060,174.00
297,297,22633,,285.00
298,298,,15332,391.00
299,299,3835,,6.00
300,300,,36385,170.00
301,301,32483,,171.00
302,302,,48638,454.00
303,303,24056,,45.00
304,304,,42570,325.00
305,305,18303,,213.00
306,306,,56437,92.00
307,307,29448,,206.00
308,308,,46820,269.00
309,309,21679,,479.00
310,310,,36546,221.00
311,311,22480,,225.00
312,312,,30218,441.00
313,313,17866,,182.00
314,314,,50525,471.00
315,315,5495,,335.00
316,316,,33545,80.00
317,317,17292,,93.00
318,318,,1388,380.00
319,319,24134,,405.00
320,320,,12318,55.00
321,321,36508,,152.00
322,322,,59776,179.00
323,323,27171,,255.00
324,324,,5291,27.00
325,325,9127,,218.00
326,326,,51896,50.00
327,327,15893,,9.00
328,328,,2049,97.00
329,329,12838,,116.00
330,330,,18306,293.00
331,331,7888,,76.00
332,332,,46684,405.00
333,333,31404,,65.00
334,334,,41697,116.00
335,335,10026,,290.00
336,336,,25223,303.00
337,337,10972,,432.00
338,338,,52921,249.00
339,339,24600,,424.00
340,340,,27437,447.00
341,341,21126,,202.00
342,342,,20877,391.00
343,343,24625,,174.00
344,344,,9340,114.00
345,345,4,,45.00
346,346,,47987,230.00
347,347,10117,,275.00
348,348,,34229,7.00
349,349,10338,,22.00
350,350,,17637,484.00
351,351,424,,141.00
352,352,,12257,264.00
353,353,18686,,163.00
354,354,,53918,20.00
355,355,37578,,22.00
356,356,,48619,483.00
357,357,28232,,86.00
358,358,,59982,445.00
359,359,32943,,320.00
360,360,,20868,209.00
361,361,22228,,261.00
362,362,,51581,474.00
363,363,31024,,472.00
364,364,,30474,377.00
365,365,38711,,224.00
366,366,,40137,56.00
367,367,14372,,222.00
368,368,,6311,158.00
369,369,11208,,357.00
370,370,,59342,400.00
371,371,11283,,153.00
372,372,,47919,336.00
373,373,23188,,6.00
374,374,,52800,348.00
375,375,2894,,400.00
376,376,,19157,300.00
377,377,16906,,131.00
378,378,,46430,359.00
379,379,20677,,365.00
380,380,,1750,449.00
381,381,10645,,110.00
382,382,,53241,350.00
383,383,16463,,311.00
384,384,,34687,274.00
385,385,26036,,375.00
386,386,,57560,477.00
387,387,39621,,211.00
388,388,,30791,90.00
389,389,33379,,135.00
390,390,,13267,477.00
391,391,13995,,316.00
392,392,,2246,267.00
393,393,8206,,202.00
394,394,,57121,11.00
395,395,22010,,215.00
396,396,,23926,447.00
397,397,16018,,21.00
398,398,,58421,303.00
399,399,38733,,95.00
400,400,,37545,495.00
401,401,6747,,387.00
402,402,,2529,403.00
403,403,35542,,349.00
404,404,,18966,198.00
405,405,27435,,360.00
406,406,,32762,199.00
407,407,25270,,22.00
408,408,,4242,176.00
409,409,13037,,330.00
410,410,,29085,106.00
411,411,30670,,195.00
412,412,,46348,326.00
413,413,36486,,94.00
414,414,,3299,431.00
415,415,762,,323.00
416,416,,629,112.00
417,417,38308,,370.00
418,418,,33058,217.00
419,419,31408,,111.00
420,420,,17702,64.00
421,421,21046,,408.00
422,422,,10902,108.00
423,423,39653,,368.00
424,424,,48806,177.00
425,425,36734,,261.00
426,426,,44295,269.00
427,427,29376,,429.00
428,428,,19568,141.00
429,429,2506,,464.00
430,430,,54872,42.00
431,431,5109,,288.00
432,432,,47642,321.00
433,433,20948,,149.00
434,434,,39580,175.00
435,435,16542,,90.00
436,436,,28300,229.00
437,437,27404,,114.00
438,438,,16803,97.00
439,439,13244,,68.00
440,440,,21256,403.00
441,441,1052,,91.00
442,442,,19120,44.00
443,443,17649,,174.00
444,444,,34135,220.00
445,445,16202,,147.00
446,446,,8704,379.00
447,447,7283,,338.00
448,448,,31091,135.00
449,449,32074,,443.00
450,450,,35050,269.00
451,451,1435,,217.00
452,452,,18387,70.00
453,453,203,,492.00
454,454,,9147,106.00
455,455,17598,,206.00
456,456,,38118,105.00
457,457,27861,,209.00
458,458,,37994,143.00
459,459,13159,,363.00
460,460,,19965,105.00
461,461,2272,,317.00
462,462,,30355,275.00
463,463,29741,,63.00
464,464,,54134,216.00
465,465,1554,,67.00
466,466,,58855,226.00
467,467,28791,,220.00
468,468,,52648,278.00
469,469,37493,,101.00
470,470,,4558,267.00
471,471,8511,,483.00
472,472,,26413,391.00
473,473,21375,,470.00
474,474,,11490,395.00
475,475,24878,,229.00
476,476,,4063,183.00
477,477,24200,,49.00
478,478,,47215,225.00
479,479,15534,,154.00
480,480,,13793,129.00
481,481,18589,,106.00
482,482,,11984,161.00
483,483,23931,,207.00
484,484,,11004,417.00
485,485,35061,,142.00
486,486,,24813,60.00
487,487,35669,,122.00
488,488,,52053,293.00
489,489,37098,,155.00
490,490,,41456,17.00
491,491,14241,,379.00
492,492,,36535,434.00
493,493,4506,,317.00
494,494,,18696,195.00
495,495,33027,,463.00
496,496,,1105,210.00
497,497,3207,,451.00
498,498,,30879,466.00
499,499,1718,,272.00
500,500,,27591,311.00
501,501,21955,,98.00
502,502,,40706,406.00
503,503,10351,,433.00
504,504,,6269,253.00
505,505,36548,,132.00
506,506,,51100,104.00
507,507,32473,,498.00
508,508,,39107,212.00
509,509,1053,,499.00
510,510,,21894,206.00
511,511,20460,,316.00
512,512,,26716,463.00
513,513,11190,,246.00
514,514,,8058,387.00
515,515,12401,,24.00
516,516,,32238,51.00
517,517,33094,,47.00
518,518,,4264,380.00
519,519,24839,,80.00
520,520,,53827,101.00
521,521,10300,,285.00
522,522,,4133,12.00
523,523,27627,,130.00
524,524,,57505,39.00
525,525,1461,,238.00
526,526,,5843,272.00
527,527,10502,,276.00
528,528,,40908,358.00
529,529,13187,,120.00
530,530,,59961,406.00
531,531,23462,,234.00
532,532,,23837,446.00
533,533,29222,,39.00
534,534,,51784,444.00
535,535,36018,,462.00
536,536,,34237,449.00
537,537,22836,,196.00
538,538,,380,221.00
539,539,3471,,222.00
540,540,,30637,138.00
541,541,37553,,384.00
542,542,,9398,56.00
543,543,37574,,398.00
544,544,,51736,388.00
545,545,2904,,163.00
546,546,,49565,119.00
547,547,19547,,492.00
548,548,,40020,474.00
549,549,10395,,483.00
550,550,,2006,63.00
551,551,16064,,134.00
552,552,,40829,408.00
553,553,32182,,318.00
554,554,,54626,362.00
555,555,28064,,277.00
556,556,,39043,13.00
557,557,4280,,388.00
558,558,,27714,431.00
559,559,31996,,396.00
560,560,,41600,468.00
561,561,33941,,433.00
562,562,,4111,138.00
563,563,26515,,309.00
564,564,,10454,93.00
565,565,25278,,408.00
566,566,,11240,262.00
567,567,14432,,216.00
568,568,,4934,490.00
569,569,21976,,415.00
570,570,,42752,91.00
571,571,11935,,325.00
572,572,,59005,493.00
573,573,5765,,465.00
574,574,,50664,405.00
575,575,401,,74.00
576,576,,6113,416.00
577,577,22845,,446.00
578,578,,6913,160.00
579,579,6697,,280.00
580,580,,25016,478.00
581,581,34309,,315.00
582,582,,21271,405.00
583,583,39180,,453.00
584,584,,22301,158.00
585,585,5673,,25.00
586,586,,42929,22.00
587,587,16165,,347.00
588,588,,18712,76.00
589,589,9764,,189.00
590,590,,38246,487.00
591,591,8532,,490.00
592,592,,20749,308.00
593,593,801,,267.00
594,594,,41560,283.00
595,595,33700,,73.00
596,596,,26759,65.00
597,597,36629,,418.00
598,598,,47580,443.00
599,599,26065,,55.00
600,600,,20490,326.00
601,601,3099,,476.00
602,602,,36175,159.00
603,603,24523,,407.00
604,604,,39494,210.00
605,605,1931,,476.00
606,606,,1114,48.00
607,607,14549,,171.00
608,608,,31033,131.00
609,609,446,,415.00
610,610,,38108,293.00
611,611,18192,,446.00
612,612,,52561,39.00
613,613,10487,,494.00
614,614,,13269,449.00
615,615,2328,,474.00
616,616,,26293,150.00
617,617,19120,,195.00
618,618,,54918,346.00
619,619,20121,,437.00
620,620,,27604,69.00
621,621,30955,,342.00
622,622,,8639,32.00
623,623,10029,,8.00
624,624,,31395,93.00
625,625,29122,,318.00
626,626,,56844,483.00
627,627,7696,,456.00
628,628,,52266,251.00
629,629,35236,,78.00
630,630,,59440,345.00
631,631,8099,,439.00
632,632,,26825,97.00
633,633,25845,,23.00
634,634,,55181,496.00
635,635,28095,,248.00
636,636,,52168,139.00
637,637,37796,,364.00
638,638,,1400,128.00
639,639,4240,,357.00
640,640,,28438,299.00
641,641,10277,,161.00
642,642,,41985,219.00
643,643,12919,,67.00
644,644,,1386,476.00
645,645,602,,427.00
646,646,,57989,476.00
647,647,3498,,448.00
648,648,,54303,9.00
649,649,22372,,47.00
650,650,,58293,328.00
651,651,3759,,353.00
652,652,,6822,21.00
653,653,3561,,227.00
654,654,,38077,453.00
655,655,3841,,433.00
656,656,,38300,114.00
657,657,7923,,117.00
658,658,,49840,394.00
659,659,7496,,407.00
660,660,,25572,38.00
661,661,30082,,215.00
662,662,,19002,430.00
663,663,649,,6.00
664,664,,54829,155.00
665,665,31297,,432.00
666,666,,37788,301.00
667,667,20013,,219.00
668,668,,57915,110.00
669,669,11482,,492.00
670,670,,15280,244.00
671,671,27933,,402.00
672,672,,44969,202.00
673,673,13573,,334.00
674,674,,1020,132.00
675,675,12200,,406.00
676,676,,10589,264.00
677,677,2374,,343.00
678,678,,7110,333.00
679,679,37826,,115.00
680,680,,24887,327.00
681,681,22686,,272.00
682,682,,5005,352.00
683,683,27939,,385.00
684,684,,48647,149.00
685,685,3705,,285.00
686,686,,57658,323.00
687,687,34412,,28.00
688,688,,27754,381.00
689,689,14821,,107.00
690,690,,33430,108.00
691,691,21807,,56.00
692,692,,8078,81.00
693,693,13086,,55.00
694,694,,28104,318.00
695,695,1539,,494.00
696,696,,17433,107.00
697,697,29604,,138.00
698,698,,6779,272.00
699,699,11121,,85.00
700,700,,56607,112.00
701,701,24607,,18.00
702,702,,47079,248.00
703,703,28009,,306.00
704,704,,51828,336.00
705,705,21018,,345.00
706,706,,28875,377.00
707,707,8814,,460.00
708,708,,19461,273.00
709,709,7481,,113.00
710,710,,36042,40.00
711,711,30341,,282.00
712,712,,16624,106.00
713,713,20287,,124.00
714,714,,38086,168.00
715,715,13469,,181.00
716,716,,32842,247.00
717,717,5193,,102.00
718,718,,37094,383.00
719,719,35598,,59.00
720,720,,8254,326.00
721,721,2781,,105.00
722,722,,16323,90.00
723,723,2752,,133.00
724,724,,9613,350.00
725,725,34602,,349.00
726,726,,7203,281.00
727,727,4901,,432.00
728,728,,48710,467.00
729,729,9224,,427.00
730,730,,23470,367.00
731,731,1666,,480.00
732,732,,57310,405.00
733,733,21066,,392.00
734,734,,23782,477.00
735,735,19245,,331.00
736,736,,3206,77.00
737,737,6423,,26.00
738,738,,19069,325.00
739,739,35920,,151.00
740,740,,58746,299.00
741,741,15243,,114.00
742,742,,10209,498.00
743,743,12896,,375.00
744,744,,49886,457.00
745,745,27306,,204.00
746,746,,46732,34.00
747,747,34988,,378.00
748,748,,23973,288.00
749,749,6681,,85.00
750,750,,54173,401.00
751,751,29368,,23.00
752,752,,10418,463.00
753,753,7964,,143.00
754,754,,19916,478.00
755,755,5710,,159.00
756,756,,36528,173.00
757,757,1957,,454.00
758,758,,14204,433.00
759,759,34089,,311.00
760,760,,6891,386.00
761,761,38389,,369.00
762,762,,12603,290.00
763,763,29662,,292.00
764,764,,26634,270.00
765,765,30797,,324.00
766,766,,9681,393.00
767,767,22836,,365.00
768,768,,59614,312.00
769,769,25362,,146.00
770,770,,25808,188.00
771,771,31946,,322.00
772,772,,12322,330.00
773,773,35918,,145.00
774,774,,47456,205.00
775,775,36667,,89.00
776,776,,40843,61.00
777,777,10204,,354.00
778,778,,3551,51.00
779,779,21467,,396.00
780,780,,40161,75.00
781,781,6302,,11.00
782,782,,10048,198.00
783,783,10608,,413.00
784,784,,46061,240.00
785,785,22615,,124.00
786,786,,44503,278.00
787,787,32012,,163.00
788,788,,26827,457.00
789,789,15977,,307.00
790,790,,23011,149.00
791,791,5801,,474.00
792,792,,41341,232.00
793,793,20025,,19.00
794,794,,31863,184.00
795,795,10735,,76.00
796,796,,58792,475.00
797,797,23912,,366.00
798,798,,22730,197.00
799,799,26221,,145.00
800,800,,29580,320.00
801,801,18906,,93.00
802,802,,54594,431.00
803,803,2887,,390.00
804,804,,53143,276.00
805,805,19866,,225.00
806,806,,22556,127.00
807,807,33158,,15.00
808,808,,37088,339.00
809,809,20140,,433.00
810,810,,31676,222.00
811,811,4779,,146.00
812,812,,58952,130.00
813,813,21360,,311.00
814,814,,36619,244.00
815,815,22811,,66.00
816,816,,51171,303.00
817,817,31248,,275.00
818,818,,34658,27.00
819,819,36524,,314.00
820,820,,43097,467.00
821,821,36966,,127.00
822,822,,37871,72.00
823,823,38329,,268.00
824,824,,26062,285.00
825,825,4322,,226.00
826,826,,25529,259.00
827,827,34444,,329.00
828,828,,53250,195.00
829,829,28471,,342.00
830,830,,15684,330.00
831,831,27333,,253.00
832,832,,15760,31.00
833,833,5613,,433.00
834,834,,41451,450.00
835,835,25618,,424.00
836,836,,23548,97.00
837,837,13070,,480.00
838,838,,21990,390.00
839,839,14505,,167.00
840,840,,43281,85.00
841,841,38639,,189.00
842,842,,57518,225.00
843,843,7946,,495.00
844,844,,52112,26.00
845,845,25409,,9.00
846,846,,1688,417.00
847,847,17372,,386.00
848,848,,4631,61.00
849,849,15662,,111.00
850,850,,18010,77.00
851,851,36310,,64.00
852,852,,7987,41.00
853,853,27740,,241.00
854,854,,7267,433.00
855,855,24145,,372.00
856,856,,29678,95.00
857,857,6957,,348.00
858,858,,46732,196.00
859,859,39983,,20.00
860,860,,14809,205.00
861,861,37260,,425.00
862,862,,26345,434.00
863,863,13522,,82.00
864,864,,747,38.00
865,865,31441,,324.00
866,866,,54857,138.00
867,867,1089,,211.00
868,868,,53124,138.00
869,869,17406,,96.00
870,870,,3392,167.00
871,871,16808,,404.00
872,872,,17505,369.00
873,873,31840,,297.00
874,874,,44932,280.00
875,875,118,,346.00
876,876,,47325,137.00
877,877,7229,,120.00
878,878,,48205,17.00
879,879,9783,,386.00
880,880,,52214,137.00
881,881,29977,,470.00
882,882,,57112,494.00
883,883,3890,,290.00
884,884,,41754,450.00
885,885,26341,,343.00
886,886,,5499,452.00
887,887,12044,,169.00
888,888,,56210,475.00
889,889,5735,,134.00
890,890,,5282,279.00
891,891,19927,,200.00
892,892,,3058,329.00
893,893,2979,,343.00
894,894,,22128,463.00
895,895,20284,,167.00
896,896,,34691,290.00
897,897,7564,,414.00
898,898,,28310,268.00
899,899,13164,,261.00
900,900,,14577,103.00
901,901,8141,,302.00
902,902,,1512,248.00
903,903,6087,,54.00
904,904,,43897,15.00
905,905,22706,,80.00
906,906,,25103,274.00
907,907,24356,,496.00
908,908,,46373,446.00
909,909,13611,,234.00
910,910,,9592,106.00
911,911,2095,,146.00
912,912,,14549,9.00
913,913,15936,,77.00
914,914,,34349,499.00
915,915,12829,,291.00
916,916,,2745,152.00
917,917,35337,,198.00
918,918,,9675,478.00
919,919,23980,,20.00
920,920,,42008,167.00
921,921,8286,,104.00
922,922,,52401,183.00
923,923,5778,,424.00
924,924,,7292,199.00
925,925,626,,21.00
926,926,,13754,332.00
927,927,35266,,174.00
928,928,,5141,143.00
929,929,11963,,241.00
930,930,,6100,256.00
931,931,4198,,98.00
932,932,,42922,448.00
933,933,34329,,178.00
934,934,,56464,242.00
935,935,19731,,288.00
936,936,,57818,256.00
937,937,22212,,254.00
938,938,,21543,499.00
939,939,805,,313.00
940,940,,38958,426.00
941,941,1456,,473.00
942,942,,42311,170.00
943,943,35936,,79.00
944,944,,59132,413.00
945,945,31723,,459.00
946,946,,56098,490.00
947,947,30918,,135.00
948,948,,13010,219.00
949,949,8562,,340.00
950,950,,39320,82.00
951,951,10225,,255.00
952,952,,19325,334.00
953,953,24820,,434.00
954,954,,41233,108.00
955,955,26622,,221.00
956,956,,54574,155.00
957,957,7508,,340.00
958,958,,51866,317.00
959,959,39420,,329.00
960,960,,43786,273.00
961,961,32624,,276.00
962,962,,34260,345.00
963,963,35084,,166.00
964,964,,13397,461.00
965,965,20343,,196.00
966,966,,22030,201.00
967,967,14333,,61.00
968,968,,38372,287.00
969,969,24066,,455.00
970,970,,10356,146.00
971,971,4945,,410.00
972,972,,6417,367.00
973,973,11987,,154.00
974,974,,48979,72.00
975,975,1113,,368.00
976,976,,46021,190.00
977,977,36844,,136.00
978,978,,39213,130.00
979,979,6703,,114.00
980,980,,44520,351.00
981,981,9080,,296.00
982,982,,6130,280.00
983,983,30781,,92.00
984,984,,33892,198.00
985,985,9211,,356.00
986,986,,57291,64.00
987,987,16011,,28.00
988,988,,2649,108.00
989,989,10234,,443.00
990,990,,33064,161.00
991,991,18334,,479.00
992,992,,52816,196.00
993,993,3361,,112.00
994,994,,26301,127.00
995,995,20002,,164.00
996,996,,48908,328.00
997,997,33119,,364.00
998,998,,52384,197.00
999,999,29398,,366.00
1000,1000,,27521,460.00
1001,1001,23471,,274.00
1002,1002,,1814,197.00
1003,1003,27194,,323.00
1004,1004,,30723,9.00
1005,1005,19614,,149.00
1006,1006,,13965,382.00
1007,1007,21487,,227.00
1008,1008,,44273,317.00
1009,1009,21782,,436.00
1010,1010,,14168,132.00
1011,1011,14739,,290.00
1012,1012,,38081,185.00
1013,1013,2119,,476.00
1014,1014,,10436,184.00
1015,1015,24716,,142.00
1016,1016,,34036,316.00
1017,1017,30320,,288.00
1018,1018,,8669,363.00
1019,1019,34524,,176.00
1020,1020,,8890,209.00
1021,1021,20920,,425.00
1022,1022,,43928,424.00
1023,1023,29886,,447.00
1024,1024,,13206,144.00
1025,1025,15390,,439.00
1026,1026,,2292,301.00
1027,1027,21617,,168.00
1028,1028,,45080,11.00
1029,1029,31986,,141.00
1030,1030,,16545,359.00
1031,1031,39273,,8.00
1032,1032,,23009,378.00
1033,1033,37042,,94.00
1034,1034,,15754,166.00
1035,1035,21291,,297.00
1036,1036,,43146,73.00
1037,1037,10561,,323.00
1038,1038,,3,78.00
1039,1039,13583,,458.00
1040,1040,,21511,325.00
1041,1041,39238,,319.00
1042,1042,,33655,314.00
1043,1043,28134,,307.00
1044,1044,,51924,6.00
1045,1045,21407,,56.00
1046,1046,,3393,499.00
1047,1047,37666,,399.00
1048,1048,,2787,367.00
1049,1049,14195,,101.00
1050,1050,,23434,419.00
1051,1051,25896,,381.00
1052,1052,,12178,276.00
1053,1053,1968,,469.00
1054,1054,,43737,171.00
1055,1055,530,,429.00
1056,1056,,32225,106.00
1057,1057,34032,,287.00
1058,1058,,37556,393.00
1059,1059,26885,,396.00
1060,1060,,50934,147.00
1061,1061,12826,,445.00
1062,1062,,19781,332.00
1063,1063,27306,,83.00
1064,1064,,37875,37.00
1065,1065,14932,,232.00
1066,1066,,47514,322.00
1067,1067,20890,,98.00
1068,1068,,12977,28.00
1069,1069,11852,,438.00
1070,1070,,6215,319.00
1071,1071,26905,,220.00
1072,1072,,6468,119.00
1073,1073,31531,,243.00
1074,1074,,43963,430.00
1075,1075,36032,,85.00
1076,1076,,26254,339.00
1077,1077,26058,,29.00
1078,1078,,1042,453.00
1079,1079,8957,,24.00
1080,1080,,32841,195.00
1081,1081,26827,,426.00
1082,1082,,18281,443.00
1083,1083,16492,,496.00
1084,1084,,26743,312.00
1085,1085,12102,,398.00
1086,1086,,21497,392.00
1087,1087,37357,,287.00
1088,1088,,13074,263.00
1089,1089,2241,,415.00
1090,1090,,18195,371.00
1091,1091,27304,,162.00
1092,1092,,57901,11.00
1093,1093,32763,,129.00
1094,1094,,14976,131.00
1095,1095,15883,,394.00
1096,1096,,20911,359.00
1097,1097,27972,,57.00
1098,1098,,48441,160.00
1099,1099,10163,,106.00
1100,1100,,57824,172.00
1101,1101,36778,,396.00
1102,1102,,40099,373.00
1103,1103,20634,,322.00
1104,1104,,15596,159.00
1105,1105,11342,,434.00
1106,1106,,48547,371.00
1107,1107,2279,,430.00
1108,1108,,5329,419.00
1109,1109,39839,,408.00
1110,1110,,1737,434.00
1111,1111,16888,,318.00
1112,1112,,32280,228.00
1113,1113,18014,,381.00
1114,1114,,56871,379.00
1115,1115,36716,,409.00
1116,1116,,7051,298.00
1117,1117,27268,,462.00
1118,1118,,10710,72.00
1119,1119,12735,,85.00
1120,1120,,53293,246.00
1121,1121,38497,,198.00
1122,1122,,49370,116.00
1123,1123,9573,,38.00
1124,1124,,13697,177.00
1125,1125,32678,,387.00
1126,1126,,29231,90.00
1127,1127,25267,,499.00
1128,1128,,47099,334.00
1129,1129,25718,,338.00
1130,1130,,53346,382.00
1131,1131,7065,,152.00
1132,1132,,13437,477.00
1133,1133,33737,,417.00
1134,1134,,8074,100.00
1135,1135,29067,,157.00
1136,1136,,30333,388.00
