INSPECTION_ID,RECEIPT_ID,PART_ID,SUPPLIER_ID,INSPECTION_DATE,SAMPLE_SIZE,DEFECT_COUNT,RESULT,PPM
95,65431,22121,437,2025-03-03,610,3,PASS,4918.0
96,82136,7007,335,2023-08-25,364,2,PASS,5494.5
97,27024,3580,68,2023-07-13,649,4,CONDITIONAL,6163.3
98,74163,12524,429,2023-07-15,299,2,PASS,6689.0
99,6959,27251,489,2025-07-26,138,4,CONDITIONAL,28985.5
100,26210,4545,284,2026-10-01,507,0,PASS,0.0
101,59985,16228,281,2024-08-21,887,4,CONDITIONAL,4509.6
102,16343,17329,198,2024-03-14,983,0,PASS,0.0
103,37627,26465,85,2023-06-18,700,2,PASS,2857.1
104,18807,10774,1,2025-03-21,259,9,FAIL,34749.0
105,72302,5254,479,2024-06-29,116,2,PASS,17241.4
106,9707,15640,159,2024-04-30,326,2,PASS,6135.0
107,20148,22731,321,2024-08-21,899,1,PASS,1112.3
108,6461,20784,21,2024-07-23,164,1,PASS,6097.6
109,20490,8297,14,2024-03-27,822,1,PASS,1216.5
110,22423,14232,449,2023-10-04,780,3,PASS,3846.2
111,61197,13406,407,2025-08-12,626,4,CONDITIONAL,6389.8
112,60412,15797,395,2025-09-23,404,1,PASS,2475.2
113,15881,1765,46,2026-06-27,229,4,CONDITIONAL,17467.2
114,2026,1549,349,2025-04-10,559,2,PASS,3577.8
115,85240,14815,401,2025-07-17,281,3,PASS,10676.2
116,50400,598,355,2026-04-29,533,0,PASS,0.0
117,28169,29510,294,2024-12-14,272,1,PASS,3676.5
118,12014,3004,77,2024-08-01,404,1,PASS,2475.2
119,48822,4079,489,2023-02-10,977,2,PASS,2047.1
120,25659,28682,376,2023-04-21,136,1,PASS,7352.9
121,40116,12129,115,2026-08-07,718,3,PASS,4178.3
122,7056,8005,240,2023-07-22,251,3,PASS,11952.2
123,11774,26769,217,2024-04-27,721,1,PASS,1387.0
124,51799,6052,182,2025-03-03,309,3,PASS,9708.7
125,41048,2500,484,2023-06-05,301,4,CONDITIONAL,13289.0
126,19783,20038,386,2026-09-09,954,4,CONDITIONAL,4192.9
127,41774,19239,125,2025-10-08,241,1,PASS,4149.4
128,17294,13704,242,2024-03-29,587,0,PASS,0.0
129,38151,29838,212,2024-12-30,879,2,PASS,2275.3
130,18180,12652,231,2025-12-25,447,4,CONDITIONAL,8948.5
131,40480,12871,377,2023-11-27,219,3,PASS,13698.6
132,36373,29722,81,2025-11-29,456,2,PASS,4386.0
133,32238,17981,479,2025-12-10,812,0,PASS,0.0
134,81896,7331,140,2024-10-12,981,0,PASS,0.0
135,47076,9930,483,2025-06-08,635,0,PASS,0.0
136,59385,11002,498,2024-02-20,678,4,CONDITIONAL,5899.7
137,11027,2900,481,2026-08-03,349,3,PASS,8596.0
138,29593,3428,90,2023-01-01,659,3,PASS,4552.4
139,67612,23161,484,2026-04-01,743,1,PASS,1345.9
140,58259,8022,260,2025-01-31,717,4,CONDITIONAL,5578.8
141,52526,23041,313,2023-09-30,784,4,CONDITIONAL,5102.0
142,69862,16763,497,2025-05-05,466,2,PASS,4291.8
143,53096,12690,496,2025-10-18,149,0,PASS,0.0
144,59438,18873,143,2025-02-16,383,3,PASS,7832.9
145,34238,12510,175,2023-04-27,164,3,PASS,18292.7
146,87923,23205,458,2023-10-16,277,4,CONDITIONAL,14440.4
147,60707,22548,369,2025-01-30,595,4,CONDITIONAL,6722.7
148,44747,16159,281,2026-03-31,967,0,PASS,0.0
149,79167,21101,75,2025-07-23,487,2,PASS,4106.8
150,72283,28145,399,2024-12-14,653,4,CONDITIONAL,6125.6
151,12554,21166,31,2026-02-13,126,3,PASS,23809.5
152,28545,23314,131,2025-11-14,923,1,PASS,1083.4
153,1268,573,34,2024-01-29,964,0,PASS,0.0
154,73743,10827,126,2023-07-11,398,2,PASS,5025.1
155,26496,3266,234,2024-09-30,890,3,PASS,3370.8
156,52315,7725,118,2024-10-07,426,3,PASS,7042.3
157,4636,10892,219,2024-01-09,937,1,PASS,1067.2
158,15211,12326,120,2026-07-07,860,4,CONDITIONAL,4651.2
159,18939,1401,463,2026-05-21,200,4,CONDITIONAL,20000.0
160,47773,6541,297,2023-04-03,128,1,PASS,7812.5
161,33325,9630,97,2023-03-02,636,1,PASS,1572.3
162,37621,22554,8,2024-01-31,840,2,PASS,2381.0
163,76990,21328,74,2025-03-26,188,2,PASS,10638.3
164,33183,27185,169,2025-11-04,924,0,PASS,0.0
165,40662,16243,109,2025-07-05,483,0,PASS,0.0
166,83805,16429,271,2025-02-10,450,3,PASS,6666.7
167,21201,11331,225,2024-05-29,625,4,CONDITIONAL,6400.0
168,68180,10286,250,2025-08-01,596,4,CONDITIONAL,6711.4
169,25458,28332,65,2026-02-08,388,4,CONDITIONAL,10309.3
170,47732,2858,257,2025-04-26,959,2,PASS,2085.5
171,11363,13468,347,2024-11-30,507,2,PASS,3944.8
172,68599,26299,80,2024-03-31,994,1,PASS,1006.0
173,89525,15687,430,2024-08-07,251,2,PASS,7968.1
174,46354,6043,455,2023-02-11,929,0,PASS,0.0
175,46506,26101,159,2024-02-21,915,0,PASS,0.0
176,1965,15014,356,2025-05-04,249,0,PASS,0.0
177,49932,11733,263,2023-11-15,656,4,CONDITIONAL,6097.6
178,32545,3185,210,2024-02-19,196,2,PASS,10204.1
179,68360,24804,339,2024-03-24,276,4,CONDITIONAL,14492.8
180,22892,29732,137,2024-03-21,926,1,PASS,1079.9
181,70446,17326,380,2026-06-02,278,1,PASS,3597.1
182,79975,19298,271,2026-03-13,380,3,PASS,7894.7
183,87660,24353,20,2025-12-16,530,0,PASS,0.0
184,63592,7312,365,2026-09-10,430,0,PASS,0.0
185,21890,18061,340,2023-08-19,285,2,PASS,7017.5
186,68950,21442,401,2023-07-24,883,3,PASS,3397.5
187,7546,6559,351,2023-07-21,464,2,PASS,4310.3
188,72892,18965,203,2023-10-01,505,1,PASS,1980.2
189,54524,15616,342,2026-06-10,882,1,PASS,1133.8
190,63945,3580,154,2024-11-30,140,4,CONDITIONAL,28571.4
191,26439,28177,423,2023-12-08,791,3,PASS,3792.7
192,29359,24324,115,2024-03-16,305,1,PASS,3278.7
193,5811,760,484,2026-04-20,670,3,PASS,4477.6
194,83701,11824,133,2024-12-09,137,3,PASS,21897.8
195,83433,21117,129,2023-02-16,263,1,PASS,3802.3
196,5779,16262,183,2025-08-28,373,0,PASS,0.0
197,33799,12675,346,2025-10-01,259,4,CONDITIONAL,15444.0
198,75038,21741,292,2026-07-12,101,0,PASS,0.0
199,83290,12838,468,2026-08-25,163,1,PASS,6135.0
200,49602,1566,494,2023-12-01,797,4,CONDITIONAL,5018.8
201,83570,25573,177,2025-02-19,957,2,PASS,2089.9
202,69722,5373,170,2026-03-31,648,2,PASS,3086.4
203,70441,6281,162,2023-06-19,298,2,PASS,6711.4
204,77537,5421,269,2025-12-29,984,4,CONDITIONAL,4065.0
205,75660,12475,345,2023-07-31,692,3,PASS,4335.3
206,64372,25702,146,2024-05-30,816,1,PASS,1225.5
207,55818,15816,211,2024-05-10,713,2,PASS,2805.0
208,14819,12646,377,2025-06-26,578,3,PASS,5190.3
209,30859,22367,351,2024-12-07,405,2,PASS,4938.3
210,80336,11532,62,2026-04-18,744,3,PASS,4032.3
211,57671,24611,11,2023-10-03,622,3,PASS,4823.2
212,64378,25228,46,2025-12-14,906,2,PASS,2207.5
213,28408,10325,470,2026-03-19,829,3,PASS,3618.8
214,18447,27679,454,2024-10-11,376,4,CONDITIONAL,10638.3
215,36594,19847,254,2026-05-24,684,1,PASS,1462.0
216,66013,25089,290,2025-12-25,962,1,PASS,1039.5
217,60399,13364,278,2025-06-30,744,4,CONDITIONAL,5376.3
218,75435,14917,291,2023-11-15,183,2,PASS,10929.0
219,50339,946,209,2026-05-24,746,3,PASS,4021.4
220,15228,5698,172,2025-01-19,486,2,PASS,4115.2
221,15636,431,309,2023-07-08,806,1,PASS,1240.7
222,1281,6450,268,2025-06-09,934,2,PASS,2141.3
223,61936,20306,253,2026-05-09,420,0,PASS,0.0
224,75352,4721,478,2023-03-15,697,3,PASS,4304.2
225,33154,187,186,2026-04-23,602,2,PASS,3322.3
226,66977,15328,323,2023-06-20,755,2,PASS,2649.0
227,65620,25073,424,2023-12-24,797,0,PASS,0.0
228,18629,10145,382,2024-08-03,870,2,PASS,2298.9
229,61552,12965,335,2026-08-28,983,2,PASS,2034.6
230,57198,8390,21,2024-05-07,536,4,CONDITIONAL,7462.7
231,56929,2610,144,2023-12-24,361,3,PASS,8310.2
232,4120,533,105,2023-12-07,730,0,PASS,0.0
233,47248,3490,178,2025-08-27,117,3,PASS,25641.0
234,32630,16436,16,2024-01-05,865,1,PASS,1156.1
235,28467,23385,285,2024-03-12,643,0,PASS,0.0
236,84910,12236,278,2024-01-05,241,0,PASS,0.0
237,63067,9195,448,2025-11-03,119,1,PASS,8403.4
238,69166,26003,384,2024-05-08,668,3,PASS,4491.0
239,54478,3356,322,2023-03-17,770,0,PASS,0.0
240,46409,13230,391,2023-05-06,800,2,PASS,2500.0
241,45716,25560,2,2023-09-19,158,7,FAIL,44303.8
242,86701,16472,254,2024-07-06,231,3,PASS,12987.0
243,73885,5563,76,2026-05-02,730,2,PASS,2739.7
244,40266,25178,182,2024-07-20,174,1,PASS,5747.1
245,73859,20618,460,2023-06-02,417,4,CONDITIONAL,9592.3
246,33976,29630,309,2023-01-25,405,1,PASS,2469.1
247,16810,12697,454,2023-08-04,148,2,PASS,13513.5
248,26714,19459,343,2025-09-22,480,1,PASS,2083.3
249,89279,28565,226,2024-01-28,258,2,PASS,7751.9
250,64760,8042,260,2025-05-23,174,3,PASS,17241.4
251,64528,10249,46,2026-03-28,835,1,PASS,1197.6
252,44900,26580,106,2026-02-20,933,2,PASS,2143.6
253,16767,16853,486,2025-10-31,538,0,PASS,0.0
254,74095,20623,239,2024-08-02,980,3,PASS,3061.2
255,29101,22671,301,2026-04-29,475,4,CONDITIONAL,8421.1
256,7567,6670,143,2023-04-01,561,3,PASS,5347.6
257,47944,5168,423,2026-08-19,673,1,PASS,1485.9
258,3267,18586,358,2024-06-29,690,3,PASS,4347.8
259,87896,26752,415,2026-07-30,539,4,CONDITIONAL,7421.2
260,83715,3821,205,2023-04-15,798,3,PASS,3759.4
261,14132,28775,21,2025-04-19,405,1,PASS,2469.1
262,67171,24168,148,2025-03-02,779,1,PASS,1283.7
263,86926,9882,308,2023-03-01,847,0,PASS,0.0
264,42754,3089,247,2023-03-30,525,1,PASS,1904.8
265,85274,4571,178,2024-10-16,837,3,PASS,3584.2
266,72174,19684,392,2025-05-05,158,1,PASS,6329.1
267,47179,3068,330,2025-11-16,812,2,PASS,2463.1
268,28227,10132,397,2026-04-13,367,3,PASS,8174.4
269,30948,18857,435,2024-05-03,978,4,CONDITIONAL,4090.0
270,8823,13692,474,2026-09-14,319,0,PASS,0.0
271,37379,10605,469,2025-12-23,257,4,CONDITIONAL,15564.2
272,38553,26023,443,2023-03-01,137,4,CONDITIONAL,29197.1
273,42809,23279,322,2023-02-26,811,1,PASS,1233.0
274,3316,11196,68,2024-08-28,830,0,PASS,0.0
275,44861,9834,73,2026-07-16,434,4,CONDITIONAL,9216.6
276,25551,11141,158,2023-02-23,410,1,PASS,2439.0
277,62559,1205,240,2024-06-19,639,2,PASS,3129.9
278,75440,12080,476,2023-02-21,321,4,CONDITIONAL,12461.1
279,48056,23484,412,2024-06-17,935,1,PASS,1069.5
280,19560,11801,265,2026-06-01,139,2,PASS,14388.5
281,4918,12991,298,2025-11-05,213,3,PASS,14084.5
282,3796,9375,494,2024-03-14,699,2,PASS,2861.2
283,3039,4811,387,2025-09-20,505,0,PASS,0.0
284,38356,4330,234,2025-03-22,989,1,PASS,1011.1
285,68966,28413,190,2023-08-07,469,1,PASS,2132.2
286,16062,14744,305,2024-07-10,858,0,PASS,0.0
287,39255,1047,466,2023-02-06,803,2,PASS,2490.7
288,7080,28751,481,2023-05-27,191,3,PASS,15706.8
289,67907,17157,204,2026-07-20,994,4,CONDITIONAL,4024.1
290,43972,20967,81,2023-08-05,458,0,PASS,0.0
291,14362,14852,204,2024-12-10,811,3,PASS,3699.1
292,14581,26554,27,2023-06-04,149,4,CONDITIONAL,26845.6
293,15412,23773,353,2025-11-19,597,4,CONDITIONAL,6700.2
294,46806,2863,273,2024-01-08,411,3,PASS,7299.3
295,6060,22918,436,2025-11-10,854,4,CONDITIONAL,4683.8
296,82766,7060,265,2023-06-14,775,1,PASS,1290.3
297,62633,3084,446,2025-11-15,910,2,PASS,2197.8
298,89243,15332,297,2023-05-30,200,3,PASS,15000.0
299,63835,21631,127,2025-02-11,758,4,CONDITIONAL,5277.0
300,49618,6385,156,2023-07-14,640,2,PASS,3125.0
301,2483,11209,487,2024-10-22,188,2,PASS,10638.3
302,9247,18638,55,2026-05-12,237,3,PASS,12658.2
303,64056,12408,166,2026-01-22,139,4,CONDITIONAL,28777.0
304,984,12570,76,2025-07-08,793,1,PASS,1261.0
305,38303,26400,304,2023-03-06,456,3,PASS,6578.9
306,69838,26437,133,2026-04-18,628,0,PASS,0.0
307,19448,29173,147,2026-03-30,759,2,PASS,2635.0
308,7154,16820,405,2023-01-25,407,1,PASS,2457.0
309,31679,15507,465,2023-09-28,300,4,CONDITIONAL,13333.3
310,32494,6546,432,2024-08-02,126,1,PASS,7936.5
311,32480,6802,456,2025-02-06,747,2,PASS,2677.4
312,59857,218,322,2023-05-28,268,3,PASS,11194.0
313,87866,23894,53,2025-09-03,784,4,CONDITIONAL,5102.0
314,47698,20525,442,2024-02-19,522,0,PASS,0.0
315,5495,4915,396,2026-09-07,756,0,PASS,0.0
316,25483,3545,196,2025-10-22,436,4,CONDITIONAL,9174.3
317,37292,17959,354,2026-09-29,621,1,PASS,1610.3
318,34791,1388,426,2023-08-06,554,2,PASS,3610.1
319,4134,26693,56,2023-10-09,214,1,PASS,4672.9
320,65782,12318,356,2025-10-05,917,4,CONDITIONAL,4362.1
321,56508,16030,278,2026-09-12,811,0,PASS,0.0
322,6159,29776,480,2026-08-25,493,3,PASS,6085.2
323,77171,951,376,2025-02-14,303,0,PASS,0.0
324,87108,5291,133,2026-09-21,647,1,PASS,1545.6
325,89127,27045,159,2023-07-29,886,0,PASS,0.0
326,16225,21896,421,2023-07-11,696,1,PASS,1436.8
327,25893,13460,115,2023-11-20,468,3,PASS,6410.3
328,44309,2049,198,2026-06-11,414,0,PASS,0.0
329,2838,22775,92,2023-01-29,845,1,PASS,1183.4
330,41302,18306,484,2025-07-26,157,1,PASS,6369.4
331,57888,901,217,2026-06-05,230,2,PASS,8695.7
332,53586,16684,151,2026-02-08,628,4,CONDITIONAL,6369.4
333,21404,16496,216,2023-09-28,438,1,PASS,2283.1
334,8952,11697,137,2024-10-28,721,3,PASS,4160.9
335,60026,29941,171,2025-02-24,694,0,PASS,0.0
336,31059,25223,254,2023-03-22,981,3,PASS,3058.1
337,20972,8709,433,2025-09-03,135,2,PASS,14814.8
338,10487,22921,460,2023-04-02,958,0,PASS,0.0
339,24600,14998,250,2023-09-03,857,2,PASS,2333.7
340,78970,27437,263,2024-08-30,541,2,PASS,3696.9
341,71126,11564,108,2025-02-16,517,1,PASS,1934.2
342,52165,20877,427,2024-05-11,442,0,PASS,0.0
343,54625,19685,75,2025-04-05,387,0,PASS,0.0
344,58680,9340,315,2025-04-22,823,1,PASS,1215.1
345,50004,27677,241,2026-01-21,550,1,PASS,1818.2
346,83028,17987,456,2024-07-24,758,4,CONDITIONAL,5277.0
347,117,7271,101,2025-04-05,320,1,PASS,3125.0
348,86631,4229,483,2024-01-17,551,0,PASS,0.0
349,40338,5919,493,2025-01-23,807,1,PASS,1239.2
350,59126,17637,285,2026-09-17,999,0,PASS,0.0
351,424,12305,92,2025-02-22,297,4,CONDITIONAL,13468.0
352,46073,12257,435,2023-11-02,862,2,PASS,2320.2
353,38686,14486,359,2024-10-07,699,0,PASS,0.0
354,62412,23918,36,2023-09-07,375,3,PASS,8000.0
355,57578,7913,413,2026-06-12,788,3,PASS,3807.1
356,41618,18619,244,2024-06-26,560,2,PASS,3571.4
357,48232,24998,242,2025-11-26,126,4,CONDITIONAL,31746.0
358,61517,29982,76,2026-01-05,892,4,CONDITIONAL,4484.3
359,52943,7014,391,2025-02-25,581,2,PASS,3442.3
360,76895,20868,165,2025-10-02,522,0,PASS,0.0
361,72228,27404,497,2025-02-01,651,0,PASS,0.0
362,63636,21581,305,2024-08-19,227,0,PASS,0.0
363,61024,20555,213,2023-12-27,373,1,PASS,2681.0
364,25242,474,353,2026-08-02,506,1,PASS,1976.3
365,38711,9675,270,2024-12-03,541,3,PASS,5545.3
366,56255,10137,217,2023-09-21,164,4,CONDITIONAL,24390.2
367,54372,5292,68,2023-10-19,798,2,PASS,2506.3
368,14527,6311,154,2026-06-25,551,4,CONDITIONAL,7259.5
369,51208,15302,13,2025-02-01,599,1,PASS,1669.4
370,4954,29342,446,2023-06-20,922,1,PASS,1084.6
371,31283,6716,374,2024-01-08,884,4,CONDITIONAL,4524.9
372,16332,17919,52,2023-12-11,535,1,PASS,1869.2
373,43188,7694,187,2023-07-28,297,2,PASS,6734.0
374,40864,22800,64,2023-06-17,781,2,PASS,2560.8
375,22894,26799,331,2024-03-31,560,4,CONDITIONAL,7142.9
376,15675,19157,426,2026-06-27,626,4,CONDITIONAL,6389.8
377,16906,9517,367,2025-01-09,993,0,PASS,0.0
378,87208,16430,235,2023-11-18,870,4,CONDITIONAL,4597.7
379,70677,14283,6,2024-03-29,505,1,PASS,1980.2
380,75589,1750,370,2026-06-23,176,2,PASS,11363.6
381,80645,17268,106,2025-07-24,864,1,PASS,1157.4
382,10521,23241,396,2025-10-06,626,4,CONDITIONAL,6389.8
383,56463,26942,207,2026-07-25,260,4,CONDITIONAL,15384.6
384,68095,4687,430,2023-01-08,887,3,PASS,3382.2
385,46036,289,31,2026-06-19,473,0,PASS,0.0
386,29524,27560,13,2025-07-08,666,4,CONDITIONAL,6006.0
387,59621,23492,212,2025-10-14,792,3,PASS,3787.9
388,17178,791,166,2025-08-08,841,4,CONDITIONAL,4756.2
389,23379,5358,341,2025-03-04,523,3,PASS,5736.1
390,16460,13267,253,2024-12-02,526,3,PASS,5703.4
391,73995,12609,177,2026-08-22,279,0,PASS,0.0
392,58404,2246,23,2024-12-22,699,3,PASS,4291.8
393,68206,29682,478,2024-07-12,498,0,PASS,0.0
394,68784,27121,312,2024-02-16,640,2,PASS,3125.0
395,72010,28283,466,2026-07-19,305,3,PASS,9836.1
396,46971,23926,78,2025-08-04,821,1,PASS,1218.0
397,56018,15061,317,2026-06-29,140,0,PASS,0.0
398,30156,28421,444,2023-01-24,502,0,PASS,0.0
399,38733,22866,261,2024-10-31,374,2,PASS,5347.6
400,84144,7545,281,2023-01-28,119,0,PASS,0.0
401,46747,3784,113,2024-02-25,292,0,PASS,0.0
402,37757,2529,99,2023-08-10,673,0,PASS,0.0
403,75542,17109,205,2025-05-24,320,4,CONDITIONAL,12500.0
404,41450,18966,104,2026-02-19,454,2,PASS,4405.3
405,37435,23699,276,2023-06-26,822,0,PASS,0.0
406,39551,2762,110,2023-11-02,414,3,PASS,7246.4
407,75270,16987,378,2026-07-30,333,1,PASS,3003.0
408,64477,4242,337,2023-04-04,444,1,PASS,2252.3
409,23037,13247,21,2023-10-19,838,1,PASS,1193.3
410,15487,29085,47,2026-04-27,722,0,PASS,0.0
411,670,8029,296,2024-03-25,667,1,PASS,1499.3
412,67253,16348,47,2024-11-02,101,3,PASS,29703.0
413,66486,13165,125,2024-01-06,972,2,PASS,2057.6
414,8625,3299,392,2024-09-04,778,0,PASS,0.0
415,762,20867,364,2023-12-01,172,3,PASS,17441.9
416,28564,629,373,2023-08-12,131,0,PASS,0.0
417,48308,14848,216,2023-08-01,762,0,PASS,0.0
418,8446,3058,338,2026-07-06,588,2,PASS,3401.4
419,31408,11087,147,2026-06-20,801,1,PASS,1248.4
420,70282,17702,320,2024-06-14,611,0,PASS,0.0
421,51046,10672,349,2023-03-02,594,2,PASS,3367.0
422,80100,10902,209,2024-03-08,991,2,PASS,2018.2
423,39653,10517,499,2024-10-31,615,4,CONDITIONAL,6504.1
424,72576,18806,378,2024-04-17,887,1,PASS,1127.4
425,86734,10345,2,2023-11-24,672,12,FAIL,17857.1
426,29687,14295,290,2025-05-10,926,1,PASS,1079.9
427,69376,7618,205,2024-05-27,899,4,CONDITIONAL,4449.4
428,55474,19568,252,2025-10-21,943,2,PASS,2120.9
429,22506,60,260,2025-12-12,616,0,PASS,0.0
430,61310,24872,478,2025-12-11,463,4,CONDITIONAL,8639.3
431,35109,2080,259,2023-07-16,529,3,PASS,5671.1
432,14105,17642,122,2023-06-12,496,0,PASS,0.0
433,80948,18614,170,2024-12-28,823,4,CONDITIONAL,4860.3
434,79859,9580,416,2023-11-14,571,3,PASS,5253.9
435,6542,2670,451,2023-11-12,600,4,CONDITIONAL,6666.7
436,53643,28300,455,2023-01-23,210,4,CONDITIONAL,19047.6
437,7404,224,485,2025-12-23,456,2,PASS,4386.0
438,84959,16803,163,2026-07-21,222,4,CONDITIONAL,18018.0
439,53244,1614,249,2026-09-24,206,3,PASS,14563.1
440,48590,21256,74,2023-04-15,425,1,PASS,2352.9
441,41052,14278,332,2023-01-26,695,2,PASS,2877.7
442,44829,19120,190,2025-06-22,898,3,PASS,3340.8
443,47649,9419,420,2024-08-24,131,2,PASS,15267.2
444,71185,4135,451,2025-12-28,418,0,PASS,0.0
445,56202,5489,378,2026-01-26,708,4,CONDITIONAL,5649.7
446,15496,8704,460,2025-11-12,660,0,PASS,0.0
447,47283,9182,429,2026-07-11,141,1,PASS,7092.2
448,85726,1091,241,2024-01-16,473,4,CONDITIONAL,8456.7
449,32074,24874,394,2025-07-17,918,1,PASS,1089.3
450,38253,5050,230,2025-03-23,682,4,CONDITIONAL,5865.1
